
[00:00:00.000 --> 00:00:02.000]  各位弟子妹 早安
[00:00:02.000 --> 00:00:04.000]  我們一起同心祈禱
[00:00:04.000 --> 00:00:06.000]  我們天父上帝
[00:00:06.000 --> 00:00:08.000]  我們向你感恩
[00:00:08.000 --> 00:00:10.000]  願你接納我們的敬拜
[00:00:10.000 --> 00:00:12.000]  也願你藉著聖經的話
[00:00:12.000 --> 00:00:14.000]  去牧養我們
[00:00:14.000 --> 00:00:18.000]  讓我們更加明白你的心意
[00:00:18.000 --> 00:00:20.000]  我們現在面對很多挑戰
[00:00:20.000 --> 00:00:22.000]  很多衝擊
[00:00:22.000 --> 00:00:24.000]  我們求你的話語堅定我們
[00:00:24.000 --> 00:00:26.000]  祈禱奉耶穌基督的名
[00:00:26.000 --> 00:00:28.000]  阿們
[00:00:28.000 --> 00:00:30.000]  感謝神的恩典
[00:00:30.000 --> 00:00:32.000]  讓我們與眾弟兄姊妹
[00:00:32.000 --> 00:00:34.000]  分享聖經的說話
[00:00:34.000 --> 00:00:38.000]  我也很久沒有來加州花園
[00:00:38.000 --> 00:00:44.000]  本來我有另一個講道題目和內容
[00:00:44.000 --> 00:00:46.000]  但在這個星期
[00:00:46.000 --> 00:00:48.000]  我又有些特別的感動
[00:00:48.000 --> 00:00:50.000]  因為
[00:00:50.000 --> 00:00:52.000]  在我的Facebook
[00:00:52.000 --> 00:00:54.000]  有一位神學院老師
[00:00:54.000 --> 00:00:56.000]  擅長彈結他
[00:00:56.000 --> 00:00:58.000]  他發了一篇文章
[00:00:58.000 --> 00:01:00.000]  關於一首歌
[00:01:00.000 --> 00:01:02.000]  叫做保守你心
[00:01:02.000 --> 00:01:04.000]  不知道你們有沒有看到
[00:01:04.000 --> 00:01:06.000]  有吧
[00:01:06.000 --> 00:01:08.000]  也沒什麼
[00:01:08.000 --> 00:01:10.000]  因為我以前處理過
[00:01:10.000 --> 00:01:12.000]  《針研第四章二十三節》
[00:01:12.000 --> 00:01:14.000]  你要保守你的心 勝於一切
[00:01:14.000 --> 00:01:16.000]  其實那一節中文翻譯
[00:01:16.000 --> 00:01:18.000]  不是太好
[00:01:18.000 --> 00:01:20.000]  我在這個星期
[00:01:20.000 --> 00:01:22.000]  有一個感動
[00:01:22.000 --> 00:01:24.000]  不如我這次來講道
[00:01:24.000 --> 00:01:26.000]  保守你心
[00:01:26.000 --> 00:01:28.000]  但我發現原來處理完
[00:01:28.000 --> 00:01:30.000]  很長的
[00:01:30.000 --> 00:01:32.000]  大家下午應該會比較吃力
[00:01:32.000 --> 00:01:34.000]  結果
[00:01:34.000 --> 00:01:36.000]  我針對
[00:01:36.000 --> 00:01:38.000]  討論的
[00:01:38.000 --> 00:01:40.000]  一些很重要的部分
[00:01:40.000 --> 00:01:42.000]  詩篇的四十二篇
[00:01:42.000 --> 00:01:44.000]  第一到十一節
[00:01:44.000 --> 00:01:46.000]  其實會相連到四十三章的一到五節
[00:01:46.000 --> 00:01:48.000]  那段詩篇是這麼長的
[00:01:48.000 --> 00:01:50.000]  我希望
[00:01:50.000 --> 00:01:52.000]  如果你已經在
[00:01:52.000 --> 00:01:54.000]  Facebook討論
[00:01:54.000 --> 00:01:56.000]  希望你
[00:01:56.000 --> 00:01:58.000]  學會多些角度思考
