
[00:00:00.000 --> 00:00:03.000]  我們經常覺得我們有光環
[00:00:03.000 --> 00:00:11.000]  而我們的生活的想法和做法
[00:00:11.000 --> 00:00:20.000]  不知為何總是覺得和世界的處世不一樣才對
[00:00:20.000 --> 00:00:27.000]  但我發現其實沒有太大分別
[00:00:27.000 --> 00:00:31.000]  其實有一個共通點
[00:00:31.000 --> 00:00:39.000]  如果你不認真地處理當下的事
[00:00:39.000 --> 00:00:42.000]  即使你頭上有光環
[00:00:42.000 --> 00:00:52.000]  你也不會因為有恩典或上帝同在
[00:00:52.000 --> 00:00:55.000]  然後又可以免於失敗
[00:00:55.000 --> 00:01:03.000]  事實上失敗是有不同的原因
[00:01:03.000 --> 00:01:06.000]  但說來說去都是那幾樣
[00:01:06.000 --> 00:01:12.000]  但當然成功有很多因素
[00:01:12.000 --> 00:01:21.000]  所以我今天想從這個角度和大家研究
[00:01:21.000 --> 00:01:27.000]  我覺得在港台或教會過往日子裡
[00:01:27.000 --> 00:01:30.000]  不是刻意,但有時亦害人不淺
[00:01:30.000 --> 00:01:34.000]  就是讓我們進入了性俗義分
[00:01:34.000 --> 00:01:42.000]  意思是我們在教會和工作生活裡有一個樣
[00:01:42.000 --> 00:01:45.000]  但為什麼教會可以呢?
[00:01:45.000 --> 00:01:47.000]  因為教會是不能炒魷魚的
[00:01:47.000 --> 00:01:50.000]  而公司是可以炒魷魚的
[00:01:50.000 --> 00:01:55.000]  即使你嘗試不發送或延遲
[00:01:55.000 --> 00:01:59.000]  明天就不能發送了
[00:01:59.000 --> 00:02:03.000]  但在教會的生活裡
[00:02:03.000 --> 00:02:07.000]  在信仰群體裡有兩種字
[00:02:07.000 --> 00:02:11.000]  包容和包容
[00:02:11.000 --> 00:02:18.000]  有落差的就不重要
[00:02:18.000 --> 00:02:21.000]  結果你會發現
[00:02:21.000 --> 00:02:25.000]  很多時候我們所做的事
[00:02:25.000 --> 00:02:29.000]  沒有我們日常所做的事那麼精彩
[00:02:29.000 --> 00:02:31.000]  但我們覺得沒所謂
[00:02:31.000 --> 00:02:34.000]  為什麼呢?事實上
