
[00:00:00.000 --> 00:00:01.480]  各位姐妹 早安
[00:00:01.480 --> 00:00:04.320]  我們一起來聽神的話語的時候
[00:00:04.320 --> 00:00:06.080]  我們也一起禱告
[00:00:06.080 --> 00:00:11.440]  七天父上帶我們來到你的面前
[00:00:11.440 --> 00:00:14.240]  這是我們敬拜你的時候
[00:00:14.240 --> 00:00:16.800]  還有我們深信你在我們身邊
[00:00:16.800 --> 00:00:19.400]  還有我們更加求你將你的話語
[00:00:19.400 --> 00:00:21.000]  來教導我們
[00:00:21.000 --> 00:00:23.280]  將你的心意告訴我們
[00:00:23.280 --> 00:00:24.720]  最後讓我們每一個
[00:00:24.720 --> 00:00:27.840]  無論站在哪裡 坐在哪裡 說的 聽的
[00:00:27.840 --> 00:00:30.000]  都在你面前蒙恩典
[00:00:30.000 --> 00:00:33.080]  都能夠得著你的教導 你的指引
[00:00:33.080 --> 00:00:34.200]  我們仰望你
[00:00:34.200 --> 00:00:36.560]  奉主耶穌基督的聖名 阿門
[00:00:36.560 --> 00:00:41.240]  今天跟大家看一段經文
[00:00:41.240 --> 00:00:44.840]  這段經文是詩篇139篇
[00:00:44.840 --> 00:00:48.280]  相信大家是很熟悉的詩篇
[00:00:48.280 --> 00:00:50.640]  也很熟悉這首詩歌
[00:00:50.640 --> 00:00:53.120]  我們剛才也有唱
[00:00:53.120 --> 00:01:00.360]  其實這首詩歌寫出人的真相
[00:01:00.360 --> 00:01:01.880]  我們一起讀的時候
[00:01:01.880 --> 00:01:05.120]  我們看看這首詩歌
[00:01:05.120 --> 00:01:08.080]  這首詩篇是誰寫的呢
[00:01:08.080 --> 00:01:10.280]  這首詩篇是戴衛寫的
[00:01:10.280 --> 00:01:14.920]  寫作的時間應該是他比較年輕的時候
[00:01:14.920 --> 00:01:17.520]  可能是未做王的時候
[00:01:17.520 --> 00:01:19.440]  或者是初做王的時候
[00:01:19.440 --> 00:01:24.680]  也就是說他可能是在被掃羅追殺的年代
[00:01:24.680 --> 00:01:30.760]  這首詩篇分開四段
[00:01:30.760 --> 00:01:33.760]  總共有24節分開四段
[00:01:33.760 --> 00:01:36.160]  每一段有6節
[00:01:36.160 --> 00:01:40.840]  6節裏面 第5、6節就好像一個小節
[00:01:40.840 --> 00:01:43.320]  再到下一段的第5、6節
[00:01:43.320 --> 00:01:48.600]  就是第11、12節好像一個小節
[00:01:48.600 --> 00:01:51.800]  第17、18節又好像一個小節
[00:01:51.800 --> 00:01:55.600]  然後到第23、24節
[00:01:55.600 --> 00:01:59.600]  就回到第一節的內容
[00:01:59.600 --> 00:02:03.360]  第23節和第一節是很相似的
[00:02:03.360 --> 00:02:05.760]  很像一個總結
[00:02:05.760 --> 00:02:10.160]  一個開頭與結尾牽引得很好的一首詩
[00:02:10.160 --> 00:02:17.120]  當時應該是交給令長來編曲
[00:02:17.120 --> 00:02:20.400]  這首詩歌他跟我們說什麼呢
[00:02:20.400 --> 00:02:22.560]  一開始的時候
[00:02:22.560 --> 00:02:25.040]  他就說
[00:02:25.040 --> 00:02:27.760]  人家說
[00:02:27.760 --> 00:02:30.080]  你監察著我
[00:02:30.080 --> 00:02:31.240]  你認識我
[00:02:31.240 --> 00:02:33.200]  我坐下來起身
[00:02:33.200 --> 00:02:34.880]  你都看著我
[00:02:34.880 --> 00:02:36.920]  我走到哪裏 我躺下來
[00:02:36.920 --> 00:02:39.400]  你都在這裏 你都知道的
[00:02:39.400 --> 00:02:41.000]  我要說的話
[00:02:41.000 --> 00:02:43.760]  我還沒說一句 你都明白的
[00:02:43.760 --> 00:02:45.240]  可能是這個原因
[00:02:45.240 --> 00:02:48.480]  男士少說話
[00:02:48.480 --> 00:02:51.360]  男士的祈禱可能是天父你都知道的
[00:02:51.360 --> 00:02:53.240]  女士好像很長
[00:02:53.240 --> 00:02:55.040]  因為神都知道
[00:02:55.040 --> 00:02:58.400]  這首詩是男士作的
