
[00:00:00.000 --> 00:00:01.660]  再一次多謝主
[00:00:01.660 --> 00:00:05.940]  我們可以進入第十七、十八兩章
[00:00:05.940 --> 00:00:10.380]  我們都盼望透過主耶穌在當時
[00:00:10.380 --> 00:00:15.260]  如月節的時候被捉拿、被審問
[00:00:15.260 --> 00:00:18.100]  和被掛在木頭上的
[00:00:18.100 --> 00:00:22.100]  這個作者所描述的場景
[00:00:22.100 --> 00:00:26.260]  讓我們看到主耶穌是怎樣說你自己
[00:00:26.260 --> 00:00:32.780]  分別為聖,以至門徒可以因為真理來成聖
[00:00:32.780 --> 00:00:36.020]  幫助我們能夠在二千年後
[00:00:36.020 --> 00:00:39.820]  當我們要面對為真理作見證的時候
[00:00:39.820 --> 00:00:42.820]  我們有一個榜樣去跟隨
[00:00:42.820 --> 00:00:47.460]  我們自己都需要在心靈裏面來強大、強健
[00:00:47.460 --> 00:00:52.620]  求主施恩,叫信仰在我們生命裏面能夠落實
[00:00:52.620 --> 00:00:56.060]  我們可以為信仰來付代價
[00:00:56.060 --> 00:00:58.060]  我們這樣仰望禱告
[00:00:58.060 --> 00:01:01.060]  奉耶穌基督的名,阿門
[00:01:01.060 --> 00:01:04.500]  用了兩次的時間
[00:01:04.500 --> 00:01:09.060]  十七章講了主耶穌的禱告
[00:01:09.060 --> 00:01:13.220]  當然有不少的解經書來描述
[00:01:13.220 --> 00:01:16.820]  這是耶穌作為大祭司的祈禱
[00:01:16.820 --> 00:01:22.220]  你看遍整章聖經都沒有提到這個概念
[00:01:22.220 --> 00:01:29.060]  所以未必需要去想主耶穌用一個這樣的身份
[00:01:29.060 --> 00:01:33.260]  在他當下祈禱的時候
[00:01:33.260 --> 00:01:38.060]  相反就是他以一個所謂的得勝者
[00:01:38.060 --> 00:01:44.020]  反而很強調他是遵行神的旨意
[00:01:44.020 --> 00:01:48.460]  來去成就這個救贖
[00:01:48.460 --> 00:01:52.780]  所以他不是一個殉道者那麼簡單
[00:01:52.780 --> 00:01:54.780]  殉道者是一個被強迫
[00:01:54.780 --> 00:01:58.180]  有強權來壓迫
[00:01:58.180 --> 00:02:00.980]  但是一個遵行神旨意
[00:02:00.980 --> 00:02:03.380]  那個程度就很高了
[00:02:03.380 --> 00:02:06.980]  就是說他心底的使命
[00:02:06.980 --> 00:02:11.780]  比當下那個環境對他的擺佈還要強
[00:02:11.780 --> 00:02:16.380]  當然殉道必然是有一個對神的真理的效忠
[00:02:16.380 --> 00:02:18.580]  如果不是這樣的殉道者
[00:02:18.580 --> 00:02:23.180]  就變成了一些狂熱主義者
