
[00:00:00.000 --> 00:00:01.180]  大兄姐妹平安
[00:00:01.180 --> 00:00:02.380]  願意我們開始之前
[00:00:02.380 --> 00:00:03.380]  我們都有一個禱告
[00:00:03.380 --> 00:00:06.260]  出去之後我們再次去到你的面前
[00:00:06.260 --> 00:00:07.480]  我們感謝你
[00:00:07.480 --> 00:00:09.780]  讓我們可以回到教會當中
[00:00:09.780 --> 00:00:10.980]  一同去敬拜
[00:00:10.980 --> 00:00:12.620]  一同去聽你的話語
[00:00:12.620 --> 00:00:15.940]  一息奸孩子要分享你自己話語的時候
[00:00:15.940 --> 00:00:18.380]  求聖靈與我們眾人同在
[00:00:18.380 --> 00:00:19.700]  打開我們的心
[00:00:19.700 --> 00:00:21.180]  願意我們一同的
[00:00:21.180 --> 00:00:22.900]  無論講的 聽的
[00:00:22.900 --> 00:00:25.340]  我們都進入你自己的真理當中
[00:00:25.340 --> 00:00:28.140]  被你自己的真理得著幫助
[00:00:28.140 --> 00:00:30.140]  得著勸勉 得著造就
[00:00:30.140 --> 00:00:32.940]  我們恭敬的將以下時間交上
[00:00:32.940 --> 00:00:35.420]  奉主耶穌基督明智祈求
[00:00:35.420 --> 00:00:36.420]  阿門
[00:00:36.420 --> 00:00:38.700]  大兄姐妹
[00:00:38.700 --> 00:00:41.940]  斷捨離三個字
[00:00:41.940 --> 00:00:44.940]  我相信大家都有聽過
[00:00:44.940 --> 00:00:48.740]  原來這個詞語是由一個日本人
[00:00:48.740 --> 00:00:51.740]  叫做山下英子去提出的
[00:00:51.740 --> 00:00:56.940]  他的意思就是要斷絕一些不需要的東西
[00:00:56.940 --> 00:00:59.940]  捨去一些多餘的東西
[00:00:59.940 --> 00:01:02.940]  也都脫離對一些物品的執著
[00:01:02.940 --> 00:01:05.940]  但當中不是只是說
[00:01:05.940 --> 00:01:07.940]  你丟掉了一些東西就算了
[00:01:07.940 --> 00:01:10.940]  而是透過斷捨離的方式
[00:01:10.940 --> 00:01:12.940]  由整理一些物件
[00:01:12.940 --> 00:01:14.540]  捨棄一些沒用的東西
[00:01:14.540 --> 00:01:18.940]  從而令到人的內心的心靈
[00:01:18.940 --> 00:01:21.940]  可以專注在一些重要的事上
[00:01:22.940 --> 00:01:24.940]  所以當中就好像
[00:01:24.940 --> 00:01:26.940]  你要去捨棄一些事情
[00:01:26.940 --> 00:01:28.940]  但另一個層面
[00:01:28.940 --> 00:01:31.940]  你是得著的一些東西
[00:01:31.940 --> 00:01:36.940]  而剛才我們讀的肥勒比書第八節
[00:01:36.940 --> 00:01:37.940]  保羅說
[00:01:37.940 --> 00:01:40.940]  我為他已經凋棄萬事
[00:01:40.940 --> 00:01:42.940]  看作糞土
[00:01:42.940 --> 00:01:44.940]  為要得著基督
[00:01:44.940 --> 00:01:48.940]  很多時候我們都會很容易很直接
[00:01:48.940 --> 00:01:50.940]  去解這節的經文
[00:01:50.940 --> 00:01:51.940]  就在想
[00:01:51.940 --> 00:01:54.940]  是不是叫我們作為基督徒
[00:01:54.940 --> 00:01:56.940]  我們就什麼都不要了
