
[00:00:00.000 --> 00:00:02.000]  各位定智妹晚安
[00:00:02.000 --> 00:00:07.000]  聽說如果你想認識一個人
[00:00:07.000 --> 00:00:09.000]  你就跟他打麻將
[00:00:09.000 --> 00:00:11.000]  為什麼呢?
[00:00:11.000 --> 00:00:13.000]  因為一去到這些輸輸贏贏
[00:00:13.000 --> 00:00:15.000]  本性就會走出來
[00:00:15.000 --> 00:00:17.000]  也有人說過
[00:00:17.000 --> 00:00:19.000]  你想看看一個朋友
[00:00:19.000 --> 00:00:20.000]  能不能交得過
[00:00:20.000 --> 00:00:22.000]  你跟他去一次旅行
[00:00:22.000 --> 00:00:26.000]  很多事情都會在那些時間發生
[00:00:26.000 --> 00:00:28.000]  為什麼這樣說呢?
[00:00:28.000 --> 00:00:31.000]  因為很多時候人在衝突裡面
[00:00:31.000 --> 00:00:35.000]  很容易會看到一些事情的真相
[00:00:35.000 --> 00:00:37.000]  我們看聖經其實都一樣
[00:00:37.000 --> 00:00:39.000]  你看聖經你會發覺
[00:00:39.000 --> 00:00:42.000]  記載的大部分都是一些衝突
[00:00:42.000 --> 00:00:43.000]  平鋪直敘的事情
[00:00:43.000 --> 00:00:44.000]  沒有什麼好說的
[00:00:44.000 --> 00:00:46.000]  事實上很多記錄都是
[00:00:46.000 --> 00:00:49.000]  他不會記錄耶穌吃了什麼飯
[00:00:49.000 --> 00:00:51.000]  喝了什麼
[00:00:51.000 --> 00:00:53.000]  他會記錄的就是
[00:00:53.000 --> 00:00:55.000]  在裡面有什麼衝突
[00:00:55.000 --> 00:00:56.000]  發生了什麼事
[00:00:56.000 --> 00:00:58.000]  所以今天我們要看聖經的時候
[00:00:58.000 --> 00:01:02.000]  就是看到底這次發生了什麼衝突
[00:01:02.000 --> 00:01:04.000]  衝突點到底是什麼
[00:01:04.000 --> 00:01:07.000]  而那些人抱有一個什麼立場
[00:01:07.000 --> 00:01:10.000]  今天的經文其實衝突位置在哪裡呢?
[00:01:10.000 --> 00:01:11.000]  我們要想的就是
[00:01:11.000 --> 00:01:13.000]  安息日為什麼不可以醫病
[00:01:13.000 --> 00:01:15.000]  為什麼不可以醫呢?
[00:01:15.000 --> 00:01:18.000]  安息日其實在十誡裡面
[00:01:18.000 --> 00:01:19.000]  就是第四誡
[00:01:19.000 --> 00:01:21.000]  利未記裡面有很多經文
[00:01:21.000 --> 00:01:24.000]  都是講解安息日的規條
[00:01:24.000 --> 00:01:28.000]  安息日是很重要的一個律法
[00:01:28.000 --> 00:01:29.000]  其實所有的律法
[00:01:29.000 --> 00:01:31.000]  猶太人都非常重視
[00:01:31.000 --> 00:01:33.000]  因為他們切身體會過
[00:01:33.000 --> 00:01:35.000]  他們不遵守律法
[00:01:35.000 --> 00:01:37.000]  會有什麼代價
[00:01:37.000 --> 00:01:38.000]  什麼結果
[00:01:38.000 --> 00:01:40.000]  如果大家看看舊約聖經
[00:01:40.000 --> 00:01:41.000]  你就知道
[00:01:41.000 --> 00:01:45.000]  以色列人曾經他們有很光輝的一頁
[00:01:45.000 --> 00:01:48.000]  本來他們在埃及那裡做奴隸
[00:01:48.000 --> 00:01:50.000]  但是後來耶和華
[00:01:50.000 --> 00:01:53.000]  他派摩西帶領以色列人出埃及
[00:01:53.000 --> 00:01:57.000]  大家很熟悉的那些十災
[00:01:57.000 --> 00:01:59.000]  然後過紅海
[00:01:59.000 --> 00:02:02.000]  然後他們曠野漂流四十年之後
[00:02:02.000 --> 00:02:04.000]  去到迦南地
[00:02:04.000 --> 00:02:05.000]  厲害了
[00:02:05.000 --> 00:02:06.000]  過約旦河也是很厲害的
[00:02:06.000 --> 00:02:08.000]  然後圍著耶利哥城
[00:02:08.000 --> 00:02:09.000]  走七個圈吹號角
[00:02:09.000 --> 00:02:11.000]  然後就倒塌了
[00:02:11.000 --> 00:02:15.000]  這些是很厲害的一些記載
[00:02:15.000 --> 00:02:17.000]  我們看到一些很光輝的歷史
[00:02:17.000 --> 00:02:20.000]  他們經常都是以弱勝強
[00:02:20.000 --> 00:02:23.000]  看到上帝一直帶領著這個民族
[00:02:23.000 --> 00:02:26.000]  最終他們成為了一個大國
[00:02:26.000 --> 00:02:28.000]  但是後來
[00:02:28.000 --> 00:02:30.000]  到了後期
[00:02:30.000 --> 00:02:32.000]  以色列分裂
[00:02:32.000 --> 00:02:34.000]  分裂成為南國北部
[00:02:34.000 --> 00:02:38.000]  而最後他們被亞述和巴比倫滅了
[00:02:38.000 --> 00:02:40.000]  所有有知識
[00:02:40.000 --> 00:02:41.000]  有能力
[00:02:41.000 --> 00:02:43.000]  年輕力壯的人
[00:02:43.000 --> 00:02:46.000]  都被人抓去做奴隸
[00:02:46.000 --> 00:02:48.000]  因為貪他們有生產力
[00:02:48.000 --> 00:02:51.000]  有知識的人被抓去皇宮
[00:02:51.000 --> 00:02:53.000]  地方幫忙工作
[00:02:53.000 --> 00:02:57.000]  以色列人被迫分散
[00:02:57.000 --> 00:03:00.000]  流散在不同的地方生活
[00:03:00.000 --> 00:03:01.000]  剩下來的
[00:03:01.000 --> 00:03:05.000]  在耶路撒冷的都是一些老弱殘兵
[00:03:05.000 --> 00:03:07.000]  在這樣的情況下
[00:03:07.000 --> 00:03:08.000]  他們很體會到
[00:03:08.000 --> 00:03:10.000]  原來他們不遵守律法
[00:03:10.000 --> 00:03:12.000]  是一個很嚴重的代價
[00:03:12.000 --> 00:03:14.000]  《先知書》裏面多次都說
[00:03:14.000 --> 00:03:15.000]  是因為他們得罪了耶和華
[00:03:15.000 --> 00:03:18.000]  所以耶和華用外邦人去懲罰他們
[00:03:18.000 --> 00:03:21.000]  他們很堅持這個思想
[00:03:21.000 --> 00:03:25.000]  他們認為只要他們遵守律法
[00:03:25.000 --> 00:03:28.000]  耶和華就會拯救他們
[00:03:28.000 --> 00:03:30.000]  所以他們在外邦那裏
[00:03:30.000 --> 00:03:32.000]  就算在外邦人的地方生活
[00:03:32.000 --> 00:03:35.000]  他們都是保持著那一份信仰
[00:03:35.000 --> 00:03:38.000]  他們依然堅持守他們的律法
[00:03:38.000 --> 00:03:39.000]  他們會做很多事
[00:03:39.000 --> 00:03:42.000]  你看《但義理書》那些
[00:03:42.000 --> 00:03:43.000]  你會發覺
[00:03:43.000 --> 00:03:45.000]  又是看衝突位
[00:03:45.000 --> 00:03:47.000]  那些衝突位一樣都是因為
[00:03:47.000 --> 00:03:50.000]  他們守不守律法而形成的
[00:03:50.000 --> 00:03:51.000]  他們很認為
[00:03:51.000 --> 00:03:54.000]  當他們守律法肯悔改的時候
[00:03:54.000 --> 00:03:56.000]  耶和華就會拯救他們
[00:03:56.000 --> 00:03:59.000]  曾經亡國這件事是很大的教訓
[00:03:59.000 --> 00:04:02.000]  所以他們就不夠膽不做
[00:04:02.000 --> 00:04:04.000]  分分鐘怕如果再這樣
[00:04:04.000 --> 00:04:06.000]  會被神滅族
[00:04:06.000 --> 00:04:09.000]  所以我們看到新約的時候
[00:04:09.000 --> 00:04:13.000]  律法成為了以色列人一個很大的議題
[00:04:13.000 --> 00:04:14.000]  耶穌和民事
[00:04:14.000 --> 00:04:16.000]  法利卓人之間的衝突
[00:04:16.000 --> 00:04:19.000]  又是一樣經常圍繞著律法問題
[00:04:19.000 --> 00:04:22.000]  今天那個經文就是講到路加福音那裏
[00:04:22.000 --> 00:04:26.000]  會堂的主管因為耶穌在安息日治病
