
[00:00:00.000 --> 00:00:08.000]  因為這日要為你們贖罪,潔淨你們,使你們脫離一切的罪,在耶華面前得以潔淨。
[00:00:08.000 --> 00:00:17.000]  這日你們要守完全安息的安息日,刻苦己心,這是永遠的定例。
[00:00:17.000 --> 00:00:25.000]  這個贖罪日是神特別定的,所以大祭司一年就有一次進去,
[00:00:25.000 --> 00:00:32.000]  大祭司和所有祭司一起先為自己贖罪,然後再為全部百姓一起贖罪。
[00:00:32.000 --> 00:00:41.000]  他們守禁食的日子,他們在昨天晚上開始做,
[00:00:41.000 --> 00:00:49.000]  到今天晚上,他們用25個小時去禁食,聽聞他們不喝水,
[00:00:49.000 --> 00:00:55.000]  我們很容易口渴,但他們不吃東西,還不喝水,
[00:00:55.000 --> 00:01:01.000]  他們希望他們所犯的罪,神去垂聽,
[00:01:01.000 --> 00:01:07.000]  有些人經過意志而犯的罪,他們要獻梵祭,
[00:01:07.000 --> 00:01:12.000]  或者一些不是故意的,或者隱而未現的,
[00:01:12.000 --> 00:01:17.000]  或者無心之失的,他們都要獻贖罪祭,
[00:01:17.000 --> 00:01:23.000]  全部百姓要放下自己的工作,然後他們就要刻苦己心。
[00:01:23.000 --> 00:01:30.000]  但不能說我今天做了,然後就若無其事,
[00:01:30.000 --> 00:01:35.000]  原來你做了一樣事,譬如你今天遇到一些事情,
[00:01:35.000 --> 00:01:42.000]  你去祈禱,沒理由轉過兩分鐘之後,好像沒事發生,
[00:01:42.000 --> 00:01:49.000]  你剛才說拼命向神哀求,或者祈禱,很誠心的,
[00:01:49.000 --> 00:01:53.000]  但轉頭好像沒事發生,不可能的,你是人來的,
[00:01:53.000 --> 00:01:56.000]  不會分割的,但你對神的心都一樣,
[00:01:56.000 --> 00:02:01.000]  我們今天敬拜,你想想你從家裡來到教會,
[00:02:01.000 --> 00:02:06.000]  路途裡,其實你都開始預備著,有沒有想過?
[00:02:06.000 --> 00:02:09.000]  有沒有想過你在路途上準備來教會的時候,
[00:02:09.000 --> 00:02:13.000]  你已經在預備著,這個心是要來敬拜的,
[00:02:13.000 --> 00:02:19.000]  或者在裡面當中可能發生什麼事,或者跟別人吵架,我不知道,
[00:02:19.000 --> 00:02:22.000]  但你有沒有想過,原來那個時候你已經在預備著,
[00:02:22.000 --> 00:02:26.000]  今天是要去見神的,有沒有想過,
[00:02:26.000 --> 00:02:30.000]  你敬拜的過程裡面,原來這個時段都很重要的。
[00:02:30.000 --> 00:02:37.000]  當時是舊時代,亞倫第一年一次進去做這件事,
[00:02:37.000 --> 00:02:41.000]  所以全部百姓都知道這個動作,都知道要這樣做,
[00:02:41.000 --> 00:02:47.000]  所以神特別給他們,一定是有禁食的,
[00:02:47.000 --> 00:02:51.000]  然後就是個人的禁食,
[00:02:51.000 --> 00:02:54.000]  個人的禁食,你們有沒有自己訂一個計劃,
[00:02:54.000 --> 00:02:58.000]  或者一年裡面起碼一次禁食,有沒有試過?
[00:02:58.000 --> 00:03:02.000]  有沒有試過自己安靜地去禁食,
[00:03:02.000 --> 00:03:05.000]  二年教會有禁不禁有,
[00:03:05.000 --> 00:03:10.000]  但有時候突然間很餓,可能都沒有做到行動,只是祈禱,
[00:03:10.000 --> 00:03:12.000]  大家試一下在你的生活裡面,
[00:03:12.000 --> 00:03:17.000]  你玩一天,你不用上班的,餓一下都不要緊,
[00:03:17.000 --> 00:03:20.000]  試一下實踐一下禁食是怎樣的呢?
[00:03:20.000 --> 00:03:25.000]  去經歷一下,慢慢慢慢你做著做著就會知道怎樣做,
[00:03:25.000 --> 00:03:30.000]  第一次可能你會肚餓一點,可能忍耐,一餐不吃而已,
[00:03:30.000 --> 00:03:34.000]  試一下,試一下那個經歷,怎樣去摸著神,
[00:03:34.000 --> 00:03:40.000]  怎樣透過禁食裡面去祈禱,或者去唱些詩歌,
[00:03:40.000 --> 00:03:45.000]  不要緊,那個時候就專心你和神的關係去建立,
[00:03:45.000 --> 00:03:50.000]  當然我們怎樣為自己禁食呢?
[00:03:50.000 --> 00:03:53.000]  為了自己的罪,或者憂傷難過,
[00:03:53.000 --> 00:03:57.000]  或者自己經歷患難,或者疾病,
[00:03:57.000 --> 00:04:02.000]  你會去神的面前,在一些普通個人裡面去禁食,
[00:04:02.000 --> 00:04:07.000]  你就會在那個時候去經歷怎樣謙卑去祈求神,去禁食,
[00:04:07.000 --> 00:04:11.000]  或者慣例你會見到法律學人,
[00:04:11.000 --> 00:04:15.000]  他們每個禮拜有禮拜四,他們會做這件事,
[00:04:15.000 --> 00:04:22.000]  甚至在一些特別的時段,會訂了一些公眾的禁食,
[00:04:22.000 --> 00:04:30.000]  大家最出名的,記不記得以斯帖,那個很可惡的人,
[00:04:30.000 --> 00:04:39.000]  他就說要怎樣去找這些以色列人麻煩,
[00:04:39.000 --> 00:04:44.000]  然後想毀滅他們,但是以斯帖他是認識神的,
[00:04:44.000 --> 00:04:49.000]  所以他甚至叫一些不信神的人一起去禁食,
[00:04:49.000 --> 00:04:52.000]  為了這件事,因為是一件很重要的事,
[00:04:52.000 --> 00:04:56.000]  他們去祈禱,所以見到就是
[00:04:56.000 --> 00:05:04.000]  以色列人在經歷這個巴比倫王尼泊爾教會要攻陷他們的時候,
[00:05:04.000 --> 00:05:09.000]  攻陷他們耶路撒冷的京城的時候,他們就去禁食,
[00:05:09.000 --> 00:05:15.000]  所以你分別見到他們有四月,有五月,有七月,十月,
[00:05:15.000 --> 00:05:22.000]  他們會做這件事,他們去紀念他們等於是國恥,
[00:05:22.000 --> 00:05:27.000]  整個城被人攻陷了,甚至他們有一個省長,
[00:05:27.000 --> 00:05:33.000]  巴比倫王去立的省長,他又死了,被人殺了,
[00:05:33.000 --> 00:05:37.000]  他們又去毀這件事,禁食,七月的時候,
[00:05:37.000 --> 00:05:41.000]  然後整個城又被人圍困,又去禁食,
