
[00:00:00.000 --> 00:00:04.540]  領子妹很感恩在章林期的日子
[00:00:04.540 --> 00:00:06.460]  和大家一起在這個晚上
[00:00:06.460 --> 00:00:08.540]  一起去敬拜主
[00:00:08.540 --> 00:00:11.400]  也一起去聆聽上帝的道
[00:00:11.400 --> 00:00:15.340]  去讓上帝去提示我們的生命
[00:00:15.340 --> 00:00:18.140]  可能領子妹都知道
[00:00:18.140 --> 00:00:23.340]  有一個消息是我們敬愛的老爺牧師
[00:00:23.340 --> 00:00:26.140]  在周三在主懷安息
[00:00:26.140 --> 00:00:28.340]  求主都可以繼續去安慰
[00:00:28.340 --> 00:00:32.340]  與師母和他的兒女同在
[00:00:32.340 --> 00:00:34.940]  在他們不捨和哀傷日子
[00:00:34.940 --> 00:00:38.540]  都能夠得到主的恩典
[00:00:38.540 --> 00:00:40.040]  得到主的憐憫
[00:00:40.040 --> 00:00:44.240]  相信老牧師一生都是將他自己
[00:00:44.240 --> 00:00:46.740]  投放在主的服事
[00:00:46.740 --> 00:00:52.040]  將整個生命投放在回應主的這個職事上
[00:00:52.040 --> 00:00:54.840]  相信都很對應到我今天和大家
[00:00:54.840 --> 00:00:59.440]  想分享例如迦勒這個生命的一個故事
[00:00:59.440 --> 00:01:04.540]  我們會問就是我們自己又是
[00:01:04.540 --> 00:01:07.040]  怎樣去投放自己的生命
[00:01:07.040 --> 00:01:10.040]  或者我用的詞就是投資自己的生命
[00:01:10.040 --> 00:01:13.040]  並不是在說一些金錢的投資
[00:01:13.040 --> 00:01:15.940]  而是在說我們在屬靈上
[00:01:15.940 --> 00:01:18.940]  去整個生命怎樣投資自己
[00:01:18.940 --> 00:01:22.040]  怎樣投放自己下去主
[00:01:22.040 --> 00:01:26.340]  希望我們投入的事情中間
[00:01:26.340 --> 00:01:29.040]  剛才我們讀的經文裏面
[00:01:29.040 --> 00:01:32.840]  其中一個特色就是你見到
[00:01:32.840 --> 00:01:35.640]  迦勒去向著約書亞
[00:01:35.640 --> 00:01:39.440]  好像在做一個將整個人生去回顧
[00:01:39.440 --> 00:01:41.140]  或者一個自白一樣
[00:01:41.140 --> 00:01:43.440]  分享自己的人生
[00:01:43.440 --> 00:01:47.740]  有幾個位置是在說他自己的一些歲數
[00:01:47.740 --> 00:01:49.540]  譬如他說到自己
[00:01:49.540 --> 00:01:54.240]  這個經文是翻到他文數記13、14章
[00:01:54.240 --> 00:01:57.640]  我就不會和大家詳細回到那段經文
[00:01:57.640 --> 00:02:00.440]  但我都會有些時候和大家點題
[00:02:00.440 --> 00:02:03.340]  去提出那段經文的對理解
[00:02:03.340 --> 00:02:06.440]  這段經文裏面一些重要的地方
[00:02:06.440 --> 00:02:07.940]  當時他是40歲
[00:02:07.940 --> 00:02:10.340]  其實約書是同場的
[00:02:10.340 --> 00:02:13.540]  如果大家記得是12個探子
[00:02:13.540 --> 00:02:17.440]  去窺探一個迦南的美地
[00:02:17.440 --> 00:02:21.540]  如果大家留心在文數記13章的記載
[00:02:21.540 --> 00:02:26.540]  其實這12個探子是12個支派的領袖
[00:02:26.540 --> 00:02:29.640]  應該是他們看重
[00:02:29.640 --> 00:02:36.140]  會很尊重的一些當時的領袖
[00:02:36.140 --> 00:02:38.240]  派了12位去那裏
[00:02:38.240 --> 00:02:43.840]  一起去確立上帝是否像一塊迦南美地
[00:02:43.840 --> 00:02:48.640]  給以色列人將要進入去居住
[00:02:48.640 --> 00:02:50.640]  當時迦南說自己是40歲
[00:02:50.640 --> 00:02:56.440]  和其他的兄弟一起去窺探這個地方
[00:02:56.440 --> 00:03:00.340]  其實當時這段經文都是一個很重要的
[00:03:00.340 --> 00:03:03.340]  可以說是以色列人的分水嶺
[00:03:03.340 --> 00:03:07.640]  就是因為他們這班以色列人
[00:03:07.640 --> 00:03:11.340]  不去跟從耶和華的心意
[00:03:11.340 --> 00:03:14.640]  以致耶和華在那次的經歷裏面
[00:03:14.640 --> 00:03:17.140]  去和以色列人宣告
[00:03:17.140 --> 00:03:20.340]  他們要漂流抗野40年
[00:03:20.340 --> 00:03:22.240]  他們那一代的以色列人
[00:03:22.240 --> 00:03:25.140]  不能夠進入迦南地
[00:03:25.140 --> 00:03:27.840]  除了約書亞和迦納
[00:03:27.840 --> 00:03:30.540]  所以今天這段經文
[00:03:30.540 --> 00:03:33.640]  在約書亞記裏面
[00:03:33.640 --> 00:03:35.740]  就是兩個之間的對話
[00:03:35.740 --> 00:03:36.740]  過了多久呢
[00:03:36.740 --> 00:03:39.840]  如果按照迦納的字法裏面
[00:03:39.840 --> 00:03:41.540]  是過了45年
[00:03:41.540 --> 00:03:43.040]  然後按照他所說的
[00:03:43.040 --> 00:03:44.540]  讓他活了45年
[00:03:44.540 --> 00:03:47.340]  40再加45
[00:03:47.340 --> 00:03:49.740]  就是說現在已經85歲了
[00:03:49.740 --> 00:03:52.240]  所以他說到了今天
[00:03:52.240 --> 00:03:53.540]  他就覺得
[00:03:53.540 --> 00:03:56.340]  然後說曾經說過的這個應許
[00:03:56.340 --> 00:04:00.540]  就應該看今天就要藉著我
[00:04:00.540 --> 00:04:04.340]  去成就對我迦納的這個應許
[00:04:04.340 --> 00:04:07.340]  所以說如果這樣說的時候
[00:04:07.340 --> 00:04:08.540]  在這段經文裏面
[00:04:08.540 --> 00:04:12.840]  你會看到迦納將他人生規劃
[00:04:12.840 --> 00:04:16.140]  好像是分了幾個階段去看
[00:04:16.140 --> 00:04:17.840]  0至40歲可能是一個階段
[00:04:17.840 --> 00:04:19.840]  一個青年的階段
[00:04:19.840 --> 00:04:22.240]  40至85歲
[00:04:22.240 --> 00:04:26.240]  一個抗野漂流的階段
[00:04:26.240 --> 00:04:27.640]  然後去到85歲
[00:04:27.640 --> 00:04:30.340]  才進入人生的高峰
[00:04:30.340 --> 00:04:32.840]  進入人生正在成就
[00:04:32.840 --> 00:04:37.340]  上帝要成就生命的應許的階段
[00:04:37.340 --> 00:04:39.840]  再者頂智妹不知道你又覺得
[00:04:39.840 --> 00:04:41.340]  你會怎樣規劃你的人生
[00:04:41.340 --> 00:04:44.040]  或者會不會多不多好像迦納這樣
[00:04:44.040 --> 00:04:47.640]  你有時候會回顧一下自己的生命
[00:04:47.640 --> 00:04:50.240]  有時候想起一些聽過的故事
[00:04:50.240 --> 00:04:53.940]  譬如我自己一個學生機構的工作
[00:04:53.940 --> 00:04:57.340]  有時候二十多歲的年輕人都會說的
[00:04:57.340 --> 00:05:00.640]  很多事情譬如他站在一個十字路口
[00:05:00.640 --> 00:05:02.240]  他有些掙扎
