
[00:00:00.000 --> 00:00:02.000]  第一天早上
[00:00:02.000 --> 00:00:04.000]  剛剛過了復活節
[00:00:04.000 --> 00:00:08.000]  我今天選了耶穌一段故事
[00:00:08.000 --> 00:00:10.000]  是他復活之後發生的
[00:00:10.000 --> 00:00:14.000]  我們都可以一起去看看
[00:00:14.000 --> 00:00:16.000]  其實主耶穌不單止復活
[00:00:16.000 --> 00:00:19.000]  祂更加活在我們的生命裏面
[00:00:19.000 --> 00:00:21.000]  在我們的心裏面
[00:00:21.000 --> 00:00:24.000]  甚至在我們的情緒困擾裏面
[00:00:24.000 --> 00:00:26.000]  我不知道大家怎樣看待情緒
[00:00:26.000 --> 00:00:30.000]  情緒其實是我們人
[00:00:30.000 --> 00:00:33.000]  神創造我們的時候給我們一份禮物
[00:00:33.000 --> 00:00:37.000]  雖然很多時候我們說我們有情緒困擾
[00:00:37.000 --> 00:00:42.000]  但情緒其實是反映我們當時的狀況
[00:00:42.000 --> 00:00:46.000]  是一個很好的資訊給我們了解我們自己
[00:00:46.000 --> 00:00:51.000]  很多時候我們都會傾向將情緒壓抑
[00:00:51.000 --> 00:00:55.000]  導致有時候都會有一些情緒困擾
[00:00:55.000 --> 00:00:57.000]  我不知道大家有沒有想過
[00:00:57.000 --> 00:00:59.000]  其實我們的天父
[00:00:59.000 --> 00:01:01.000]  我們的主耶穌基督
[00:01:01.000 --> 00:01:05.000]  其實祂是很著緊我們的情緒
[00:01:05.000 --> 00:01:08.000]  祂會幫我們去經歷
[00:01:08.000 --> 00:01:12.000]  渡過 甚或轉化我們的情緒
[00:01:12.000 --> 00:01:15.000]  今天我們一起來看那段經文
[00:01:15.000 --> 00:01:19.000]  我們順著經文去看一看
[00:01:19.000 --> 00:01:23.000]  這裡說 正說這些話的時候
[00:01:23.000 --> 00:01:26.000]  要說一說上文下理
[00:01:26.000 --> 00:01:30.000]  正說這些話 當時耶穌是復活了
[00:01:30.000 --> 00:01:33.000]  那些人在說話呢
[00:01:33.000 --> 00:01:35.000]  其實有兩個門徒
[00:01:35.000 --> 00:01:39.000]  如果大家記得有一段很出名的故事
[00:01:39.000 --> 00:01:41.000]  就叫做「以孟思路上」
[00:01:41.000 --> 00:01:44.000]  有兩個門徒
[00:01:44.000 --> 00:01:48.000]  因為知道主耶穌基督死了
[00:01:48.000 --> 00:01:51.000]  復活 有人傳 但未見到
[00:01:51.000 --> 00:01:56.000]  所以他們一路走 在路上大家在談那件事
[00:01:56.000 --> 00:02:01.000]  耶穌臨近他們 跟他們走了一段路
[00:02:01.000 --> 00:02:06.000]  還跟他們一起吃了一頓手聖餐
[00:02:06.000 --> 00:02:09.000]  當兩個門徒突然間
[00:02:09.000 --> 00:02:13.000]  主耶穌就突然間不見了
[00:02:13.000 --> 00:02:17.000]  他們經過了一段跟主耶穌同行的時間
[00:02:17.000 --> 00:02:19.000]  他們心裡很火熱
[00:02:19.000 --> 00:02:24.000]  所以趕著回去跟門徒談那件事
[00:02:24.000 --> 00:02:27.000]  所以背景是這樣
