
[00:00:00.000 --> 00:00:02.000]  各位電視節目早安
[00:00:02.000 --> 00:00:05.000]  我代表宣導的北角堂向大家問安
[00:00:05.000 --> 00:00:07.000]  多謝教會邀請我
[00:00:07.000 --> 00:00:10.000]  亦都今日可以來到監獄跟大家分享訊息
[00:00:10.000 --> 00:00:13.000]  在近年我們或者
[00:00:13.000 --> 00:00:18.000]  未必會再直接提很多公義公正的事情
[00:00:18.000 --> 00:00:21.000]  但誠系體重一個社會
[00:00:21.000 --> 00:00:24.000]  一個社群裏面有沒有公義和公正
[00:00:24.000 --> 00:00:28.000]  這一樣的事情不會因為時局
[00:00:28.000 --> 00:00:32.000]  或者社會的文化而有改變
[00:00:32.000 --> 00:00:36.000]  在詩篇89篇14節這樣說到
[00:00:36.000 --> 00:00:43.000]  公義和公正是你寶座的基礎
[00:00:43.000 --> 00:00:47.000]  神的寶座的基礎即是那一樣東西是不會動的
[00:00:47.000 --> 00:00:49.000]  在那裏的
[00:00:49.000 --> 00:00:51.000]  不會再改變的
[00:00:51.000 --> 00:00:54.000]  慈愛和信實走在你前面
[00:00:54.000 --> 00:00:58.000]  這一樣東西一直在神的寶座流出來
[00:00:58.000 --> 00:01:00.000]  一直在發出來
[00:01:00.000 --> 00:01:02.000]  一直在走,不會停的
[00:01:02.000 --> 00:01:05.000]  當我們提到公義和公正
[00:01:05.000 --> 00:01:07.000]  這一對同義詞
[00:01:07.000 --> 00:01:11.000]  中文都比較難去分辨
[00:01:11.000 --> 00:01:13.000]  大氣一百來文
[00:01:13.000 --> 00:01:15.000]  你聽讀音都知道是兩個字
[00:01:15.000 --> 00:01:17.000]  公義是siddakā
[00:01:17.000 --> 00:01:19.000]  公正是mishpat
[00:01:19.000 --> 00:01:21.000]  你記得一個是時音
[00:01:21.000 --> 00:01:23.000]  一個是悟音
[00:01:23.000 --> 00:01:25.000]  兩個不同的音
[00:01:25.000 --> 00:01:29.000]  有分別的,用來形容兩種我們會遇到的情景
[00:01:29.000 --> 00:01:32.000]  我神學院的老師就曾經用過這樣的例子去作出講解
[00:01:32.000 --> 00:01:36.000]  我覺得很好,所以我複述用他類似的方式去講
[00:01:36.000 --> 00:01:38.000]  他說公義siddakā
[00:01:38.000 --> 00:01:41.000]  在這樣的公義的社會裏面是甚麼呢?
[00:01:41.000 --> 00:01:43.000]  就好像我們要出街工作
[00:01:43.000 --> 00:01:45.000]  上學了,坐車
