
[00:00:00.000 --> 00:00:03.000]  今日有我們本堂的傳道同工
[00:00:03.000 --> 00:00:06.000]  陳毅善牧師為我們正道
[00:00:06.000 --> 00:00:08.000]  他正道的講題是
[00:00:08.000 --> 00:00:12.000]  從心洗度靜思緒
[00:00:12.000 --> 00:00:16.000]  聖靈囂冠活身心
[00:00:16.000 --> 00:00:24.000]  經文是記載在提多書三章三至八節
[00:00:24.000 --> 00:00:27.000]  大家就不用去揭聖經了
[00:00:27.000 --> 00:00:31.000]  請聽我將經文讀一次
[00:00:31.000 --> 00:00:34.000]  我們從前也是無知
[00:00:34.000 --> 00:00:37.000]  叛逆受迷惑
[00:00:37.000 --> 00:00:41.000]  作各樣私慾和怨懦的奴隸
[00:00:41.000 --> 00:00:44.000]  在惡毒疾道中度日
[00:00:44.000 --> 00:00:48.000]  是可恨的而且彼此相恨
[00:00:48.000 --> 00:00:52.000]  但到了我們救主神的恩賜
[00:00:52.000 --> 00:00:55.000]  和慈愷顯明的時候
[00:00:55.000 --> 00:00:57.000]  祂救了我們
[00:00:57.000 --> 00:01:00.000]  並不是因我們自己所行的義
[00:01:00.000 --> 00:01:03.000]  而是照祂的憐憫
[00:01:03.000 --> 00:01:07.000]  藉著從心的洗和聖靈的更新
[00:01:07.000 --> 00:01:12.000]  聖靈就是神藉著我們的救主耶穌基督
[00:01:12.000 --> 00:01:16.000]  厚厚地囂冠在我們身上的
[00:01:16.000 --> 00:01:20.000]  好讓我們因祂的恩得清為宜
[00:01:20.000 --> 00:01:24.000]  可以憑著永生的盼望成為後製
[00:01:24.000 --> 00:01:26.000]  這話是可信的
[00:01:26.000 --> 00:01:29.000]  我願祢堅持這七事
[00:01:29.000 --> 00:01:33.000]  使那些以信神的人留心行善
[00:01:33.000 --> 00:01:36.000]  這都是美好且對人有益的
[00:01:36.000 --> 00:01:37.000]  經文讀畢
[00:01:37.000 --> 00:01:40.000]  以下恭敬的將時間交給陳牧師
[00:01:40.000 --> 00:02:08.000]  陳志全議員
[00:02:08.000 --> 00:02:12.000]  今天是一個很特別的日子
[00:02:12.000 --> 00:02:15.000]  2020年2月2日
[00:02:15.000 --> 00:02:18.000]  有些心思細密的人說
[00:02:18.000 --> 00:02:22.000]  下一個很整齊的日子是3030
[00:02:22.000 --> 00:02:24.000]  3月3日
[00:02:24.000 --> 00:02:27.000]  到那時可能你和我都
[00:02:27.000 --> 00:02:28.000]  不可能是直接
[00:02:28.000 --> 00:02:31.000]  你和我都會在這個世界上高的立下
[00:02:31.000 --> 00:02:35.000]  所以今天是一個充滿特別的節日送拜
[00:02:35.000 --> 00:02:37.000]  我們感謝主
[00:02:37.000 --> 00:02:41.000]  在過去的新年假期裏
[00:02:41.000 --> 00:02:44.000]  我和我家人19個人
[00:02:44.000 --> 00:02:47.000]  一起去了日本自由行
[00:02:47.000 --> 00:02:50.000]  我們在日本裏面
[00:02:50.000 --> 00:02:52.000]  知道口罩荒
[00:02:52.000 --> 00:02:55.000]  所以去到行程最後那兩天
[00:02:55.000 --> 00:02:59.000]  我們用了應該去購物的時間
[00:02:59.000 --> 00:03:02.000]  我們就去買口罩
[00:03:02.000 --> 00:03:05.000]  原來在日本裏面的口罩
[00:03:05.000 --> 00:03:07.000]  全部被人用光了
[00:03:07.000 --> 00:03:10.000]  我們在福岡那裏
[00:03:10.000 --> 00:03:13.000]  後來有些人醒目了
[00:03:13.000 --> 00:03:16.000]  大街裏面的大藥房
[00:03:16.000 --> 00:03:17.000]  當然被人用光了
[00:03:17.000 --> 00:03:20.000]  我們去一些小的藥房裏面
[00:03:20.000 --> 00:03:22.000]  可能找到的
[00:03:22.000 --> 00:03:26.000]  於是我們就去那些小的街那裏
[00:03:26.000 --> 00:03:28.000]  找到一些小藥房
[00:03:28.000 --> 00:03:32.000]  真的還有一些剩下的
[00:03:32.000 --> 00:03:34.000]  不過寫明了
[00:03:34.000 --> 00:03:38.000]  限住每人只可以買兩盒或兩包
