
[00:00:00.000 --> 00:00:01.120]  各位頂節目大家好
[00:00:01.120 --> 00:00:03.640]  今天很開心有機會來到這裡
[00:00:03.640 --> 00:00:05.640]  跟大家分享訊息
[00:00:05.640 --> 00:00:09.200]  也謝謝主席為我們帶來一個很好的敬拜
[00:00:09.200 --> 00:00:10.200]  特別提醒我們
[00:00:10.200 --> 00:00:13.640]  今天我們要注目在耶穌基督的身上
[00:00:13.640 --> 00:00:16.280]  各位朋友、各位頂節目
[00:00:16.280 --> 00:00:18.240]  我不知道今天你的心情如何
[00:00:18.240 --> 00:00:20.680]  或者你的狀態如何
[00:00:20.680 --> 00:00:23.080]  我相信每一個香港人都知道
[00:00:23.080 --> 00:00:25.760]  近來我們面對第三波的疫情
[00:00:25.760 --> 00:00:29.880]  也面對著社會上很多很多的不同的爭拗
[00:00:30.280 --> 00:00:32.480]  我們有時會感覺到很累
[00:00:32.480 --> 00:00:34.800]  甚至我們有時感覺到很無力
[00:00:34.800 --> 00:00:36.200]  面對這個世代
[00:00:36.200 --> 00:00:38.040]  我們發覺我們很多事情想做
[00:00:38.040 --> 00:00:39.560]  但是又做不到
[00:00:39.560 --> 00:00:41.440]  面對新老病死
[00:00:41.440 --> 00:00:42.760]  我們掌握不到
[00:00:42.760 --> 00:00:45.240]  面對其他人有不同的看法
[00:00:45.240 --> 00:00:46.680]  我們也改變不了
[00:00:46.680 --> 00:00:49.600]  但是我們今天作為信徒
[00:00:49.600 --> 00:00:50.840]  有一件事我們很重要的
[00:00:50.840 --> 00:00:53.640]  就是正如主席帶領我們一起去思考
[00:00:53.640 --> 00:00:55.760]  今天究竟我們的眼目
[00:00:55.760 --> 00:00:56.960]  看在哪裡
[00:00:56.960 --> 00:00:58.280]  我們今天的眼目
[00:00:58.280 --> 00:01:01.160]  就是看我們當前面對的困境、困難
[00:01:01.160 --> 00:01:04.840]  還是我們願意注目在耶穌基督的身上
[00:01:04.840 --> 00:01:07.360]  盼望讓我們一同去學習
[00:01:07.360 --> 00:01:09.360]  雖然我們都知道
[00:01:09.360 --> 00:01:11.400]  接下來前路一點都不容易
[00:01:11.400 --> 00:01:15.280]  但是當我們願意注目在耶穌基督的身上的時候
[00:01:15.280 --> 00:01:17.920]  我們相信在上帝的裡面
[00:01:17.920 --> 00:01:19.240]  我們總有出路
[00:01:19.240 --> 00:01:20.400]  在上帝的裡面
[00:01:20.400 --> 00:01:22.680]  我們總是看得到有盼望
[00:01:22.680 --> 00:01:25.520]  今天跟大家分享一個題目
[00:01:25.520 --> 00:01:27.240]  叫做「重新上路」
[00:01:28.080 --> 00:01:31.640]  可能這個題目也是很多人心目當中的一個期盼
[00:01:31.640 --> 00:01:34.080]  我們很想重新上路
[00:01:34.080 --> 00:01:36.440]  我們很想重新再來過
[00:01:36.440 --> 00:01:37.880]  無論面對疫情
[00:01:37.880 --> 00:01:39.880]  我們很想疫情快點過去
[00:01:39.880 --> 00:01:41.440]  我們能夠重新上路
[00:01:41.440 --> 00:01:43.520]  我們面對社會很多的撕裂
[00:01:43.520 --> 00:01:44.480]  很多的爭拗
[00:01:44.480 --> 00:01:46.640]  我們很想重新上路
[00:01:46.640 --> 00:01:48.680]  但是重新上路
[00:01:48.680 --> 00:01:51.480]  是不是只說一句話就可以
[00:01:51.480 --> 00:01:53.800]  還是其實我們今天準備好了沒有
[00:01:53.800 --> 00:01:55.640]  我們要重新上路呢
[00:01:56.200 --> 00:01:59.600]  今天我們能不能夠從約書亞的身上能夠看到
[00:01:59.600 --> 00:02:01.640]  當我們說要重新上路
[00:02:01.640 --> 00:02:04.400]  究竟我們要具備一些什麼樣的特質
[00:02:04.400 --> 00:02:06.080]  英文的背景
[00:02:06.080 --> 00:02:08.000]  我相信很多大英姐妹都熟悉的
[00:02:08.000 --> 00:02:12.120]  當約書亞接受摩西領袖的職責
[00:02:12.120 --> 00:02:15.040]  帶領一幫以色列民要離開
[00:02:15.040 --> 00:02:18.080]  就是要進入到加拿大的美地當中
[00:02:18.080 --> 00:02:21.680]  進入加拿大美地不是想像中那麼容易的事情
[00:02:21.680 --> 00:02:25.080]  他要面對第一個挑戰就是他們要過約旦河
[00:02:25.400 --> 00:02:28.480]  那個約旦河都是一個相當之困難的事情
[00:02:28.480 --> 00:02:32.240]  就算強如約書亞他都有很多的掙扎
[00:02:32.240 --> 00:02:34.920]  但是他都能夠一億的跨過
[00:02:34.920 --> 00:02:38.400]  當然進入到加拿大的時期也都不是一帆風順
[00:02:38.400 --> 00:02:41.040]  當然我們最熟悉的打野李江城
[00:02:41.040 --> 00:02:42.400]  很顯赫的事蹟
[00:02:42.400 --> 00:02:46.120]  很勵勢力待人歌頌的一個事蹟
[00:02:46.120 --> 00:02:50.280]  但是同樣他面對艾成的失敗
[00:02:50.280 --> 00:02:53.160]  或者面對很多加拿大很多的強敵的時候
[00:02:54.000 --> 00:02:56.680]  他都需要去依靠耶和華
[00:02:56.680 --> 00:03:01.000]  當去到今天我們被形容為約書亞的晚年
[00:03:01.000 --> 00:03:04.880]  約書亞經歷了很多很多的事情
[00:03:04.880 --> 00:03:07.800]  成為以色列人一代的領袖
[00:03:07.800 --> 00:03:09.720]  去到最後的時間
[00:03:09.720 --> 00:03:12.800]  他可以說是修成旗
[00:03:12.800 --> 00:03:16.800]  他在當中可以大安旨意搞定
[00:03:16.800 --> 00:03:18.880]  但是去到最後的時間
[00:03:18.880 --> 00:03:22.640]  他重新再一次挑戰一幫以色列人
[00:03:23.600 --> 00:03:27.920]  究竟在他們心中最重要的東西是甚麼
[00:03:27.920 --> 00:03:31.200]  好像所有事情都變得一帆風順
[00:03:31.200 --> 00:03:32.560]  進入到加拿大的美地
[00:03:32.560 --> 00:03:36.000]  去到最終好像平定了一切的時候
[00:03:36.000 --> 00:03:38.040]  但是去到最後的時候
[00:03:38.040 --> 00:03:40.880]  約書亞做了一個很重要的宣告
[00:03:40.880 --> 00:03:43.440]  他同樣要再一次挑戰一幫以色列人
[00:03:43.440 --> 00:03:48.080]  今天你們心中最重要的東西是甚麼
[00:03:48.080 --> 00:03:49.800]  求主幫助我們
[00:03:49.800 --> 00:03:51.520]  讓我們再一次從約書亞
[00:03:51.520 --> 00:03:54.400]  他的生命特別是晚年的生命當中
[00:03:54.400 --> 00:03:57.520]  約書亞在挑戰當時的一幫以色列人
[00:03:57.520 --> 00:03:59.320]  盼望約書亞的挑戰
[00:03:59.320 --> 00:04:00.960]  也在挑戰我們今天
[00:04:00.960 --> 00:04:03.360]  處於這個世代的每一個人
[00:04:03.360 --> 00:04:06.840]  而我們今天的選擇又是甚麼呢
[00:04:06.840 --> 00:04:08.160]  我們進入經文之詩
[00:04:08.160 --> 00:04:09.280]  我們一起的禱告
[00:04:09.280 --> 00:04:12.240]  七位恩主多謝你
[00:04:12.240 --> 00:04:14.480]  讓我們今天繼續有生命有氣息
[00:04:14.480 --> 00:04:16.160]  能夠一同敬拜一同的罪惡
[00:04:16.160 --> 00:04:17.720]  都是上帝你給我們的恩典
[00:04:18.240 --> 00:04:20.040]  雖然今天我們仍然不能夠
[00:04:20.040 --> 00:04:21.680]  舉行實體的聚會
[00:04:21.680 --> 00:04:23.720]  但我們能夠透過網上的科技
[00:04:23.720 --> 00:04:25.400]  我們仍然都有一切的敬拜
[00:04:25.400 --> 00:04:26.800]  一同的去聽道
[00:04:26.800 --> 00:04:28.680]  都是上帝來的祝福
[00:04:28.680 --> 00:04:30.080]  也是上帝來給我們的恩典
[00:04:30.080 --> 00:04:31.720]  求主也幫助我們
[00:04:31.720 --> 00:04:33.440]  今天透過約書亞的生命
[00:04:33.440 --> 00:04:35.040]  再一次提醒我們
[00:04:35.040 --> 00:04:36.360]  今天在我們的生命裏面
