
[00:00:00.000 --> 00:00:05.400]  早晨 各位節目好 今天很高興來到錦繡花園這個地方
[00:00:05.400 --> 00:00:07.400]  跟大家分享一些神奇的訊息
[00:00:07.400 --> 00:00:09.400]  我自己住在美孚
[00:00:09.400 --> 00:00:12.400]  所以今天早上很快就來到錦繡花園
[00:00:12.400 --> 00:00:14.400]  比我想像中還早了十分鐘
[00:00:14.400 --> 00:00:20.900]  有一次我媽媽在美孚帶我兩歲大的兒子回長沙灣
[00:00:20.900 --> 00:00:22.900]  帶他的時候發生了一件趣事
[00:00:22.900 --> 00:00:24.900]  我想跟大家分享一下
[00:00:24.900 --> 00:00:27.900]  在搭車途中 有一個太太說
[00:00:27.900 --> 00:00:31.900]  小朋友 你嘴巴張開說這麼多話 你今年多大了
[00:00:31.900 --> 00:00:33.900]  兒子說 我兩歲
[00:00:33.900 --> 00:00:35.900]  太太就鬱子一算
[00:00:35.900 --> 00:00:37.900]  現在是農年 鬱子一算
[00:00:37.900 --> 00:00:40.900]  那你不就是牛仔嗎
[00:00:40.900 --> 00:00:41.900]  牛年出世
[00:00:41.900 --> 00:00:43.900]  你猜一下我兒子有什麼回應
[00:00:43.900 --> 00:00:49.900]  他說 我不是牛仔 我是美孚少爺
[00:00:49.900 --> 00:00:51.900]  為什麼他會這樣回答呢
[00:00:51.900 --> 00:00:54.900]  原來我媽媽教一個兩歲小朋友的方法
[00:00:54.900 --> 00:00:55.900]  教他自理
[00:00:55.900 --> 00:00:58.900]  吃飯要擦嘴 要洗手
[00:00:58.900 --> 00:01:00.900]  就要像少爺一樣
[00:01:00.900 --> 00:01:03.900]  所以我兒子就潛移默化
[00:01:03.900 --> 00:01:05.900]  回答我是美孚少爺
[00:01:05.900 --> 00:01:08.900]  千萬不要誤會 我家裡不是富貴家庭
[00:01:08.900 --> 00:01:09.900]  所以他這樣說
[00:01:09.900 --> 00:01:11.900]  但是有時候我們反思
[00:01:11.900 --> 00:01:14.900]  我們生活有時候有很多的忙碌
[00:01:14.900 --> 00:01:15.900]  剛才聖經所提的
[00:01:15.900 --> 00:01:18.900]  有很多的罪 有很多的纏繞
[00:01:18.900 --> 00:01:20.900]  其實有時候令我們生命很多的重擔
[00:01:20.900 --> 00:01:24.900]  就像一隻牛多於一個人
[00:01:24.900 --> 00:01:26.900]  所以弟兄姊妹 你問一下自己
[00:01:26.900 --> 00:01:30.900]  你是誰 你知道你是誰嗎
[00:01:30.900 --> 00:01:32.900]  我是神的兒女 是不是
[00:01:32.900 --> 00:01:34.900]  有時候我們做一次牛
[00:01:34.900 --> 00:01:36.900]  忘記了這麼尊貴的身份
[00:01:36.900 --> 00:01:39.900]  就是我和你都是神寶貴的兒女
[00:01:39.900 --> 00:01:42.900]  所以弟兄姊妹 剛才給我們一些提醒
[00:01:42.900 --> 00:01:44.900]  就是時間其實不多了
[00:01:44.900 --> 00:01:47.900]  耶穌再來的日子可能很快
[00:01:47.900 --> 00:01:49.900]  在這麼短的時間裡
[00:01:49.900 --> 00:01:50.900]  我們不要再做牛了 是不是
[00:01:50.900 --> 00:01:52.900]  我們做一個神的兒女
[00:01:52.900 --> 00:01:54.900]  我們今天一起去看看這段經文
[00:01:54.900 --> 00:01:55.900]  給我們的啟發
[00:01:55.900 --> 00:01:56.900]  讓我們去想一想
[00:01:56.900 --> 00:01:59.900]  我們生命究竟是撐了些什麼
[00:01:59.900 --> 00:02:01.900]  或者我們現在的狀態要怎樣改變
[00:02:01.900 --> 00:02:03.900]  如果再來過 再來過
[00:02:03.900 --> 00:02:05.900]  新的一天 新的一年
[00:02:05.900 --> 00:02:06.900]  我們要怎樣過
[00:02:06.900 --> 00:02:08.900]  才能獲得此聖經所應許
[00:02:08.900 --> 00:02:10.900]  神兒女的身份 好嗎
[00:02:10.900 --> 00:02:12.900]  我們一起來去禱告
[00:02:12.900 --> 00:02:13.900]  主音請你讓我們今天
[00:02:13.900 --> 00:02:15.900]  回來教會裡面一起去敬拜
[00:02:15.900 --> 00:02:17.900]  是很多無比的事情
[00:02:17.900 --> 00:02:19.900]  現在我們可以在生活
