
[00:00:00.000 --> 00:00:04.000]  各位頂智媒主你們平安
[00:00:04.000 --> 00:00:10.000]  今日講的經文是關於前書三章六至十五節
[00:00:10.000 --> 00:00:14.000]  其實這一段經文都相當熟悉
[00:00:14.000 --> 00:00:18.000]  很多時我們都會去看這個比喻
[00:00:18.000 --> 00:00:22.000]  寶萊講到他好像一個聰明的公頭
[00:00:22.000 --> 00:00:26.000]  立了根基然後人家在上面建造
[00:00:26.000 --> 00:00:32.000]  然後講到如果人用金銀寶石草木和街在上面建造
[00:00:32.000 --> 00:00:35.000]  將來的工程就會顯露
[00:00:35.000 --> 00:00:40.000]  其實這一段經文怎樣去解釋呢
[00:00:40.000 --> 00:00:48.000]  在整個哥倫多前書可以說頭幾章都一直處理一個問題
[00:00:48.000 --> 00:00:50.000]  處理一個什麼問題呢
[00:00:50.000 --> 00:00:52.000]  就是他們分黨分派
[00:00:52.000 --> 00:00:57.000]  分黨分派分得來還要把屬靈領袖拉進水裡
[00:00:57.000 --> 00:01:00.000]  我是屬保羅的我是屬阿波羅的
[00:01:00.000 --> 00:01:02.000]  我是屬誰誰的
[00:01:02.000 --> 00:01:06.000]  其實這種現象都頗奇怪
[00:01:06.000 --> 00:01:10.000]  你不會見到我們現代教會說我是屬於曾牧師的
[00:01:10.000 --> 00:01:12.000]  我是屬於誰的
[00:01:12.000 --> 00:01:15.000]  可能你會說我是誰人的團契
[00:01:15.000 --> 00:01:17.000]  都可以的不是什麼問題
[00:01:17.000 --> 00:01:19.000]  但這種哥倫多教會的情況
[00:01:19.000 --> 00:01:22.000]  就是說到似乎我跟哪一個大佬
[00:01:22.000 --> 00:01:26.000]  我跟哪一個屬靈領袖是特別威風一點
[00:01:26.000 --> 00:01:29.000]  保羅一直去處理這個問題
[00:01:29.000 --> 00:01:32.000]  在這段經文即是今天這段要講的經文裡面
[00:01:32.000 --> 00:01:37.000]  他將教會形容為一塊田地
[00:01:37.000 --> 00:01:41.000]  他自己和阿波羅這些只是僥倖的人
[00:01:41.000 --> 00:01:46.000]  而這塊田地裡面他們只是負責其中一些崗位
[00:01:46.000 --> 00:01:50.000]  負責這塊田地的崗位的人哪些比較重要呢
[00:01:50.000 --> 00:01:56.000]  栽種比較重要還是灌溉或是囂觀比較重要呢
[00:01:56.000 --> 00:02:01.000]  沒有人去栽種自然不會有收成
