
[00:00:00.000 --> 00:00:02.000]  祖堂的弟兄姊妹早晨
[00:00:02.000 --> 00:00:06.240]  因為很多時候我在祖堂都要在旁邊教浸禮班
[00:00:06.240 --> 00:00:08.440]  所以只是逢第一週
[00:00:08.440 --> 00:00:11.600]  就會跟大家可以有比較長一點的見面
[00:00:11.600 --> 00:00:14.680]  我們一起可以來數算神的恩典
[00:00:14.680 --> 00:00:17.880]  也都過去曾經中了新冠肺炎
[00:00:17.880 --> 00:00:20.200]  但是也都很順利感恩
[00:00:20.200 --> 00:00:22.080]  隔離完之後都康復
[00:00:22.080 --> 00:00:24.080]  而且沒有什麼後遺症
[00:00:24.080 --> 00:00:26.440]  可以繼續大家同心的侍奉
[00:00:26.440 --> 00:00:28.000]  很感謝神的恩典的
[00:00:28.000 --> 00:00:31.200]  我們在開始之前有一個簡單禱告
[00:00:31.200 --> 00:00:32.800]  多謝主
[00:00:32.800 --> 00:00:35.000]  我們要打開聖經
[00:00:35.000 --> 00:00:37.040]  幫助我們能夠明白
[00:00:37.040 --> 00:00:39.800]  小徒保羅這個禱告
[00:00:39.800 --> 00:00:44.240]  一個已經影響著教會二千年的祈禱
[00:00:44.240 --> 00:00:46.320]  擺在聖經裏面
[00:00:46.320 --> 00:00:49.720]  讓我們知道應該朝什麼方向
[00:00:49.720 --> 00:00:54.000]  去追求人生真正的意義
[00:00:54.000 --> 00:00:56.480]  以及在我們侍奉的時候
[00:00:56.480 --> 00:01:00.200]  需要這一份的能力求主幫助
[00:01:00.200 --> 00:01:03.840]  這樣禱告奉耶穌基督的名
[00:01:03.840 --> 00:01:05.840]  阿們
[00:01:05.840 --> 00:01:08.480]  第三章第一節保羅開始
[00:01:08.480 --> 00:01:11.080]  他已經說他想祈禱的
[00:01:11.080 --> 00:01:14.840]  因此我保羅為你們外邦人
[00:01:14.840 --> 00:01:17.320]  特別強調是向外邦人
[00:01:17.320 --> 00:01:20.280]  這本書很想告訴他們
[00:01:20.280 --> 00:01:24.000]  你們現在有一個很大的福氣
[00:01:24.000 --> 00:01:28.160]  就是你們和猶太人同蒙應許
[00:01:28.160 --> 00:01:30.160]  同為後治
[00:01:30.160 --> 00:01:33.160]  同得永恆的盼望
[00:01:33.160 --> 00:01:36.040]  這是第六節所說的
[00:01:36.040 --> 00:01:38.040]  所以一開始的時候
[00:01:38.040 --> 00:01:42.040]  他已經說我是作基督耶穌的一個囚徒
[00:01:42.040 --> 00:01:44.040]  為你們去禱告
[00:01:44.040 --> 00:01:45.560]  替你們祈禱
[00:01:45.560 --> 00:01:48.080]  接著他就暫時不說了
[00:01:48.080 --> 00:01:49.880]  接著來到第十四節
[00:01:49.880 --> 00:01:51.480]  剛才主席已經讀了
[00:01:51.480 --> 00:01:55.000]  因此我在父的面前
[00:01:55.000 --> 00:01:57.000]  來屈膝
[00:01:57.000 --> 00:01:59.000]  猶太人的祈禱
[00:01:59.000 --> 00:02:01.000]  如果你看舊約
[00:02:01.000 --> 00:02:03.000]  或者福音書的時代
[00:02:03.000 --> 00:02:07.000]  他們是舉手站起來祈禱的
[00:02:07.000 --> 00:02:11.480]  比較少屈膝這樣來祈禱
[00:02:11.480 --> 00:02:14.760]  固然可能當時的處境
[00:02:14.760 --> 00:02:17.480]  保羅在羅馬的監獄裏面
[00:02:17.480 --> 00:02:20.360]  他來為外邦人祈禱
[00:02:20.360 --> 00:02:22.360]  你想想一個小小的牢房
[00:02:22.360 --> 00:02:24.360]  他要來祈禱的時候
[00:02:24.360 --> 00:02:26.360]  沒理由在那裏呼天搶地
[00:02:26.360 --> 00:02:28.360]  可能那些兵兵會說不要再吵了
[00:02:28.360 --> 00:02:30.360]  再吵我打你了
[00:02:30.360 --> 00:02:32.360]  那就一定是很安靜的
[00:02:32.360 --> 00:02:36.360]  屈膝來禱告
[00:02:36.360 --> 00:02:38.360]  禱告什麼呢
[00:02:38.360 --> 00:02:40.360]  一個很重要的重點
[00:02:40.360 --> 00:02:42.360]  當然可以分四方面的
[00:02:42.360 --> 00:02:45.360]  不過一個很重要的重點就是
[00:02:45.360 --> 00:02:49.360]  心靈裏面灌注耶穌的愛
[00:02:49.360 --> 00:02:51.360]  而且這個愛
[00:02:51.360 --> 00:02:56.360]  你是可以跟眾聖徒一同再去明白
[00:02:56.360 --> 00:03:02.360]  體會基督的愛到底有多麼的長闊高深
[00:03:02.360 --> 00:03:07.360]  不能夠用限量去計算量度的愛
[00:03:07.360 --> 00:03:09.360]  這個我們會很明白
[00:03:09.360 --> 00:03:11.360]  不是去量度有一個指標
[00:03:11.360 --> 00:03:15.360]  你可以用一個儀器去量度有多少的愛
[00:03:15.360 --> 00:03:17.360]  這個說的是基督的愛
[00:03:17.360 --> 00:03:22.360]  這裏就是保羅向神禱告
[00:03:22.360 --> 00:03:24.360]  不過留意
[00:03:24.360 --> 00:03:30.360]  猶太人從來不敢稱呼神是父
[00:03:30.360 --> 00:03:34.360]  耶穌帶來這個突破
[00:03:34.360 --> 00:03:36.360]  他在福音書的時候
