
[00:00:00.000 --> 00:00:03.000]  以下是宣導時間
[00:00:03.000 --> 00:00:07.000]  感謝神今日有鄺寶賢傳道在我們中間正道
[00:00:07.000 --> 00:00:11.000]  鄺傳道是本堂的傳道同工
[00:00:11.000 --> 00:00:13.000]  而他今日的講題是
[00:00:13.000 --> 00:00:15.000]  「跟隨耶穌的美道」
[00:00:15.000 --> 00:00:17.000]  在未正道之先
[00:00:17.000 --> 00:00:20.000]  請聽我讀出以下相關的經文
[00:00:20.000 --> 00:00:22.000]  經文是記載在
[00:00:22.000 --> 00:00:28.000]  《路加福音》第十四章二十五至三十五節
[00:00:28.000 --> 00:00:35.000]  《路加福音》十四章二十五至三十五節
[00:00:35.000 --> 00:00:41.000]  是記載在我們教會聖經新約第一百一十七頁
[00:00:41.000 --> 00:00:44.000]  新約第一百一十七頁
[00:00:44.000 --> 00:00:52.000]  《路加福音》第十四章第二十五節
[00:00:52.000 --> 00:00:55.000]  有一大群人和耶穌同行
[00:00:55.000 --> 00:00:58.000]  祂轉過來對他們說
[00:00:58.000 --> 00:01:01.000]  無論什麼人到我這裡來
[00:01:01.000 --> 00:01:04.000]  若不愛我勝過愛自己的父母
[00:01:04.000 --> 00:01:09.000]  妻子兒女兄弟姊妹
[00:01:09.000 --> 00:01:11.000]  甚至自己的性命
[00:01:11.000 --> 00:01:13.000]  就不能作我的門徒
[00:01:13.000 --> 00:01:17.000]  凡不背著自己的十字架來跟從我的
[00:01:17.000 --> 00:01:20.000]  也不能作我的門徒
[00:01:20.000 --> 00:01:24.000]  你們哪一個要蓋一座樓
[00:01:24.000 --> 00:01:27.000]  不先坐下來計算費用
[00:01:27.000 --> 00:01:29.000]  看能不能蓋成
[00:01:29.000 --> 00:01:31.000]  免得安了地基
[00:01:31.000 --> 00:01:32.000]  不能蓋成
[00:01:32.000 --> 00:01:35.000]  看見的人都笑話他說
[00:01:35.000 --> 00:01:40.000]  這個人開了工卻不能完工
[00:01:40.000 --> 00:01:43.000]  或是一個王出去和別的王打仗
[00:01:43.000 --> 00:01:46.000]  豈不先坐下來著涼
[00:01:46.000 --> 00:01:52.000]  他能不能用一萬兵去抵抗那另二萬兵來攻打他的嗎
[00:01:52.000 --> 00:01:54.000]  若是不能
[00:01:54.000 --> 00:01:57.000]  他就趁敵人還遠的時候
[00:01:57.000 --> 00:02:00.000]  派使者去談和平的條件
[00:02:00.000 --> 00:02:02.000]  這樣你們無論什麼人
[00:02:02.000 --> 00:02:05.000]  若不撇下一切所有的
[00:02:05.000 --> 00:02:08.000]  就不能作我的門徒
[00:02:08.000 --> 00:02:10.000]  鹽本是好的
[00:02:10.000 --> 00:02:12.000]  鹽若失了味
[00:02:12.000 --> 00:02:15.000]  怎能叫它再鹹呢
[00:02:15.000 --> 00:02:17.000]  或用在田裡
[00:02:17.000 --> 00:02:19.000]  或堆在糞裡
[00:02:19.000 --> 00:02:20.000]  都不合適
[00:02:20.000 --> 00:02:22.000]  只好丟在外面
[00:02:22.000 --> 00:02:25.000]  有意可聽的就應當聽
[00:02:25.000 --> 00:02:27.000]  現在恭請抗前代政長
[00:02:27.000 --> 00:02:34.000]  
[00:02:34.000 --> 00:02:36.000]  
[00:02:37.000 --> 00:02:38.000]  
[00:02:39.000 --> 00:02:42.000]  按照教會的編排
[00:02:42.000 --> 00:02:46.000]  今天會和大家一起去看路加福音十四章
[00:02:46.000 --> 00:02:49.000]  會集中看二十五至三十五節
[00:02:49.000 --> 00:02:53.000]  一段關於跟隨耶穌的重要經文
[00:02:53.000 --> 00:02:55.000]  重要到一個地步
[00:02:55.000 --> 00:02:57.000]  是凡有意可聽的
[00:02:57.000 --> 00:02:59.000]  就應當聽
[00:02:59.000 --> 00:03:03.000]  無論對跟隨耶穌的基督徒
[00:03:03.000 --> 00:03:05.000]  對我自己
[00:03:05.000 --> 00:03:09.000]  或對仍然認識耶穌的朋友
[00:03:09.000 --> 00:03:12.000]  都需要用心聽的經文
[00:03:12.000 --> 00:03:14.000]  我們同心低頭祈禱
[00:03:14.000 --> 00:03:17.000]  趁著我們交託以下的時間
[00:03:17.000 --> 00:03:20.000]  求你幫助我們明白你的話語
[00:03:20.000 --> 00:03:22.000]  也讓在座的每一位
[00:03:22.000 --> 00:03:23.000]  包括孩子
[00:03:23.000 --> 00:03:26.000]  能夠打開我們的內心
[00:03:26.000 --> 00:03:29.000]  心裡能夠明白你的旨意
[00:03:29.000 --> 00:03:31.000]  也求主特別幫助
[00:03:31.000 --> 00:03:33.000]  初初回到教會的朋友
[00:03:33.000 --> 00:03:35.000]  得著聖靈的幫助
[00:03:35.000 --> 00:03:37.000]  建立一個紮實的信心
[00:03:37.000 --> 00:03:40.000]  多謝主請我們在面前同心的祈禱
[00:03:40.000 --> 00:03:42.000]  奉靠主耶穌基督的聖名
[00:03:42.000 --> 00:03:43.000]  阿們
[00:03:43.000 --> 00:03:46.000]  在十四章的開始
[00:03:46.000 --> 00:03:51.000]  耶穌就去了法利塞人的家裡作客
[00:03:51.000 --> 00:03:54.000]  透過在安息日治病
[00:03:54.000 --> 00:03:57.000]  透過講解治病的原因
[00:03:57.000 --> 00:03:59.000]  讓當時謹守律法
[00:03:59.000 --> 00:04:02.000]  認為安息日不可工作的猶太人
[00:04:02.000 --> 00:04:05.000]  明白上主對人的憐憫
[00:04:05.000 --> 00:04:08.000]  也讓在場的人認識到
[00:04:08.000 --> 00:04:11.000]  跟隨耶穌需要待人憐憫
