
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹我們一起祈禱
[00:00:03.000 --> 00:00:07.000]  多謝天父再一次讓我們在晚上
[00:00:07.000 --> 00:00:12.000]  能夠用心去研讀神理的話語
[00:00:12.000 --> 00:00:19.000]  我們會再去看撒姆爾記上的大衛、蘇羅和撒姆爾
[00:00:19.000 --> 00:00:23.000]  讓我們都能夠透過聖經的描述
[00:00:23.000 --> 00:00:28.000]  對舊約的聖經人物有一個認識
[00:00:28.000 --> 00:00:32.000]  在他們那個時代他們要面對什麼的掙扎
[00:00:32.000 --> 00:00:34.000]  和要面對什麼的事情
[00:00:34.000 --> 00:00:36.000]  願神都幫助我們
[00:00:36.000 --> 00:00:39.000]  我們在你面前的等候禱告
[00:00:39.000 --> 00:00:41.000]  奉耶穌基督的名
[00:00:41.000 --> 00:00:42.000]  阿們
[00:00:42.000 --> 00:00:44.000]  要報告一下
[00:00:44.000 --> 00:00:49.000]  因為下個星期四晚有安息聚會
[00:00:49.000 --> 00:00:50.000]  我要主禮
[00:00:50.000 --> 00:00:54.000]  所以下個星期就要停一次的茶經班
[00:00:57.000 --> 00:01:02.000]  我們回來看第23章的撒姆爾記上
[00:01:02.000 --> 00:01:06.000]  其實這三章
[00:01:06.000 --> 00:01:08.000]  三、四、五、六
[00:01:08.000 --> 00:01:10.000]  這四章
[00:01:10.000 --> 00:01:13.000]  是有相關的
[00:01:13.000 --> 00:01:18.000]  就是作者或者敘述的技術的人
[00:01:18.000 --> 00:01:20.000]  即是這些拉比
[00:01:20.000 --> 00:01:22.000]  其實不知道是誰作的
[00:01:22.000 --> 00:01:27.000]  但他就將大衛逃亡的生平
[00:01:27.000 --> 00:01:29.000]  都有好幾段
[00:01:29.000 --> 00:01:31.000]  來講出來
[00:01:31.000 --> 00:01:33.000]  到底他的心路歷程
[00:01:33.000 --> 00:01:36.000]  是他傾向於敬虔
[00:01:36.000 --> 00:01:37.000]  倚靠神
[00:01:37.000 --> 00:01:42.000]  還是傾向於世界的想法
[00:01:42.000 --> 00:01:44.000]  那些的思想
[00:01:44.000 --> 00:01:45.000]  在這幾章裏面
[00:01:45.000 --> 00:01:47.000]  都有一些的線索
[00:01:47.000 --> 00:01:51.000]  我們先看第23章
[00:01:51.000 --> 00:01:54.000]  這章聖經就出現了幾個人
[00:01:54.000 --> 00:01:57.000]  其中就是素羅的父子
[00:01:57.000 --> 00:01:59.000]  即是素羅和約拿丹
[00:01:59.000 --> 00:02:02.000]  約拿丹都去找大衛
[00:02:02.000 --> 00:02:04.000]  所以你又會見到作者
[00:02:04.000 --> 00:02:07.000]  那麼巧妙地去技術
[00:02:07.000 --> 00:02:10.000]  都讓我們有一些反思
[00:02:10.000 --> 00:02:14.000]  我們平時就比較少去講這些經文
[00:02:14.000 --> 00:02:18.000]  所以在茶經班就可以有系統
[00:02:18.000 --> 00:02:21.000]  仔細地大家一起去研讀
[00:02:21.000 --> 00:02:23.000]  第23章
[00:02:23.000 --> 00:02:25.000]  撒慕爾記上
[00:02:25.000 --> 00:02:27.000]  大家先聽聽這段聖經
[00:02:27.000 --> 00:02:30.000]  有人告訴大衛說
[00:02:30.000 --> 00:02:33.000]  非利士人攻擊基拉
[00:02:33.000 --> 00:02:35.000]  搶奪和祥
[00:02:35.000 --> 00:02:38.000]  當然就是猶大國境的地方
[00:02:38.000 --> 00:02:42.000]  所以大衛就求問耶和華
[00:02:42.000 --> 00:02:45.000]  我去攻打那些非利士人
[00:02:45.000 --> 00:02:47.000]  可以不可以
[00:02:47.000 --> 00:02:49.000]  上文才說
[00:02:49.000 --> 00:02:52.000]  他來投靠阿吉王
[00:02:52.000 --> 00:02:56.000]  這是21章的12節記載了
[00:02:56.000 --> 00:02:59.000]  後來阿吉王
[00:02:59.000 --> 00:03:02.000]  即是非利士的一些將軍
[00:03:02.000 --> 00:03:04.000]  將領
