
[00:00:00.000 --> 00:00:03.000]  請我們同心的祈禱
[00:00:03.000 --> 00:00:05.000]  再一次多謝主
[00:00:05.000 --> 00:00:07.000]  我們打開聖經
[00:00:07.000 --> 00:00:09.000]  我們要來學習
[00:00:09.000 --> 00:00:12.000]  稱頌祢的聖名
[00:00:12.000 --> 00:00:14.000]  求祢向我們的心靈
[00:00:14.000 --> 00:00:16.000]  顯現
[00:00:16.000 --> 00:00:18.000]  也讓這篇詩篇
[00:00:18.000 --> 00:00:21.000]  特別是裡面很重要的內容
[00:00:21.000 --> 00:00:22.000]  訊息
[00:00:22.000 --> 00:00:24.000]  成為我們的提醒
[00:00:24.000 --> 00:00:26.000]  成為我們面對
[00:00:26.000 --> 00:00:29.000]  我們困難的盼望
[00:00:29.000 --> 00:00:31.000]  感恩禱告
[00:00:31.000 --> 00:00:33.000]  奉耶穌基督的名
[00:00:33.000 --> 00:00:35.000]  阿們
[00:00:35.000 --> 00:00:39.000]  大家如果對猶太人的節旗
[00:00:39.000 --> 00:00:43.000]  有一些的研究認識
[00:00:43.000 --> 00:00:45.000]  由詩篇的113
[00:00:45.000 --> 00:00:48.000]  一直到118篇
[00:00:48.000 --> 00:00:50.000]  是有一個統稱的
[00:00:50.000 --> 00:00:52.000]  叫做哈尼的詩歌
[00:00:52.000 --> 00:00:55.000]  就是他們進去聖殿的時候
[00:00:55.000 --> 00:00:58.000]  他們會頌揚三一上主
[00:00:58.000 --> 00:01:00.000]  當然他們不信耶穌
[00:01:00.000 --> 00:01:04.000]  所以他們頌揚這位神
[00:01:04.000 --> 00:01:07.000]  118篇就是那個高潮
[00:01:07.000 --> 00:01:10.000]  這是一個小小的知識
[00:01:10.000 --> 00:01:13.000]  但是在詩篇裡面
[00:01:13.000 --> 00:01:18.000]  118篇是分外的重要
[00:01:18.000 --> 00:01:19.000]  為什麼呢
[00:01:19.000 --> 00:01:24.000]  因為新約引述這篇詩篇是最多的
[00:01:24.000 --> 00:01:30.000]  甚至新約已經將有一節很難解的22節
[00:01:30.000 --> 00:01:33.000]  解得很清楚
[00:01:33.000 --> 00:01:35.000]  就不是說第二個人
[00:01:35.000 --> 00:01:38.000]  到底那個象人是象徵誰呢
[00:01:38.000 --> 00:01:42.000]  什麼是那個石頭被撇棄呢
[00:01:42.000 --> 00:01:45.000]  很清楚新約的作者
[00:01:45.000 --> 00:01:47.000]  因為耶穌的復活之後
[00:01:47.000 --> 00:01:52.000]  就已經重新去理解詩篇118篇
[00:01:52.000 --> 00:01:55.000]  就是講到尼塞亞耶穌
[00:01:55.000 --> 00:01:59.000]  他就是象人所棄的石頭
[00:01:59.000 --> 00:02:02.000]  已經成為了房閣的頭塊石頭
[00:02:02.000 --> 00:02:09.000]  當然118篇最多人認識的就是24節
[00:02:09.000 --> 00:02:13.000]  這是耶和華所定的日子
[00:02:13.000 --> 00:02:17.000]  我們要在其中高興歡喜
[00:02:17.000 --> 00:02:20.000]  因為結婚的弟兄姊妹
[00:02:20.000 --> 00:02:24.000]  最喜歡的其中一節的經文
[00:02:24.000 --> 00:02:27.000]  很多時候在婚卡裡面
[00:02:27.000 --> 00:02:29.000]  都有這一節聖經
[00:02:29.000 --> 00:02:34.000]  因為這一節聖經的確是講一個歡欣的日子
[00:02:34.000 --> 00:02:39.000]  不過我們回到經文的背景
[00:02:39.000 --> 00:02:44.000]  當時作者他為什麼可以在這樣的狀況
[00:02:44.000 --> 00:02:47.000]  來流露這個歡欣呢
[00:02:47.000 --> 00:02:52.000]  就很想和大家今天藉著這一篇詩一起學習
[00:02:52.000 --> 00:02:56.000]  當然大家都看到頭尾作者
[00:02:56.000 --> 00:03:01.000]  第一節第二節和第29節
[00:03:01.000 --> 00:03:03.000]  都好像一個大的括弧
[00:03:03.000 --> 00:03:06.000]  告訴我們要怎麼樣
[00:03:06.000 --> 00:03:10.000]  以色列的群體要怎麼樣去做呢
[00:03:10.000 --> 00:03:13.000]  這裡說要稱謝耶和華
[00:03:13.000 --> 00:03:15.000]  為什麼要稱謝他呢
[00:03:15.000 --> 00:03:17.000]  因為他本為善
[00:03:17.000 --> 00:03:21.000]  他的慈愛永遠的長存
[00:03:21.000 --> 00:03:23.000]  是一個頭尾呼應的
[00:03:23.000 --> 00:03:27.000]  第一第二節和第29節
[00:03:27.000 --> 00:03:29.000]  所以題目是很清楚的
[00:03:29.000 --> 00:03:34.000]  但很特別的就是將那個結果說了出來
[00:03:34.000 --> 00:03:36.000]  作者要呼籲
[00:03:36.000 --> 00:03:38.000]  然後第三節就告訴我們
[00:03:38.000 --> 00:03:41.000]  以色列你要稱頌耶和華
[00:03:41.000 --> 00:03:44.000]  亞倫子孫你們要稱頌耶和華
[00:03:44.000 --> 00:03:47.000]  甚至乎是所有的敬畏神的人
[00:03:47.000 --> 00:03:49.000]  都要稱頌耶和華
[00:03:49.000 --> 00:03:51.000]  很清楚的結論
[00:03:51.000 --> 00:03:53.000]  整篇詩篇的結論
[00:03:53.000 --> 00:03:56.000]  但是為什麼要稱頌呢
[00:03:56.000 --> 00:03:59.000]  他怎麼樣來去慈愛呢
