
[00:00:00.000 --> 00:00:05.380]  很感恩再一次晚上和大家有機會去分享
[00:00:05.380 --> 00:00:08.840]  神的話語去查考《出埃及記》
[00:00:08.840 --> 00:00:11.960]  和大家先有一個同心討告
[00:00:11.960 --> 00:00:16.760]  天父我們在晚上感恩 雖然我們停了兩次
[00:00:16.760 --> 00:00:21.280]  但我們又可以恢復在晚上的查經講道
[00:00:21.280 --> 00:00:26.220]  能夠真是將神的話語一起去重讀
[00:00:26.220 --> 00:00:30.440]  有系統的去研讀 願神透過《出埃及記》
[00:00:30.440 --> 00:00:34.200]  已經是超過四千年的作品
[00:00:34.200 --> 00:00:37.780]  讓我們能夠掌握摩西的夢召
[00:00:37.780 --> 00:00:42.560]  摩西的人生在他最後的四十年
[00:00:42.560 --> 00:00:45.220]  能夠被神的使用
[00:00:45.220 --> 00:00:49.240]  求主讓我們找到一些重要的邏輯
[00:00:49.240 --> 00:00:53.520]  或者一些重要的神的作為
[00:00:53.520 --> 00:00:56.300]  特別一些可能是可以複製的
[00:00:56.300 --> 00:01:02.440]  例如去到後期 舊約的先知都有不同的夢召
[00:01:02.440 --> 00:01:06.200]  都是聖經刻意要記載
[00:01:06.200 --> 00:01:10.720]  所以我們都盼望藉著摩西這個這麼重大
[00:01:10.720 --> 00:01:14.140]  這麼重要的人生的日子
[00:01:14.140 --> 00:01:17.420]  來到去在曠野夢召
[00:01:17.420 --> 00:01:19.140]  都使我們明白
[00:01:19.140 --> 00:01:25.140]  原來我們的主這一位自由永有的真神
[00:01:25.140 --> 00:01:29.540]  是呼召人進入你的工場
[00:01:29.540 --> 00:01:32.280]  人生這樣來服侍的
[00:01:32.280 --> 00:01:35.060]  願神透過摩西的記載
[00:01:35.060 --> 00:01:36.760]  讓我們能夠明白
[00:01:36.760 --> 00:01:42.720]  我們仰望禱告奉耶穌基督的名 阿們
[00:01:42.720 --> 00:01:47.460]  我們之前都有機會一直看到摩西
[00:01:47.460 --> 00:01:50.500]  說他如果對上兩次
[00:01:50.500 --> 00:01:53.720]  就應該是在荊棘叢當中
[00:01:53.720 --> 00:01:57.600]  其實一個很尋常 沒什麼特別的曠野
[00:01:57.600 --> 00:01:59.840]  那個不尋常的地方
[00:01:59.840 --> 00:02:03.640]  就是他見到平常本來燒著
[00:02:03.640 --> 00:02:06.240]  會燒壞的那些荊棘
[00:02:06.240 --> 00:02:08.400]  這次就是燒不壞
[00:02:08.400 --> 00:02:10.520]  他好奇心驅使
[00:02:10.520 --> 00:02:12.440]  他就靠近去看
[00:02:12.440 --> 00:02:14.800]  突然間聽到聲音
[00:02:14.800 --> 00:02:20.520]  所以呼召是很玲瓏浮凸的
[00:02:20.520 --> 00:02:23.440]  他真的能夠聽到
[00:02:23.440 --> 00:02:25.280]  造物主跟他說話
[00:02:25.280 --> 00:02:27.180]  告訴他摩西
[00:02:27.180 --> 00:02:32.000]  你現在見到的是這一位主宰
[00:02:32.000 --> 00:02:34.580]  你所站的就是聖地
[00:02:34.580 --> 00:02:38.040]  所以不是那個硬件本身
[00:02:38.040 --> 00:02:40.040]  因為仍然都是曠野
[00:02:40.040 --> 00:02:42.420]  不是他雲遊障礙
[00:02:42.420 --> 00:02:45.040]  反而是神的降臨
[00:02:45.040 --> 00:02:46.400]  神的同在
[00:02:46.400 --> 00:02:48.740]  摩西就成為了污穢
[00:02:48.740 --> 00:02:53.300]  他要除下了一個象徵
[00:02:53.300 --> 00:02:55.300]  他現在是不潔
[00:02:55.300 --> 00:02:57.740]  他要面對聖潔的神
[00:02:57.740 --> 00:03:01.300]  所以神也會讓他
[00:03:01.300 --> 00:03:06.040]  不會因為見到神而面對生命的威脅
[00:03:06.040 --> 00:03:11.540]  所以在這樣的夢召裡面
[00:03:11.540 --> 00:03:17.300]  他就是一直聽到神跟他的對話
[00:03:17.300 --> 00:03:19.780]  這裡有大概五部曲
[00:03:19.780 --> 00:03:22.380]  就是他不斷的去推搪
[00:03:22.380 --> 00:03:25.200]  上一次我們說到
[00:03:25.200 --> 00:03:27.780]  應該是三章十四節
[00:03:27.780 --> 00:03:33.040]  我先重新開那個檔案
[00:03:33.040 --> 00:03:38.020]  應該是提到
[00:03:38.020 --> 00:03:43.300]  摩西就說誰邀請我回去
[00:03:43.300 --> 00:03:49.100]  就是說他某程度都很細心
[00:03:49.100 --> 00:03:55.600]  會想到無端端自己走回去埃及
[00:03:55.600 --> 00:04:00.100]  就會帶來一定會有這些重要的問題
[00:04:00.100 --> 00:04:05.160]  所以他現在都為自己去做一個鋪排
[00:04:05.160 --> 00:04:10.780]  就是說你不要搞錯我不適合做那個代言人
[00:04:10.780 --> 00:04:15.020]  更加不適合做一個全民族的領袖
[00:04:15.020 --> 00:04:19.340]  帶領我自己的族民去離開埃及
[00:04:19.340 --> 00:04:22.260]  因為離開埃及是一件很大的事
[00:04:22.260 --> 00:04:26.520]  因為要對抗的是整個埃及的國度
[00:04:26.520 --> 00:04:28.360]  埃及王法老
[00:04:28.360 --> 00:04:32.020]  所以摩西其實他是過來人
[00:04:32.020 --> 00:04:36.360]  他是在王宮裡面因為各樣的原因
[00:04:36.360 --> 00:04:39.100]  就由那個公主將他養大
[00:04:39.100 --> 00:04:40.820]  成為一個養子
[00:04:40.820 --> 00:04:45.360]  所以他所認識的埃及的王國
