
[00:00:00.000 --> 00:00:05.160]  同心禱告 再一次感恩天父又招聚我們
[00:00:05.160 --> 00:00:09.940]  雖然停了兩個星期 又假期 又一些其它的原因
[00:00:09.940 --> 00:00:14.540]  但是多謝你讓我們再開始回到第五講的《出埃及記》
[00:00:14.540 --> 00:00:19.340]  有兩章半的經文是講到摩西的蒙召
[00:00:19.340 --> 00:00:24.180]  整個的心路歷程 整個人生的跌宕起伏
[00:00:24.180 --> 00:00:28.220]  我們真的看到神的記載的經文
[00:00:28.220 --> 00:00:31.220]  這一個敘事是鉅細無遺
[00:00:31.220 --> 00:00:36.940]  這樣將摩西的人生讓我們有非常立體的認識
[00:00:36.940 --> 00:00:38.700]  祂不是一個完全人
[00:00:38.700 --> 00:00:43.580]  祂更加不是一個我們眼中沒有任何過錯的人
[00:00:43.580 --> 00:00:47.940]  但是聖經都好像沒有刻意去掩飾
[00:00:47.940 --> 00:00:52.860]  而是將一個真正有性情的人擺在我們的面前
[00:00:52.860 --> 00:00:57.620]  多謝主 看到的是祂內心那份的感動
[00:00:57.620 --> 00:00:59.620]  那份對同胞的愛
[00:00:59.620 --> 00:01:06.280]  那份很想改變世界的一個心願、一個夢想
[00:01:06.280 --> 00:01:11.480]  天父啊 我們今天在我們急速的21世紀
[00:01:11.480 --> 00:01:13.620]  有時我們對於夢想
[00:01:13.620 --> 00:01:17.540]  有時我們都好像連望都不敢去望
[00:01:17.540 --> 00:01:20.320]  幫助我們能夠真是明白
[00:01:20.320 --> 00:01:24.580]  在你的永恆的國度裏面 我們是有份的
[00:01:24.580 --> 00:01:30.960]  在你的葡萄園裏面 我們都是有我們被召的崗位
[00:01:30.960 --> 00:01:35.780]  來做一點點的工作的 求你施恩帶領我們
[00:01:35.780 --> 00:01:38.100]  也都讓透過摩西的夢召
[00:01:38.100 --> 00:01:42.420]  都給我們真是能夠想一想神理的作為
[00:01:42.420 --> 00:01:44.760]  往往這些都是屬靈的原則
[00:01:44.760 --> 00:01:49.480]  是真是放諸於四海都是合用的
[00:01:49.480 --> 00:01:52.660]  求主帶領我們今晚的查經班
[00:01:52.660 --> 00:01:58.040]  我們仰望禱告奉耶穌基督的名 阿們
[00:01:58.040 --> 00:02:01.220]  好 我們來到第五講
[00:02:01.220 --> 00:02:03.380]  跟大家重溫一點
[00:02:03.380 --> 00:02:09.800]  今天的分題其實你都大概看到神的作為
[00:02:09.800 --> 00:02:14.600]  在第二章 其實應該由第十六節開始
[00:02:14.600 --> 00:02:19.640]  其實嚴格來說是十一節 一路去到四章
[00:02:19.640 --> 00:02:24.560]  所以是相當長的篇章 在佔據出埃及記
[00:02:24.560 --> 00:02:28.800]  雖然叫做四十章 但是對一個人的
[00:02:28.800 --> 00:02:31.780]  這麼細緻的刻畫他的人生
[00:02:31.780 --> 00:02:35.140]  你可以想像得到這幾章的重要性
[00:02:35.140 --> 00:02:41.420]  或者對摩西自己領受這個呼召的重要性
[00:02:41.420 --> 00:02:47.020]  往往這個起點 或者一個這樣的記號
[00:02:47.020 --> 00:02:50.980]  成為他日後面對很大的困難
[00:02:50.980 --> 00:02:54.620]  一些的障礙、攻擊
[00:02:54.620 --> 00:02:57.780]  都成為他一個很重要的後盾
[00:02:57.780 --> 00:03:02.020]  不是他自己一種的好高騖遠
[00:03:02.020 --> 00:03:07.320]  一種崇尚要領導、要操權
[00:03:07.320 --> 00:03:10.920]  而是往往回到那個起點
[00:03:10.920 --> 00:03:16.160]  是神揀選他來成為一個合用的器皿
[00:03:16.160 --> 00:03:20.120]  所以這裏就給我們在這幾章裏面
[00:03:20.120 --> 00:03:24.840]  看到一個大的原則 就是摩西的推搪
[00:03:24.840 --> 00:03:29.080]  用「我是不能夠的」 他用五個理由
[00:03:29.080 --> 00:03:33.600]  但是這裏很寶貴 就是神一直都說
[00:03:33.600 --> 00:03:38.640]  他是那一位「我是 I am that I am」
[00:03:38.640 --> 00:03:42.220]  的那一位的造物主 就是自由永有的意思
[00:03:42.220 --> 00:03:45.180]  我們開始進入經文裏面
[00:03:45.180 --> 00:03:50.820]  就給我們看到一個循環
[00:03:50.820 --> 00:03:55.900]  來將摩西的人生去展述出來
[00:03:55.900 --> 00:03:59.960]  我們上個星期 就是上一次
[00:03:59.960 --> 00:04:03.200]  我們都看到神怎樣將這個宮人
[00:04:03.200 --> 00:04:07.460]  從他自己很大的心願
[00:04:07.460 --> 00:04:10.700]  因為他已經學盡了埃及人的文化
[00:04:10.700 --> 00:04:16.040]  又自己雖然是已經生在皇宮裏面的王子
[00:04:16.040 --> 00:04:20.460]  有記載的經卷 就是一些的典籍說
[00:04:20.460 --> 00:04:25.620]  他可能會繼任這個法老的兒子
[00:04:25.620 --> 00:04:28.260]  就是說將來他就是法老王
[00:04:28.260 --> 00:04:31.860]  但是他這個內心
[00:04:31.860 --> 00:04:36.360]  擁留著的希伯來人的身份
[00:04:36.360 --> 00:04:40.200]  那個內心的民族意識
[00:04:40.200 --> 00:04:43.780]  相信都是由小朋友
[00:04:43.780 --> 00:04:48.360]  由他的姐姐米利安 由他的媽媽約基別
[00:04:48.360 --> 00:04:53.440]  或者他都有很多機會去看這一幫人
[00:04:53.440 --> 00:04:57.000]  所受到的不人道的虐待
[00:04:57.000 --> 00:05:03.020]  要做一些苦工 就是沒有了民族的尊嚴等等
[00:05:03.020 --> 00:05:07.720]  所以激發他很想去幫這個民族
[00:05:07.720 --> 00:05:15.000]  去爭取 例如一些談判 一些的公允
[00:05:15.000 --> 00:05:20.040]  但是他的計劃都沒有真正實踐
[00:05:20.040 --> 00:05:24.120]  就已經有一些這樣很簡單的意外
[00:05:24.120 --> 00:05:30.240]  錯手 也不可以說是激進
[00:05:30.240 --> 00:05:34.120]  而是在一種很心急的情況下
[00:05:34.120 --> 00:05:35.880]  就打死了一個埃及人
[00:05:35.880 --> 00:05:38.180]  這個是上一次我們討論過
[00:05:38.180 --> 00:05:41.680]  所以原來那個失敗 那個離開
[00:05:41.680 --> 00:05:46.960]  那個逃跑 去到離開埃及
[00:05:46.960 --> 00:05:52.520]  去到曠野的米甸 來到很落魄的一個人生
[00:05:52.520 --> 00:05:58.280]  寄人籬下的做一個入贅的一個男士
[00:05:58.280 --> 00:06:01.800]  這樣就希望平平淡淡
[00:06:01.800 --> 00:06:06.440]  沒有什麼人認識 這樣去過他自己的
[00:06:06.440 --> 00:06:10.640]  很安穩的牧羊的人生 或者餘生
[00:06:10.640 --> 00:06:14.940]  但是我們又看到 原來這個陳夕琦
[00:06:14.940 --> 00:06:19.080]  大概40年了 因為她是80歲的時候
[00:06:19.080 --> 00:06:23.880]  神就正式向她顯現 等了40年
[00:06:23.880 --> 00:06:31.640]  等到摩西都已經沒有任何的憧憬、夢想
[00:06:31.640 --> 00:06:38.200]  想幹一番事業的抱負 都慢慢的消磨
[00:06:38.200 --> 00:06:47.320]  都沒有那個意志 家人、太太、西伯拉、外父
[00:06:47.320 --> 00:06:52.720]  一個米甸的祭司葉蒂羅 都不會覺得
[00:06:52.720 --> 00:06:55.160]  她是可以做一番大事業
[00:06:55.160 --> 00:07:00.360]  真是以一個很重要的領袖 回去埃及
[00:07:00.360 --> 00:07:05.960]  還要帶領著200萬的勞工、希伯來人
[00:07:05.960 --> 00:07:11.820]  整個民族徹底的離開一個國家
[00:07:11.820 --> 00:07:14.680]  去建立另外一個國家
[00:07:14.680 --> 00:07:17.420]  難以想象是匪夷所思 是不是?
[00:07:17.420 --> 00:07:23.480]  如果有地震 你帶2000人離開那個災區
[00:07:23.480 --> 00:07:28.360]  都已經很偉大 或者非洲經常都有部落戰爭
[00:07:28.360 --> 00:07:33.800]  如果你是一個大的工廠的經理
[00:07:33.800 --> 00:07:36.840]  你要帶那些人 因為現在要撤僑了
[00:07:36.840 --> 00:07:39.720]  你要帶他們穿越那些戰區
[00:07:39.720 --> 00:07:44.360]  去到另外一個算是支持中國的
[00:07:44.360 --> 00:07:48.680]  讓你通過 然後去到碼頭
[00:07:48.680 --> 00:07:52.600]  有解放軍來到 有船去撤僑
[00:07:52.600 --> 00:07:58.360]  只是你要通過那個地方 那個戰區 都已經不容易了
