
[00:00:00.000 --> 00:00:02.600]  我們一起有簡單的禱告
[00:00:02.600 --> 00:00:08.560]  很感謝天父給我們今天晚上
[00:00:08.560 --> 00:00:13.900]  又一次來到神面前來到有查經班的時間
[00:00:13.900 --> 00:00:20.220]  我們盼望我們研讀這個宗教改革
[00:00:20.220 --> 00:00:25.300]  馬丁路德和嘉爾文他們那個中世紀時代
[00:00:25.300 --> 00:00:33.940]  盼望我們只是一個很基礎的形式
[00:00:33.940 --> 00:00:38.200]  我們不可能像神學院那樣做一些大的專文
[00:00:38.200 --> 00:00:41.780]  而是我們能夠可能就這樣聽一下
[00:00:41.780 --> 00:00:46.500]  又反思一下和我們現代有什麼關係
[00:00:46.500 --> 00:00:49.560]  因為已經是500年前的事
[00:00:49.560 --> 00:00:53.300]  福音派都是由這樣而開始
[00:00:53.300 --> 00:00:58.040]  一直到今天一直都是需要那個改革
[00:00:58.040 --> 00:01:02.400]  在我們大家在教會的帶領裏面的
[00:01:02.400 --> 00:01:06.300]  盼望神給我們明白什麼是宗教改革
[00:01:06.300 --> 00:01:11.160]  以致我們大家都能夠很簡單的掌握到
[00:01:11.160 --> 00:01:14.640]  也都給我們有趣味的去學習
[00:01:14.640 --> 00:01:19.820]  我們仰望禱告奉耶穌基督的名 阿們
[00:01:19.820 --> 00:01:22.700]  好 很抱歉 大家要靜音
[00:01:22.700 --> 00:01:25.660]  因為怕影響課堂
[00:01:25.660 --> 00:01:28.300]  我就幫大家做了靜音
[00:01:28.300 --> 00:01:33.400]  那就開一個新題目
[00:01:33.400 --> 00:01:36.140]  可能有些人未必有興趣
[00:01:36.140 --> 00:01:41.780]  或者都未必會覺得容易
[00:01:41.780 --> 00:01:44.460]  但是我盡量很簡單
[00:01:44.460 --> 00:01:48.080]  當是趣味性的給大家去認識
[00:01:48.080 --> 00:01:51.700]  就當是大家聽一下教會的歷史就可以了
[00:01:51.700 --> 00:01:53.600]  所以就不要太過擔心
[00:01:53.600 --> 00:01:56.500]  不用做功課的 不用寫文的
[00:01:56.500 --> 00:02:00.100]  就給大家知道一下來龍去脈
[00:02:00.100 --> 00:02:02.440]  就當是一個了解
[00:02:02.440 --> 00:02:06.500]  當然其中重要的就是
[00:02:06.500 --> 00:02:10.100]  因為我用的題目今早都想了一段時間的
[00:02:10.100 --> 00:02:11.980]  都問了一些同學的意見
[00:02:11.980 --> 00:02:13.980]  宗教改革這麼多東西講
[00:02:13.980 --> 00:02:16.140]  用什麼題目好呢?
[00:02:16.140 --> 00:02:23.380]  改革的原因和過去
[00:02:23.380 --> 00:02:26.300]  和對將來的影響
[00:02:26.300 --> 00:02:30.080]  就盼望這個都是大家一起去
[00:02:30.080 --> 00:02:33.540]  有個機會去碰一下教會的歷史
[00:02:33.540 --> 00:02:35.300]  500年前的
[00:02:35.300 --> 00:02:37.900]  一定是相當遙遠
[00:02:37.900 --> 00:02:40.460]  但是給我們都有一點點的輪廓
[00:02:40.460 --> 00:02:44.940]  就幫助我們對今天我們去讀的時間
[00:02:44.940 --> 00:02:48.220]  我們又會有一些的了解
[00:02:48.220 --> 00:02:52.480]  會有很多的資料給大家
[00:02:52.480 --> 00:02:55.580]  大家當是興趣有空看一下
[00:02:55.580 --> 00:02:57.020]  沒空就隨便他
[00:02:57.020 --> 00:02:58.820]  那就無所謂的
[00:02:58.820 --> 00:03:01.940]  當然你自己再有盡心的研讀
[00:03:01.940 --> 00:03:03.940]  就更加好
[00:03:03.940 --> 00:03:09.140]  但是上個星期答應了
[00:03:09.140 --> 00:03:11.380]  我們要處理最後一個問題
[00:03:11.380 --> 00:03:15.980]  就是啟示錄的13、19章
[00:03:15.980 --> 00:03:21.420]  怎樣來印證20章的災前被提
[00:03:21.420 --> 00:03:24.460]  這個是最後的那個point
[00:03:24.460 --> 00:03:26.860]  都想給大家一個完整
[00:03:26.860 --> 00:03:32.660]  因為13、19章是講到海獸和地獸
[00:03:32.660 --> 00:03:37.940]  就是撒旦和那些假的宗教
[00:03:37.940 --> 00:03:41.020]  就是邪惡的三為一體
[00:03:41.020 --> 00:03:44.340]  去到20章就再一次講
[00:03:44.340 --> 00:03:48.700]  哪些人沒有拜到獸像
[00:03:48.700 --> 00:03:52.140]  和向獸來跪拜的
[00:03:52.140 --> 00:03:54.300]  就可以復活
[00:03:54.300 --> 00:03:55.820]  可以首先復活
[00:03:55.820 --> 00:03:58.900]  所以那裡就間接印證了
[00:03:58.900 --> 00:04:00.780]  是有大災難
[00:04:00.780 --> 00:04:04.140]  就不是災後的被提
[00:04:04.140 --> 00:04:08.820]  更加不是那個所謂的後遷
[00:04:08.820 --> 00:04:11.340]  和毛遷希年
[00:04:11.340 --> 00:04:15.340]  是講那個社會的世界是越趨完美
[00:04:15.340 --> 00:04:17.140]  然後主耶穌回來
[00:04:17.140 --> 00:04:19.540]  就是說基督的掌權
[00:04:19.540 --> 00:04:22.380]  是令到整個世界越趨美好的
[00:04:22.380 --> 00:04:26.020]  但是似乎啟示錄告訴我們就不是這樣
[00:04:26.020 --> 00:04:29.140]  所以我要幫大家翻這兩段經文
[00:04:29.140 --> 00:04:36.540]  稍後我們就會進入宗教改革的探討
[00:04:36.540 --> 00:04:41.660]  我們先看這13章的啟示錄
[00:04:41.660 --> 00:04:42.420]  或者不要了
[00:04:42.420 --> 00:04:44.180]  看20章比較好
[00:04:44.180 --> 00:04:46.220]  因為20章就講明了
[00:04:46.220 --> 00:04:49.580]  哪些人是第一次復活
[00:04:49.580 --> 00:04:54.020]  死人那些未信的、不信的是不能復活的
[00:04:54.020 --> 00:04:58.700]  這個是前天最重要的重點
[00:04:58.700 --> 00:04:59.940]  所以我自己到現在
[00:04:59.940 --> 00:05:06.100]  我還是相信有分開兩次的主耶穌降臨
[00:05:06.100 --> 00:05:08.100]  就是第一次祂再回來
[00:05:08.100 --> 00:05:09.820]  就是第二次祂再回來
[00:05:09.820 --> 00:05:13.900]  就是接所有信的人被提復活
[00:05:13.900 --> 00:05:19.700]  但是那些死了的、不信的是不能復活的
[00:05:19.700 --> 00:05:23.380]  要等待第二次的白色大寶座再復活的
[00:05:23.380 --> 00:05:28.940]  這個是啟示錄20章那個微妙的
[00:05:28.940 --> 00:05:33.060]  經文的那個世界字面的意思
[00:05:33.060 --> 00:05:35.100]  如果你不信字面的意思
[00:05:35.100 --> 00:05:38.460]  那你就是後遷和無遷的了
[00:05:38.460 --> 00:05:39.660]  無遷欺憐的了
[00:05:39.660 --> 00:05:41.260]  但是如果你信字面的意思
[00:05:41.260 --> 00:05:43.780]  那你就是前遷的了
