
[00:00:00.000 --> 00:00:05.000]  多謝主讓今天晚上我們能夠再一次聚集
[00:00:05.000 --> 00:00:09.000]  無論在禮拜堂或者是在大家的家中
[00:00:09.000 --> 00:00:12.000]  我們都可以來到去打開神的話語
[00:00:12.000 --> 00:00:17.000]  讓聖經的真理來向我們的心靈說話
[00:00:17.000 --> 00:00:23.000]  雖然未必每一次都和我們實際的生活處境有關
[00:00:23.000 --> 00:00:26.000]  但當我們去儲存神的話語
[00:00:26.000 --> 00:00:33.000]  去明白一些真理和一些聖經的屬靈價值觀的時候
[00:00:33.000 --> 00:00:35.000]  就給我們有很多提醒
[00:00:35.000 --> 00:00:39.000]  今天晚上我們求主藉著舊約的聖經人物
[00:00:39.000 --> 00:00:43.000]  讓我們都能夠從其中吸取到教訓
[00:00:43.000 --> 00:00:45.000]  我們一起在你面前等候禱告
[00:00:45.000 --> 00:00:48.000]  奉耶穌基督的名,阿們
[00:00:48.000 --> 00:00:54.000]  今晚有一個人物和大家看看
[00:00:54.000 --> 00:00:57.000]  不過牽連的經文相當多
[00:00:57.000 --> 00:01:01.000]  我都擔心可能過半小時未必能夠講完
[00:01:01.000 --> 00:01:07.000]  盡力講,如果不行就看看如何深入淺出
[00:01:07.000 --> 00:01:10.000]  要和大家看好幾段經文,比較長
[00:01:10.000 --> 00:01:16.000]  先看這個列,或者看歷代至下
[00:01:16.000 --> 00:01:19.000]  因為有兩個平行經文
[00:01:19.000 --> 00:01:23.000]  歷代至下這一段就比較一氣呵成
[00:01:23.000 --> 00:01:26.000]  歷代至下第21章
[00:01:26.000 --> 00:01:33.000]  歷代至下21章
[00:01:33.000 --> 00:01:38.000]  橫跨幾章經文
[00:01:38.000 --> 00:01:41.000]  讀完之後
[00:01:41.000 --> 00:01:49.000]  你就會感覺到氣氛和聖經要帶出的道理
[00:01:49.000 --> 00:01:51.000]  第21章開始
[00:01:51.000 --> 00:01:55.000]  約沙發與他列祖同睡
[00:01:55.000 --> 00:01:57.000]  葬在大衛城
[00:01:57.000 --> 00:01:59.000]  他列祖的墳地裡
[00:01:59.000 --> 00:02:03.000]  他兒子約蘭接續他作王
[00:02:03.000 --> 00:02:05.000]  約蘭有幾個兄弟
[00:02:05.000 --> 00:02:08.000]  就是約沙發的兒子亞撒利亞
[00:02:08.000 --> 00:02:14.000]  耶歇、撒加利亞、亞撒利亞、米加勒、事發提也
[00:02:14.000 --> 00:02:18.000]  這都是以色列王約沙發的兒子
[00:02:18.000 --> 00:02:26.000]  他們的父親將許多金銀、財寶和猶大地的堅固城賜給他們
[00:02:26.000 --> 00:02:31.000]  但將國賜給約蘭,因為他是長子
[00:02:31.000 --> 00:02:42.000]  約蘭興起坐他父的位,奮勇自強,就用刀殺了他的眾兄弟和以色列的幾個首領
[00:02:42.000 --> 00:02:46.000]  約蘭登基的時候年三十二歲
[00:02:46.000 --> 00:02:49.000]  在耶路撒冷作王八年
