
[00:00:00.000 --> 00:00:02.000]  聽著會晚安
[00:00:02.000 --> 00:00:10.000]  這次應該…如果說到感受堂應該是第三次
[00:00:10.000 --> 00:00:13.000]  第一次應該是來參加一個按立禮的
[00:00:13.000 --> 00:00:15.000]  婚禮還是按立禮都忘記了
[00:00:15.000 --> 00:00:20.000]  第二次就是幾個月前曾牧師曾醫生我過來
[00:00:20.000 --> 00:00:22.000]  跟大家講螢會講《仕途行傳》讀經
[00:00:22.000 --> 00:00:23.000]  讀經日營
[00:00:23.000 --> 00:00:26.000]  今天喜安四日敬拜的時候
[00:00:26.000 --> 00:00:28.000]  跟大家分享一段經文
[00:00:28.000 --> 00:00:31.000]  當然故事本身…陳太英剛才讀了
[00:00:31.000 --> 00:00:33.000]  故事本身就很熟悉
[00:00:33.000 --> 00:00:37.000]  不過我們還是再來看一次
[00:00:37.000 --> 00:00:41.000]  在敬拜主這個場景裏面
[00:00:41.000 --> 00:00:43.000]  我們再來思考
[00:00:43.000 --> 00:00:49.000]  但以你故事裏面其中最開始早期的部分
[00:00:49.000 --> 00:00:53.000]  但以你自己的那種情操
[00:00:53.000 --> 00:00:57.000]  他那種立志和他那種手段
[00:00:57.000 --> 00:00:59.000]  我必要給的題目
[00:00:59.000 --> 00:01:00.000]  他的博弈
[00:01:00.000 --> 00:01:02.000]  我們一起來祈禱
[00:01:02.000 --> 00:01:06.000]  天衛將到今晚我們自己在你面前
[00:01:06.000 --> 00:01:11.000]  無論在禮堂這裏或者在我們自己家裏
[00:01:11.000 --> 00:01:15.000]  其他地方的敬拜都蒙你自己月立
[00:01:15.000 --> 00:01:19.000]  你都藉著大義理書的說話
[00:01:19.000 --> 00:01:21.000]  向我們說話
[00:01:21.000 --> 00:01:24.000]  向我們提點
[00:01:24.000 --> 00:01:27.000]  叫我們的心靈得著啟迪
[00:01:27.000 --> 00:01:30.000]  亦都被你自己話語所激勵
[00:01:30.000 --> 00:01:32.000]  祷告奉主耶穌 明求
[00:01:32.000 --> 00:01:33.000]  阿們
[00:01:33.000 --> 00:01:38.000]  我安這個題目
[00:01:38.000 --> 00:01:40.000]  不知道大家會不會覺得奇怪
[00:01:40.000 --> 00:01:41.000]  因為博弈
[00:01:41.000 --> 00:01:45.000]  博弈通常都不是在教會裏面說的一個題目
[00:01:45.000 --> 00:01:47.000]  因為一講博弈
[00:01:47.000 --> 00:01:50.000]  我們就不想那個弈字
[00:01:50.000 --> 00:01:52.000]  弈字甚麼意思都不知道
[00:01:52.000 --> 00:01:54.000]  想就想那個博字
[00:01:54.000 --> 00:01:56.000]  那個博字就不是那麼好聽
[00:01:56.000 --> 00:01:59.000]  因為博彩 賭博 一味靠博
[00:01:59.000 --> 00:02:01.000]  都是博
[00:02:01.000 --> 00:02:03.000]  就不是博士的博
[00:02:03.000 --> 00:02:05.000]  我們不會想去博士的博
[00:02:05.000 --> 00:02:07.000]  是淵博的博
[00:02:07.000 --> 00:02:13.000]  不過其實博弈本身是起碼在現代社會裏面
[00:02:13.000 --> 00:02:18.000]  在學術界本身就是一門很專門的學問
[00:02:18.000 --> 00:02:21.000]  博弈理論 Game Theory
[00:02:21.000 --> 00:02:23.000]  在研究所裏面
[00:02:23.000 --> 00:02:28.000]  有幾個部門是特別會有一個sub discipline
[00:02:28.000 --> 00:02:30.000]  是和Game Theory有關的
[00:02:30.000 --> 00:02:32.000]  譬如說政治系
[00:02:32.000 --> 00:02:34.000]  政治是講博弈的
[00:02:34.000 --> 00:02:36.000]  軍事政治都是打仗
[00:02:36.000 --> 00:02:38.000]  很明顯是講博弈的
[00:02:38.000 --> 00:02:40.000]  你要有策略
[00:02:40.000 --> 00:02:42.000]  你是要好像下棋一樣
[00:02:42.000 --> 00:02:45.000]  是需要知道估計對方是怎樣
[00:02:45.000 --> 00:02:47.000]  你自己的部署
