
[00:00:00.000 --> 00:00:03.600]  又是我,看到我是不是很開心呢?
[00:00:03.600 --> 00:00:07.600]  你怎樣了?開學了嗎?一切都還好嗎?
[00:00:07.600 --> 00:00:13.440]  今天和大家看的經文,除了剛才所讀出的外,
[00:00:13.440 --> 00:00:19.520]  也會看它的上文,即是第四章一至三十八節,
[00:00:19.520 --> 00:00:22.240]  也就是約翰福音第四章。
[00:00:22.240 --> 00:00:28.960]  當時的耶穌,他預備離開南部的猶大,
[00:00:28.960 --> 00:00:36.080]  回到北部的加利利,途中選擇經過撒瑪利亞人的地區。
[00:00:36.080 --> 00:00:42.880]  聖經形容耶穌必須經過撒瑪利亞,是必須的,是專登的。
[00:00:42.880 --> 00:00:48.480]  為什麼呢?首先我們要知道,其實耶穌有三條路可以選擇,
[00:00:48.480 --> 00:00:54.560]  一條就是經過撒瑪利亞,而另外兩條就是繞道而過。
[00:00:54.560 --> 00:01:01.920]  而可能你也知道,猶太人和撒瑪利亞人是世仇,
[00:01:01.920 --> 00:01:07.200]  所以如非必要,是會繞道而行的情況。
[00:01:07.200 --> 00:01:13.760]  就好像你有個鄰居,每天都很吵,經常轉來轉去,
[00:01:13.760 --> 00:01:16.320]  好像是做多少都做不完。
[00:01:16.320 --> 00:01:21.440]  你到處跟他聊,但是聊不夠兩句,他就說你回頭。
[00:01:21.440 --> 00:01:28.480]  於是你平時出入都不會經過他的門口,除非你趕時間。
[00:01:28.480 --> 00:01:35.680]  而從猶太地區到加利利,最短的路線就是經過撒瑪利亞。
[00:01:35.680 --> 00:01:40.080]  所以耶穌選擇這樣走,既是因為路程短,
[00:01:40.080 --> 00:01:45.760]  但其實也有神的旨意在當中,之後的經文你就會看到。
[00:01:45.760 --> 00:01:52.080]  總之,耶穌一路走到一座城,覺得很累,
[00:01:52.080 --> 00:01:59.600]  就坐在瓦國井旁邊休息,而門口就進了城去買食物。
[00:01:59.600 --> 00:02:04.640]  但是當耶穌一個人的時候就遇到兩件奇怪的事。
