
[00:00:00.000 --> 00:00:07.680]  很榮幸來到你們當中嘉欣樓分享神的話語
[00:00:07.680 --> 00:00:12.000]  有人說2020年一開始就看到陽光
[00:00:12.000 --> 00:00:13.920]  接著沒有多久就是寒冬
[00:00:13.920 --> 00:00:15.920]  接著就剩下蕭條
[00:00:15.920 --> 00:00:18.160]  雖然現在是2021年1月
[00:00:18.160 --> 00:00:19.760]  應該要講新年快樂
[00:00:19.760 --> 00:00:23.200]  但我相信今年其實不是一個容易過的一年
[00:00:23.200 --> 00:00:25.200]  而是一個艱難的一年
[00:00:25.200 --> 00:00:27.200]  今天的經文提到一件事
[00:00:27.200 --> 00:00:31.200]  當時的社群好像有很多艱難受苦
[00:00:31.200 --> 00:00:33.600]  就好像我們過去一段很長的日子
[00:00:33.600 --> 00:00:36.000]  我們經常都聽到一個訊息
[00:00:36.000 --> 00:00:38.400]  就是香港的城市有病
[00:00:38.400 --> 00:00:42.400]  香港的城市是世界上最貧富懸殊的地方
[00:00:42.400 --> 00:00:45.200]  事實上我們有很多深層次的矛盾
[00:00:45.200 --> 00:00:47.440]  我們說如果這個城市有病的話
[00:00:47.440 --> 00:00:50.400]  我們需要的不只是斷症的人
[00:00:50.400 --> 00:00:52.400]  而是醫病的人
[00:00:52.400 --> 00:00:56.640]  城市的病沒有什麼妙藥靈丹
[00:00:56.640 --> 00:00:58.880]  不會說一服即癒
[00:00:58.880 --> 00:01:00.880]  我們需要為這個城市守望
[00:01:00.880 --> 00:01:02.880]  我們需要關心這個城市
[00:01:02.880 --> 00:01:06.640]  有人說以蔡阿書的53章黑篇很經典
[00:01:06.640 --> 00:01:08.160]  因為它是愛的詩篇
[00:01:08.160 --> 00:01:10.160]  也是整個愛的高峰
[00:01:10.160 --> 00:01:11.360]  但是特別的地方
[00:01:11.360 --> 00:01:12.720]  剛才主席也讀了
[00:01:12.720 --> 00:01:13.920]  你讀了很久的經文
[00:01:13.920 --> 00:01:15.520]  你都找不到一隻愛字
[00:01:15.520 --> 00:01:17.120]  雖然他沒有一隻愛字
[00:01:17.120 --> 00:01:20.720]  但就處處流露了上帝的恩情
[00:01:20.720 --> 00:01:23.760]  有些人說就好像我們上一代的
[00:01:23.760 --> 00:01:25.360]  我爺爺我爸爸
[00:01:25.360 --> 00:01:27.600]  他們不會把愛放在口邊
[00:01:27.600 --> 00:01:29.600]  但是他們在生活裏面
[00:01:29.600 --> 00:01:31.200]  實踐出來
[00:01:31.200 --> 00:01:33.200]  有時反過來
[00:01:33.200 --> 00:01:35.200]  我們現代人很會說愛
[00:01:35.200 --> 00:01:37.200]  我們可以用英文說愛
[00:01:37.200 --> 00:01:38.160]  韓語說愛
[00:01:38.160 --> 00:01:41.360]  很多說話我都懂得很動聽
[00:01:41.360 --> 00:01:43.360]  但是我們是不是說出來
[00:01:43.360 --> 00:01:44.880]  這個世界就充滿愛呢
[00:01:44.880 --> 00:01:47.280]  還是我們見到這個世界
[00:01:47.280 --> 00:01:48.720]  可能是我們會說
[00:01:48.720 --> 00:01:50.720]  但我們又不會去做呢
[00:01:50.720 --> 00:01:53.200]  經文就開始提到這位愛者
[00:01:53.200 --> 00:01:55.200]  是一個怎樣愛世界的人
[00:01:55.200 --> 00:01:59.520]  經文一開始就說
[00:01:59.520 --> 00:02:01.520]  他畏罪被壓傷
[00:02:01.520 --> 00:02:03.520]  所以我們今天就看看這位愛者
[00:02:03.520 --> 00:02:04.480]  是怎樣愛我們
[00:02:04.480 --> 00:02:07.360]  他在耶華面前生長如亂芽
[00:02:07.360 --> 00:02:09.360]  象根出於乾地
[00:02:09.360 --> 00:02:11.680]  他無家迎美容
[00:02:11.680 --> 00:02:14.400]  其實這段經文很特別
[00:02:14.400 --> 00:02:16.400]  這段經文就告訴我們
[00:02:16.400 --> 00:02:18.400]  一開始已經很有趣了
[00:02:18.400 --> 00:02:20.400]  在疫情的時候
[00:02:20.400 --> 00:02:22.400]  很多人玩動物森林
