
[00:00:00.000 --> 00:00:04.000]  頂姐妹晚安,我們一起祈禱
[00:00:04.000 --> 00:00:09.000]  再一次我們很感謝神讓我們可以來到祂再研讀
[00:00:09.000 --> 00:00:13.000]  約翰福音,很盼望透過這一卷書
[00:00:13.000 --> 00:00:17.000]  我們能夠對耶穌基督的身份
[00:00:17.000 --> 00:00:21.000]  能夠有充分的證據和掌握
[00:00:21.000 --> 00:00:26.000]  也不是一個頭腦知識上的一個知識
[00:00:26.000 --> 00:00:28.000]  而是一個生命的形訊
[00:00:28.000 --> 00:00:31.000]  使我們能夠在我們的生活裏
[00:00:31.000 --> 00:00:34.000]  可以有一個很大的信心
[00:00:34.000 --> 00:00:36.000]  因為我們整個的信仰
[00:00:36.000 --> 00:00:40.000]  就是建立在耶穌基督的生命裏面
[00:00:40.000 --> 00:00:43.000]  今天晚上我們會看第九章
[00:00:43.000 --> 00:00:46.000]  求主帶領我們大家的心靈
[00:00:46.000 --> 00:00:50.000]  我們這樣禱告奉耶穌基督的名,阿們
[00:00:50.000 --> 00:00:52.000]  多謝頂姐妹的祈禱
[00:00:52.000 --> 00:00:56.000]  雖然中了新冠肺炎
[00:00:56.000 --> 00:01:01.000]  但並不是太大影響我的生活
[00:01:01.000 --> 00:01:04.000]  也沒有什麼大的副作用
[00:01:04.000 --> 00:01:07.000]  甚至乎現在已經一個星期了
[00:01:07.000 --> 00:01:14.000]  喉嚨和氣管都不覺得不舒服
[00:01:14.000 --> 00:01:17.000]  更加沒有任何其他的併發症之類
[00:01:17.000 --> 00:01:21.000]  所以也很感恩,沒有影響我的工作
[00:01:21.000 --> 00:01:24.000]  停了兩次,我們第九章
[00:01:24.000 --> 00:01:27.000]  會由第十三節重溫一點
[00:01:27.000 --> 00:01:30.000]  今天最重要的主題
[00:01:30.000 --> 00:01:37.000]  就是探討心靈的眼睛和肉身的眼睛
[00:01:37.000 --> 00:01:40.000]  作者想我們去留意
[00:01:40.000 --> 00:01:46.000]  藉著這個核子的眼睛得開
[00:01:46.000 --> 00:01:50.000]  連帶他不單止得到一個最寶貴
[00:01:50.000 --> 00:01:54.000]  所謂靈魂之窗能夠重開,重見天日
[00:01:54.000 --> 00:01:58.000]  而是他整個的心靈能夠遇見
[00:01:58.000 --> 00:02:03.000]  這一位的耶穌,這一位的尼西亞
[00:02:03.000 --> 00:02:06.000]  他來到去認信
[00:02:06.000 --> 00:02:09.000]  然後得到真正的生命
[00:02:09.000 --> 00:02:12.000]  即是裡裡外外的生命改變
[00:02:12.000 --> 00:02:15.000]  十三節開始,九章的十三節
[00:02:15.000 --> 00:02:21.000]  他們把從前黑暗的人帶到法利塞人那裡
[00:02:21.000 --> 00:02:24.000]  耶穌和泥開他眼睛
[00:02:24.000 --> 00:02:28.000]  那個和自己也是動詞,即是溝泥
[00:02:28.000 --> 00:02:32.000]  開他眼睛的日子是安息日
[00:02:32.000 --> 00:02:39.000]  很緊張安息日不可以干犯神的誡命
[00:02:39.000 --> 00:02:46.000]  不可以做超過了法利塞人所已經詮釋的安息日的條例
[00:02:46.000 --> 00:02:51.000]  例如二千爪,一個人行路不可以超過二千爪
[00:02:51.000 --> 00:02:55.000]  因為怕你那雙鞋子走爛了
[00:02:55.000 --> 00:02:58.000]  你就會犯安息日
[00:02:58.000 --> 00:03:01.000]  因為你要去買新鞋,或者你有些工作
[00:03:01.000 --> 00:03:07.000]  這樣很麻煩的,其實是變成一些移民的枷鎖
[00:03:07.000 --> 00:03:12.000]  第十五節,法利塞人也問他時怎麼得漢見的
[00:03:12.000 --> 00:03:16.000]  因為已經帶到法利塞人的公會
[00:03:16.000 --> 00:03:22.000]  一個非有刑事,有審判權的
[00:03:22.000 --> 00:03:28.000]  可能是一些長老,一些地方的回堂的父老
[00:03:28.000 --> 00:03:33.000]  所以都是法利塞人他們會把持住的
[00:03:33.000 --> 00:03:38.000]  所以他們就好像來代表議會
[00:03:38.000 --> 00:03:40.000]  所以不是真正的法庭
[00:03:40.000 --> 00:03:47.000]  更加不是將來要審耶穌的時候
[00:03:47.000 --> 00:03:52.000]  那個宗教大祭司的法定組織
[00:03:52.000 --> 00:03:56.000]  所以這個時候他們問核顏
[00:03:56.000 --> 00:03:58.000]  第一次帶到這個當中
[00:03:58.000 --> 00:04:00.000]  核子就開始講見證了
[00:04:00.000 --> 00:04:04.000]  核子對他們說,他把泥沒在我的眼睛上
[00:04:04.000 --> 00:04:06.000]  我去一洗就看見了
[00:04:06.000 --> 00:04:11.000]  法利塞人終有的說,這個人不是從神來的
[00:04:11.000 --> 00:04:13.000]  因為他不守安息日
[00:04:13.000 --> 00:04:16.000]  這個是我們一路看約翰福音
[00:04:16.000 --> 00:04:20.000]  作者其實每一章都已經講了很多很多次
[00:04:20.000 --> 00:04:23.000]  包括他引述耶穌講很多次
[00:04:23.000 --> 00:04:27.000]  剛才我準備的時候再做一點搜尋
[00:04:27.000 --> 00:04:31.000]  隨便你在約翰福音打一個字
[00:04:31.000 --> 00:04:34.000]  差遣已經出現很多了
[00:04:34.000 --> 00:04:37.000]  如果你單獨一個差字
[00:04:37.000 --> 00:04:39.000]  因為差遣就要整句
[00:04:39.000 --> 00:04:41.000]  就只有三至四次
[00:04:41.000 --> 00:04:44.000]  但如果你打差遣的差字
[00:04:44.000 --> 00:04:46.000]  就很長了
[00:04:46.000 --> 00:04:48.000]  出現了很多次了
[00:04:48.000 --> 00:04:52.000]  因為耶穌不斷講他是神那裡差遣而來的
[00:04:52.000 --> 00:04:54.000]  他是由神那裡而來
[00:04:54.000 --> 00:04:56.000]  他是有一個mission的
[00:04:56.000 --> 00:04:58.000]  有一個使命的
[00:04:58.000 --> 00:05:00.000]  所以我們作為讀者
[00:05:00.000 --> 00:05:04.000]  我們已經知道作者一路的佈局告訴我們
[00:05:04.000 --> 00:05:08.000]  耶穌不斷講他是奉差遣來到這個世界
[00:05:08.000 --> 00:05:10.000]  來拯救世人的
[00:05:10.000 --> 00:05:14.000]  叫那些人不被定罪的
[00:05:14.000 --> 00:05:16.000]  這個是三章三十六節
