
[00:00:00.000 --> 00:00:05.500]  是《路加福音》十章三十八至四十二節
[00:00:05.500 --> 00:00:09.000]  是《新約聖經》的第一百零八頁
[00:00:09.000 --> 00:00:14.000]  《路加福音》十章三十八至四十二節
[00:00:14.000 --> 00:00:17.000]  都請大家看我讀出
[00:00:17.000 --> 00:00:22.500]  「他們繼續前行,耶穌進了一個村莊,
[00:00:22.500 --> 00:00:28.000]  有一個女人名叫瑪大,接她到自己的家裡。
[00:00:28.000 --> 00:00:31.500]  她有一個妹妹名叫瑪利亞,
[00:00:31.500 --> 00:00:36.000]  在主的腳前坐著聽她的道。
[00:00:36.000 --> 00:00:43.000]  瑪大事後的事多,心裡忙亂,進前來說:
[00:00:43.000 --> 00:00:46.000]  「主啊,我的妹妹留下我一個人,
[00:00:46.000 --> 00:00:52.000]  事後祢不在意嗎?請吩咐她來幫助我。」
[00:00:52.000 --> 00:00:56.000]  主回答說:「瑪大,瑪大,
[00:00:56.000 --> 00:00:59.500]  祢為許多的事操心煩惱,
[00:00:59.500 --> 00:01:03.000]  但是不可少的只有一件,
[00:01:03.000 --> 00:01:07.500]  瑪利亞已經選擇了那上好的福分,
[00:01:07.500 --> 00:01:11.500]  是沒有人能從她奪去的。」
[00:01:11.500 --> 00:01:14.000]  今日有我們本堂堂主任
[00:01:14.000 --> 00:01:17.500]  曾銳桂牧師在我們當中靜悼,
[00:01:17.500 --> 00:01:20.000]  講題是「與主坐直」,
[00:01:20.000 --> 00:01:22.000]  恭請曾牧師。
[00:01:23.000 --> 00:01:31.000]  曾牧師:各位姐妹,早安!請我們一起祈禱,
[00:01:31.000 --> 00:01:37.000]  多謝主讓我們剛才能夠在這個聖壇,
[00:01:37.000 --> 00:01:39.000]  在這個禮拜堂裡,
[00:01:39.000 --> 00:01:41.000]  與您一同坐直,
[00:01:41.000 --> 00:01:44.000]  我們的主臨在我們中間,
[00:01:44.000 --> 00:01:48.000]  我們來享受這個愛宴,
[00:01:48.000 --> 00:01:50.000]  這是一個神聖的,
[00:01:50.000 --> 00:01:52.000]  麥餅的一個愛宴,
[00:01:52.000 --> 00:01:55.000]  我們能夠有份於十字架的救恩,
[00:01:55.000 --> 00:01:58.000]  而且我們是一班認識您,
[00:01:58.000 --> 00:01:59.000]  跟隨您,
[00:01:59.000 --> 00:02:01.000]  屬於您的兒女,
[00:02:01.000 --> 00:02:04.500]  我們很盼望藉著聖經再一次來講解,
[00:02:04.500 --> 00:02:06.000]  勉勵我們的心靈,
[00:02:06.000 --> 00:02:09.000]  讓我們再一次確信和確認,
[00:02:09.000 --> 00:02:12.000]  我們走的是神所喜悅的道路,
[00:02:12.000 --> 00:02:13.000]  在我們人生,
[00:02:13.000 --> 00:02:15.000]  真是有限的人生,
[00:02:15.000 --> 00:02:17.000]  我們去為主而活,
[00:02:17.000 --> 00:02:20.000]  選擇的是最好的福分,
[00:02:20.000 --> 00:02:22.000]  正如今天要講的經文,
[00:02:22.000 --> 00:02:24.000]  瑪利亞選上的是最好,
[00:02:24.000 --> 00:02:26.000]  我們一起在您面前等候禱告,
[00:02:26.000 --> 00:02:29.000]  奉耶穌基督的名,
[00:02:29.000 --> 00:02:30.000]  阿們。
[00:02:30.000 --> 00:02:32.000]  一段相當簡單的聖經,
[00:02:32.000 --> 00:02:36.000]  基本上小朋友聽主一學都聽過的,
[00:02:36.000 --> 00:02:37.000]  瑪大瑪利亞,
[00:02:37.000 --> 00:02:39.000]  其中瑪大,
[00:02:39.000 --> 00:02:40.000]  不要忘亂,
[00:02:40.000 --> 00:02:42.000]  就是這段聖經的教訓了,
[00:02:42.000 --> 00:02:45.000]  要我們做事安靜,
[00:02:45.000 --> 00:02:46.000]  聽神的話語,
[00:02:46.000 --> 00:02:48.000]  多點坐在耶穌的腳前,
[00:02:48.000 --> 00:02:50.000]  所以靈修很重要,
[00:02:50.000 --> 00:02:51.000]  我們就有這個結論了,
[00:02:51.000 --> 00:02:52.000]  相當簡單,
[00:02:52.000 --> 00:02:54.000]  都是的,
[00:02:54.000 --> 00:02:56.000]  都是有這樣的含義的,
[00:02:56.000 --> 00:02:57.000]  但是,
[00:02:57.000 --> 00:03:02.000]  路加章整張聖經和上下文,
[00:03:02.000 --> 00:03:04.000]  擺在這裡,
[00:03:04.000 --> 00:03:06.000]  是不是只是想告訴我們,
[00:03:06.000 --> 00:03:08.000]  不要學瑪大,
[00:03:08.000 --> 00:03:09.000]  一忙,
[00:03:09.000 --> 00:03:10.000]  做事侍奉多的人,
[00:03:10.000 --> 00:03:12.000]  就說瑪大瑪大,
[00:03:12.000 --> 00:03:15.000]  我們都已經成為若定俗成了,
[00:03:15.000 --> 00:03:18.000]  瑪利亞就永遠是最好了,
[00:03:18.000 --> 00:03:20.000]  但是不是這麼簡單的經文,
