
[00:00:00.000 --> 00:00:02.800]  感恩天父給我們今天晚上
[00:00:02.800 --> 00:00:05.440]  可以去到第四堂的羅馬書
[00:00:05.440 --> 00:00:09.600]  我們都朝著一個去對這本書可以掌握
[00:00:09.600 --> 00:00:13.300]  基本能夠可以對於每一個分段
[00:00:13.300 --> 00:00:15.100]  每一個重要的神學
[00:00:15.100 --> 00:00:16.900]  我們都一起去探討
[00:00:16.900 --> 00:00:20.140]  尤其是保羅在新約的羅馬書
[00:00:20.140 --> 00:00:23.300]  是引述相當多的舊約經文
[00:00:23.300 --> 00:00:27.400]  都盼望神給我們在去到這些經文的時候
[00:00:27.400 --> 00:00:29.700]  我們又回頭去看一下
[00:00:29.700 --> 00:00:32.760]  當時是怎樣來講述
[00:00:32.760 --> 00:00:37.500]  又讓我們在舊約、新約穿梭的時候
[00:00:37.500 --> 00:00:39.400]  不單止不會迷失
[00:00:39.400 --> 00:00:43.300]  反而能夠豐富我們對於保羅
[00:00:43.300 --> 00:00:46.200]  他的引述背後的原因
[00:00:46.200 --> 00:00:48.400]  使我們能夠更加知道
[00:00:48.400 --> 00:00:51.100]  我們雖然在新約的世界
[00:00:51.100 --> 00:00:55.300]  但其實這個救恩已經是在萬世之前
[00:00:55.300 --> 00:00:58.700]  神已經計劃要藉著你的愛字
[00:00:58.700 --> 00:01:00.500]  來賜給我們
[00:01:00.500 --> 00:01:01.700]  求主幫助
[00:01:01.700 --> 00:01:04.500]  帶領我們開始進入這些重要
[00:01:04.500 --> 00:01:08.500]  和可能都頗抽象的神學觀念的時候
[00:01:08.500 --> 00:01:10.600]  又讓我們明白
[00:01:10.600 --> 00:01:12.500]  我們這樣仰望禱告
[00:01:12.500 --> 00:01:14.700]  奉耶穌基督的名
[00:01:14.700 --> 00:01:15.700]  阿們
[00:01:15.700 --> 00:01:19.700]  讓大家知道一下
[00:01:19.700 --> 00:01:23.700]  我們在研讀裏面
[00:01:23.700 --> 00:01:26.000]  當然我們是有
[00:01:26.000 --> 00:01:27.700]  現在我都盡量有PowerPoint
[00:01:27.700 --> 00:01:29.100]  如果時間許可
[00:01:29.100 --> 00:01:30.700]  大家可以看著
[00:01:30.700 --> 00:01:33.700]  相對容易些去掌握
[00:01:33.700 --> 00:01:35.500]  因為也引用不同的經文
[00:01:35.500 --> 00:01:39.700]  但始終有時突發性想起一些經文
[00:01:39.700 --> 00:01:43.700]  就不是在我預備的時候有引述
[00:01:43.700 --> 00:01:46.100]  所以大家如果能夠在家裏
[00:01:46.100 --> 00:01:48.300]  方便有本記錄簿
[00:01:48.300 --> 00:01:49.300]  記下
[00:01:49.300 --> 00:01:51.700]  是方便大家去研讀
[00:01:51.700 --> 00:01:53.700]  另外就盡量
[00:01:53.700 --> 00:01:55.000]  如果晚上我可以做到的
[00:01:55.000 --> 00:02:01.700]  就是將錄音轉為一個很簡潔的文字分段分析
[00:02:01.700 --> 00:02:05.000]  很短的可能幾版紙
[00:02:05.000 --> 00:02:07.500]  整篇的錄音
[00:02:07.500 --> 00:02:09.500]  但更好的就是原汁原味
[00:02:09.500 --> 00:02:12.000]  你再聽一次
[00:02:12.000 --> 00:02:14.500]  就會掌握多些
[00:02:14.500 --> 00:02:17.500]  當然大家的時間每個人都不同
[00:02:17.500 --> 00:02:19.500]  最好就是
[00:02:19.500 --> 00:02:23.000]  我們比較少的就是課堂的討論
[00:02:23.000 --> 00:02:25.000]  但現在用Zoom比較難
[00:02:25.000 --> 00:02:27.000]  所以盡量爭取
[00:02:27.000 --> 00:02:30.000]  你可以在群組裏問
[00:02:30.000 --> 00:02:33.000]  或者你可以私下在WhatsApp問我
[00:02:33.000 --> 00:02:36.000]  我可以盡量就那個經文
[00:02:36.000 --> 00:02:37.500]  有些你未必跟得到
[00:02:37.500 --> 00:02:38.500]  未必明白
[00:02:38.500 --> 00:02:40.000]  未必掌握的
[00:02:40.000 --> 00:02:41.000]  你可以問
[00:02:41.000 --> 00:02:46.000]  我盡量因應你的程度去解釋
[00:02:46.000 --> 00:02:48.000]  你就可以繼續
[00:02:48.000 --> 00:02:50.000]  不要越積越深
[00:02:50.000 --> 00:02:51.000]  你都不明白
[00:02:51.000 --> 00:02:53.000]  就變成沒有興趣
[00:02:53.000 --> 00:02:57.000]  我都是想培養大家讀經的興趣
[00:02:57.000 --> 00:02:59.000]  但多一點要求的
[00:02:59.000 --> 00:03:01.000]  就是上下文的解經
