
[00:00:00.000 --> 00:00:02.000]  鄧小姐 早安
[00:00:02.000 --> 00:00:07.460]  很感恩今天有機會和大家講道
[00:00:07.460 --> 00:00:10.220]  好像很久很久沒有在早堂講道
[00:00:10.220 --> 00:00:14.140]  每個星期都見 但在早堂講道好像很久沒有了
[00:00:14.140 --> 00:00:17.760]  感謝主今天給我有恩典在這裡
[00:00:17.760 --> 00:00:22.040]  講道之前我想問一下
[00:00:22.040 --> 00:00:27.480]  今天在早堂裡面通常都是固定的鄧小姐出席的
[00:00:27.480 --> 00:00:30.240]  當中有一幫特別特別的
[00:00:30.240 --> 00:00:33.360]  每個主日都很忠心在這裡的
[00:00:33.360 --> 00:00:36.680]  就是一幫常青的弟兄姐妹
[00:00:36.680 --> 00:00:39.800]  可不可以揚揚你們的手 或者你們的程序表呢?
[00:00:39.800 --> 00:00:43.320]  就在後面的 近側門門口那裡
[00:00:43.320 --> 00:00:47.440]  一會兒我就會讀一讀你們某一些人的名單
[00:00:47.440 --> 00:00:50.160]  揚一揚你們的手就可以了
[00:00:50.160 --> 00:00:52.640]  鄺歡巧
[00:00:52.640 --> 00:00:56.280]  鄺歡巧 她差點忘記了自己叫什麼名字
[00:00:56.280 --> 00:00:58.440]  李二妹
[00:00:58.440 --> 00:01:00.840]  張麗靜
[00:01:00.840 --> 00:01:03.640]  胡立香
[00:01:03.640 --> 00:01:06.920]  楊健軒先生 楊先生在前面
[00:01:06.920 --> 00:01:09.160]  鳳金
[00:01:09.160 --> 00:01:11.320]  都是在後面的鳳金
[00:01:11.320 --> 00:01:15.680]  敏卿就上晚堂的 萬麗
[00:01:15.680 --> 00:01:17.760]  安妮
[00:01:17.760 --> 00:01:21.160]  安妮是不是上午堂的? 剛才是誰?
[00:01:21.160 --> 00:01:24.760]  玉珠也是上午堂的 彩蝶
[00:01:24.760 --> 00:01:29.680]  是 剛才我讀這些名單 給一些掌聲給他們
[00:01:29.680 --> 00:01:33.600]  是 不知道為什麼要給他們掌聲
[00:01:33.600 --> 00:01:39.400]  他們是常青團契的其中一份子
[00:01:39.400 --> 00:01:44.160]  不過他們就是在常青團契之前的半個小時
[00:01:44.160 --> 00:01:48.400]  我們有祈禱會的 是九點半到十點鐘
[00:01:48.400 --> 00:01:55.080]  他們是恆常的回來參加這個祈禱會
[00:01:55.080 --> 00:01:57.880]  雖然是半個小時
[00:01:57.880 --> 00:02:03.080]  而且他們都是拿著《情趣表》第九頁來照讀的
[00:02:03.080 --> 00:02:05.880]  但是他們是很忠心的
[00:02:05.880 --> 00:02:09.120]  有人住在上水的 鄺歡巧
[00:02:09.120 --> 00:02:13.760]  她告訴我 她是早上七點鐘就出門口的
[00:02:13.760 --> 00:02:18.760]  因為她要搭小巴去到上水的村巴總站
[00:02:18.760 --> 00:02:23.520]  再搭車進來教會 差不多九點鐘
[00:02:23.520 --> 00:02:29.080]  因為她走得比較慢 走三步就停一步
[00:02:29.080 --> 00:02:32.320]  但是我真的很欣賞他們
[00:02:32.320 --> 00:02:34.680]  那個對上帝的心
[00:02:34.680 --> 00:02:38.960]  回到祈禱會 回到團契 回到崇拜都是這樣
[00:02:38.960 --> 00:02:41.120]  剛才我一直在讀你們的名單
[00:02:41.120 --> 00:02:45.760]  最初我怕不怕呢?不知道要做什麼
[00:02:45.760 --> 00:02:49.800]  但是當我說這些弟兄姐妹
[00:02:49.800 --> 00:02:53.320]  原來他們真的全部都是一些祈禱用士
[00:02:53.320 --> 00:02:55.000]  我相信不單止這些
[00:02:55.000 --> 00:02:56.560]  星期三晚的祈禱會
[00:02:56.560 --> 00:03:00.000]  或者各個不同區的祈禱會
[00:03:00.000 --> 00:03:02.600]  這些都是一些祈禱的用士
[00:03:02.600 --> 00:03:08.680]  這些名單其實是一個很榮耀的一些名單
[00:03:08.680 --> 00:03:11.480]  比對起之前頒發了
[00:03:11.480 --> 00:03:17.320]  那個2022年特區政府的授勳名單
[00:03:17.320 --> 00:03:19.760]  哇 八百多九百人
[00:03:19.760 --> 00:03:25.400]  比起好像在實質上沒有什麼回到祈禱
[00:03:25.400 --> 00:03:28.480]  但是我相信在這個天上高
[00:03:28.480 --> 00:03:30.480]  上帝非常熱鬧他們
[00:03:30.480 --> 00:03:34.360]  上帝一定會獎賞他們那份忠心
[00:03:34.360 --> 00:03:38.720]  他們得到上帝的熱鬧是更加的寶貴
