
[00:00:00.000 --> 00:00:02.000]  弟子們早安
[00:00:02.000 --> 00:00:06.000]  我今天在大家中間分享上帝的訊息
[00:00:06.000 --> 00:00:11.000]  特別能夠聽到阿拉伯宣教的分享
[00:00:11.000 --> 00:00:13.000]  (英文)
[00:00:13.000 --> 00:00:16.000]  去帶給我們一個鼓勵
[00:00:16.000 --> 00:00:18.000]  或者大家可能都認識的話
[00:00:18.000 --> 00:00:22.000]  可能知道在一個福音的顏土
[00:00:22.000 --> 00:00:25.000]  去能夠傳遞福音
[00:00:25.000 --> 00:00:29.000]  或者是用不同的方法
[00:00:29.000 --> 00:00:32.000]  讓未得之民得到福音
[00:00:32.000 --> 00:00:35.000]  其實是一個很不容易的事
[00:00:35.000 --> 00:00:40.000]  一個很多挑戰、很多難度的事
[00:00:40.000 --> 00:00:43.000]  如何配合我今天跟大家分享的訊息呢?
[00:00:43.000 --> 00:00:48.000]  其實就是對於我們身處的一個現實
[00:00:48.000 --> 00:00:50.000]  其實倒過來想
[00:00:50.000 --> 00:00:52.000]  我們活在香港
[00:00:52.000 --> 00:00:55.000]  其實可能你要去傳福音都不是容易
[00:00:55.000 --> 00:00:59.000]  我們都有另一種的挑戰
[00:00:59.000 --> 00:01:01.000]  可能是一個物質豐富
[00:01:01.000 --> 00:01:04.000]  或者是一個好像很多的知識
[00:01:04.000 --> 00:01:09.000]  很多的事情都在自己的控制裏面的時候
[00:01:09.000 --> 00:01:12.000]  你要向一個朋友分享福音都是很不容易
[00:01:12.000 --> 00:01:15.000]  所以今天的傳道宣教訊息
[00:01:15.000 --> 00:01:17.000]  可能許許我們就從一個
[00:01:17.000 --> 00:01:20.000]  更加去了解我們生活的現實
[00:01:20.000 --> 00:01:25.000]  進入到今天上帝的話當中
[00:01:25.000 --> 00:01:29.000]  求主幫助讓我們能夠在今天的道當中
[00:01:29.000 --> 00:01:31.000]  可以有主給我們的啟發
[00:01:31.000 --> 00:01:32.000]  有主給我們的觸動
[00:01:32.000 --> 00:01:34.000]  我們先一起有個禱告
[00:01:34.000 --> 00:01:36.000]  然後開始聽今天的訊息
[00:01:36.000 --> 00:01:39.000]  七天會感謝你讓我們今天能夠相聚
[00:01:39.000 --> 00:01:42.000]  能夠有宣教的分享
[00:01:42.000 --> 00:01:44.000]  也讓我們能夠繼續去
[00:01:44.000 --> 00:01:47.000]  讓我們的眼光不會停在自己身上
[00:01:47.000 --> 00:01:49.000]  我們看到這個世界
[00:01:49.000 --> 00:01:53.000]  這個地方這個社會
[00:01:53.000 --> 00:01:55.000]  其實有很多的需要
