
[00:00:00.000 --> 00:00:05.000]  在我們看神的話語之前 我們一起祈禱
[00:00:05.000 --> 00:00:09.000]  我們的主 我們的神 我們每一生都感謝祢
[00:00:09.000 --> 00:00:15.000]  讓我們在不同的地域 讓祢愛招聚
[00:00:15.000 --> 00:00:19.000]  我們來祢面前 如聖靈在當中感動我們的心
[00:00:19.000 --> 00:00:23.000]  若然我們有蒙祢如納的 求主剔除
[00:00:23.000 --> 00:00:26.000]  以致我們專心一意地去仰望祢
[00:00:26.000 --> 00:00:30.000]  讓孩子口中的意義 心中的意念 蒙祢如納
[00:00:30.000 --> 00:00:34.000]  我們這樣祈禱交託 奉主耶穌基督名求 阿們
[00:00:34.000 --> 00:00:40.000]  今天我們講到 如何再施屬靈恩賜
[00:00:40.000 --> 00:00:44.000]  那我又問問你 什麼叫屬靈呢?
[00:00:44.000 --> 00:00:49.000]  其實很簡單 就是屬父聖靈
[00:00:49.000 --> 00:00:52.000]  其實一個真正屬靈的基督徒
[00:00:52.000 --> 00:00:58.000]  必須時時都有聖靈去感同他的生活
[00:00:58.000 --> 00:01:03.000]  而他會體貼聖靈的意思
[00:01:03.000 --> 00:01:07.000]  亦都會順從聖靈的引導
[00:01:07.000 --> 00:01:12.000]  在他的生活中 你會看到他時時刻刻
[00:01:12.000 --> 00:01:15.000]  都要依靠聖靈去行事
[00:01:15.000 --> 00:01:18.000]  那要判斷一個人是否屬靈呢?
[00:01:18.000 --> 00:01:21.000]  其實不是看他的信主的年日
[00:01:21.000 --> 00:01:25.000]  有些信主很久了 甚至洗禮
[00:01:25.000 --> 00:01:30.000]  但是他還未放下他的老鵝
[00:01:30.000 --> 00:01:34.000]  他還未可以順從聖靈的引導
[00:01:34.000 --> 00:01:37.000]  不能為聖靈而活
[00:01:37.000 --> 00:01:41.000]  或者有些信主很短的時間
[00:01:41.000 --> 00:01:43.000]  但他每天都可以經歷
[00:01:43.000 --> 00:01:47.000]  聖靈如何塗造他 經歷更新的生命
[00:01:47.000 --> 00:01:51.000]  所以你的生命是否要被主挑釁呢?
[00:01:51.000 --> 00:01:55.000]  就看你是否願意順從聖靈的帶領
[00:01:55.000 --> 00:01:57.000]  一個屬靈人
[00:01:57.000 --> 00:02:01.000]  又不是因為你一定是做長老執事
[00:02:01.000 --> 00:02:04.000]  或者做牧師 特別屬靈一點
[00:02:04.000 --> 00:02:06.000]  不一定的
[00:02:06.000 --> 00:02:10.000]  又不一定是因為你會講謊言 行歧視
[00:02:10.000 --> 00:02:14.000]  或者每次祈禱都要有求必應
[00:02:14.000 --> 00:02:16.000]  這些都不是
[00:02:16.000 --> 00:02:18.000]  今天我們去看看
[00:02:18.000 --> 00:02:20.000]  不知道有沒有按那個
[00:02:20.000 --> 00:02:38.000]  首先我們看看「屬靈恩賜」
[00:02:38.000 --> 00:02:42.000]  其實原文裏面只是「屬靈的」
[00:02:42.000 --> 00:02:46.000]  翻譯上加了「屬靈的恩賜」
[00:02:46.000 --> 00:02:51.000]  而這個「恩賜」其實是講到神的恩惠
[00:02:51.000 --> 00:02:55.000]  是由這個「恩惠」的字去演變出來
[00:02:55.000 --> 00:03:00.000]  強調上帝的恩典是如何賜予給我們
[00:03:00.000 --> 00:03:07.000]  其實這個屬靈的恩賜
[00:03:10.000 --> 00:03:14.000]  是被我們看到是聖靈賜予給我們的
[00:03:14.000 --> 00:03:17.000]  是按著祂的旨意
[00:03:17.000 --> 00:03:20.000]  按著祂的旨意去給我們
[00:03:20.000 --> 00:03:22.000]  是屬靈的恩賜
[00:03:22.000 --> 00:03:24.000]  我們在羅馬書十二章
[00:03:24.000 --> 00:03:26.000]  以法所書四章
[00:03:26.000 --> 00:03:28.000]  和彼得前書的四章
[00:03:28.000 --> 00:03:32.000]  你都可以看到有恩賜列出來
[00:03:32.000 --> 00:03:34.000]  當然整本聖經不會
[00:03:34.000 --> 00:03:36.000]  所有的恩賜都寫了
[00:03:36.000 --> 00:03:38.000]  但在這幾本書裏
[00:03:38.000 --> 00:03:42.000]  你都可以體會到聖靈是怎麼一回事
[00:03:42.000 --> 00:03:49.000]  當你看到今天這個經文裏面
[00:03:49.000 --> 00:03:52.000]  好像我的
[00:03:52.000 --> 00:03:55.000]  你會看到第八節
[00:03:55.000 --> 00:03:59.000]  第八節是有人藉著聖靈領受智慧的言語
[00:03:59.000 --> 00:04:03.000]  有人靠著同一位聖靈領受知識的言語
[00:04:03.000 --> 00:04:06.000]  有人由同一位聖靈領受信心
[00:04:06.000 --> 00:04:11.000]  還有人由同一位聖靈領受醫病的恩賜
[00:04:11.000 --> 00:04:13.000]  又有人能行義能
[00:04:13.000 --> 00:04:15.000]  有人能作善知
[00:04:15.000 --> 00:04:18.000]  有人能辨別諸靈
[00:04:18.000 --> 00:04:20.000]  又有人能說方言
[00:04:20.000 --> 00:04:23.000]  又有人能翻方言
[00:04:23.000 --> 00:04:24.000]  這一切
[00:04:24.000 --> 00:04:25.000]  留意十一節
[00:04:25.000 --> 00:04:30.000]  這一切都是由唯一的同一位聖靈所運行
[00:04:30.000 --> 00:04:33.000]  隨著自己的旨意分級個人
[00:04:33.000 --> 00:04:37.000]  所以原來這個恩賜是不能學的
[00:04:37.000 --> 00:04:41.000]  是聖靈覺得適合你的話
[00:04:41.000 --> 00:04:42.000]  你就有了
[00:04:42.000 --> 00:04:44.000]  又不能羨慕別人
[00:04:44.000 --> 00:04:47.000]  或者它是像麻鷹式飛的
[00:04:47.000 --> 00:04:49.000]  你很羨慕它可以飛
[00:04:49.000 --> 00:04:51.000]  你不可以去學它飛
[00:04:51.000 --> 00:04:52.000]  你飛不了
[00:04:52.000 --> 00:04:53.000]  可能你是跳的
[00:04:53.000 --> 00:04:55.000]  像兔子一樣跳得很快
[00:04:55.000 --> 00:04:59.000]  或者你是跑步跑得很快
[00:04:59.000 --> 00:05:02.000]  每個人都不同
[00:05:02.000 --> 00:05:05.000]  所以我們不能去模仿別人
[00:05:05.000 --> 00:05:07.000]  我記得以前有一個笑話
[00:05:07.000 --> 00:05:11.000]  有一個人去模仿傳統人
[00:05:11.000 --> 00:05:13.000]  學他祈禱
[00:05:13.000 --> 00:05:15.000]  學他的聲音
[00:05:15.000 --> 00:05:17.000]  每個人的聲音或者停頓
[00:05:17.000 --> 00:05:19.000]  或者習慣
[00:05:19.000 --> 00:05:21.000]  是不同的
[00:05:21.000 --> 00:05:25.000]  但是他學了他的動作
[00:05:25.000 --> 00:05:27.000]  這很奇怪
[00:05:27.000 --> 00:05:33.000]  為什麼他每次說話都是這樣呢?
[00:05:33.000 --> 00:05:36.000]  其實他這樣模仿
[00:05:36.000 --> 00:05:40.000]  你覺得他有沒有問題呢?
[00:05:40.000 --> 00:05:42.000]  為什麼叫笑話呢?
[00:05:42.000 --> 00:05:45.000]  因為原來傳統人有假牙
[00:05:45.000 --> 00:05:48.000]  所以假牙就會發出那些聲音
[00:05:48.000 --> 00:05:50.000]  但是你學他的聲音的時候
[00:05:50.000 --> 00:05:51.000]  是不是很奇怪呢?
[00:05:51.000 --> 00:05:53.000]  其實正常不是這樣說話的
[00:05:53.000 --> 00:05:56.000]  但是你學他的停頓的時候
[00:05:56.000 --> 00:05:57.000]  發出什麼聲音呢?
[00:05:57.000 --> 00:05:59.000]  其實你是模仿他
[00:05:59.000 --> 00:06:01.000]  其實那些是多餘的
[00:06:01.000 --> 00:06:03.000]  因為他有假牙
[00:06:03.000 --> 00:06:06.000]  才會有那些特別的聲音
[00:06:06.000 --> 00:06:08.000]  所以你記得原來
[00:06:08.000 --> 00:06:10.000]  屬靈給我們一次
[00:06:10.000 --> 00:06:12.000]  我們去想的時候
[00:06:12.000 --> 00:06:15.000]  原來這個是聖靈給你的
[00:06:15.000 --> 00:06:18.000]  你就不可以介意你自己
[00:06:18.000 --> 00:06:20.000]  是這樣,他是那樣
[00:06:20.000 --> 00:06:22.000]  是不能比較的
[00:06:22.000 --> 00:06:25.000]  所以是隨他的意思給我們的
[00:06:25.000 --> 00:06:28.000]  所以這裡說到眼睛不能對手說
[00:06:28.000 --> 00:06:30.000]  我用不著你
[00:06:30.000 --> 00:06:32.000]  當你這樣說的時候
[00:06:32.000 --> 00:06:34.000]  其實意味著什麼呢?
[00:06:34.000 --> 00:06:36.000]  你好像覺得自己比別人厲害
[00:06:36.000 --> 00:06:38.000]  用不著你
[00:06:38.000 --> 00:06:41.000]  你覺得他好像很軟弱
[00:06:41.000 --> 00:06:43.000]  這個經文是描述到
