
[00:00:00.000 --> 00:00:04.320]  各位弟兄姊妹 復活節快樂
[00:00:04.320 --> 00:00:08.120]  我們一同來到今天可以來到去朝見主
[00:00:08.120 --> 00:00:11.440]  和來到去聆聽上主的教誨
[00:00:11.440 --> 00:00:14.320]  我們一起有禱告先
[00:00:14.320 --> 00:00:17.560]  再一次我們將榮耀 頌讚
[00:00:17.560 --> 00:00:20.160]  歸給我們三一的上主
[00:00:20.160 --> 00:00:23.040]  我們能夠再一次坐在禮拜堂
[00:00:23.040 --> 00:00:26.720]  和弟兄姊妹一同的來到去敬拜祢
[00:00:26.720 --> 00:00:29.520]  唱詩歌來到去歌頌祢
[00:00:29.520 --> 00:00:34.040]  因為祢是配得這一切榮耀的造物主宰
[00:00:34.040 --> 00:00:36.680]  和我們的救主耶穌基督
[00:00:36.680 --> 00:00:40.280]  祢是那一位從天上降臨
[00:00:40.280 --> 00:00:43.240]  為我們在十字架上釘死
[00:00:43.240 --> 00:00:46.600]  也為我們的緣故第三天復活
[00:00:46.600 --> 00:00:49.880]  今天正正就是我們要去紀念
[00:00:49.880 --> 00:00:53.320]  我們要來到去等待這一位復活的主
[00:00:53.320 --> 00:00:54.840]  祢的再臨
[00:00:54.840 --> 00:00:58.440]  我們在人生裏面總有一個機會
[00:00:58.440 --> 00:01:00.280]  在我們未死之前
[00:01:00.280 --> 00:01:02.160]  祢就會再回來
[00:01:02.160 --> 00:01:04.840]  這個是我們共同的盼望
[00:01:04.840 --> 00:01:08.200]  是聖經給我們的一個很重要的啟示
[00:01:08.200 --> 00:01:11.800]  求主兼顧我們這一份的盼望
[00:01:11.800 --> 00:01:14.640]  以致在我們的生活為人
[00:01:14.640 --> 00:01:19.240]  是受著這個復活再臨的基督的影響
[00:01:19.240 --> 00:01:21.760]  因為祢就是初屬的果子
[00:01:21.760 --> 00:01:23.720]  當祢再回來的時候
[00:01:23.720 --> 00:01:27.200]  我們就是要收割神
[00:01:27.200 --> 00:01:30.880]  藉著天使來收割我們每一個的果子
[00:01:30.880 --> 00:01:32.920]  我們今天在祢面前等候
[00:01:32.920 --> 00:01:35.520]  盼望這一段真理教導
[00:01:35.520 --> 00:01:38.640]  成為我們彼此提醒和激勵
[00:01:38.640 --> 00:01:40.640]  我們這樣感恩禱告
[00:01:40.640 --> 00:01:42.840]  奉耶穌基督的名
[00:01:42.840 --> 00:01:44.000]  阿們
[00:01:44.000 --> 00:01:47.040]  在一路大概兩個星期前
[00:01:47.040 --> 00:01:49.040]  一首的聖詩
[00:01:49.040 --> 00:01:51.560]  「因他活著」
[00:01:51.560 --> 00:01:54.520]  就已經在心裏面徘徊
[00:01:54.520 --> 00:01:58.200]  很想在今天
[00:01:58.200 --> 00:02:01.520]  因為知道要講復活節崇拜
[00:02:01.520 --> 00:02:07.040]  就安排了稍後會這一首回應的詩歌
[00:02:07.040 --> 00:02:09.240]  剛剛這個星期
[00:02:09.240 --> 00:02:11.720]  很特別很特別
[00:02:11.720 --> 00:02:15.960]  不約而同有三個群體
[00:02:15.960 --> 00:02:17.720]  告訴我
[00:02:17.720 --> 00:02:22.040]  主耶穌真的活著
[00:02:22.040 --> 00:02:23.680]  上個星期
[00:02:23.680 --> 00:02:25.240]  完了崇拜
[00:02:25.240 --> 00:02:27.040]  招呼講完
[00:02:27.040 --> 00:02:29.720]  閒談午膳
[00:02:29.720 --> 00:02:31.000]  講開
[00:02:31.000 --> 00:02:33.680]  牧者他們在過去的侍奉
[00:02:33.680 --> 00:02:37.200]  因為兩位牧者都退休了
[00:02:37.200 --> 00:02:38.480]  其中
[00:02:38.480 --> 00:02:40.520]  安柱中學的校長
[00:02:40.520 --> 00:02:41.880]  劉恩德牧師
[00:02:41.880 --> 00:02:44.200]  我們四個人閒談
[00:02:44.200 --> 00:02:45.280]  講開
[00:02:45.280 --> 00:02:48.200]  他又提一件事
[00:02:48.240 --> 00:02:52.960]  他說他最近遇到一個家長
[00:02:52.960 --> 00:02:55.160]  是女士
[00:02:55.160 --> 00:02:56.760]  很急找他
[00:02:56.760 --> 00:03:00.000]  其實他已經不在那間學校很久了
[00:03:00.000 --> 00:03:04.000]  最近都在生命堂退休
[00:03:04.000 --> 00:03:07.040]  輾轉輾轉有人找到他
[00:03:07.040 --> 00:03:10.120]  就和這位女士去傾談
[00:03:10.120 --> 00:03:11.920]  很特別很特別
[00:03:11.920 --> 00:03:15.640]  原來是他一個很多年的學生
[00:03:15.640 --> 00:03:20.200]  當時畢業這個學生都未信耶穌
[00:03:20.200 --> 00:03:21.520]  不知甚麼原因
[00:03:21.520 --> 00:03:23.040]  過了很久了
[00:03:23.040 --> 00:03:24.600]  這個媽媽
[00:03:24.600 --> 00:03:26.840]  劉牧師找得很急
[00:03:26.840 --> 00:03:28.240]  一定要找他
[00:03:28.240 --> 00:03:30.840]  最終有機會見面
[00:03:30.840 --> 00:03:33.720]  原來他想信耶穌
[00:03:33.720 --> 00:03:35.480]  是他的女兒告訴他
[00:03:35.480 --> 00:03:37.360]  他要快些信耶穌
[00:03:37.360 --> 00:03:39.800]  當然大家都會明白
[00:03:39.800 --> 00:03:40.960]  這麼急
[00:03:40.960 --> 00:03:44.400]  一定是身體有一定的毛病
[00:03:44.400 --> 00:03:46.520]  最終輾轉
[00:03:46.520 --> 00:03:48.320]  在大概一年左右
[00:03:48.320 --> 00:03:49.880]  繼續翻主一學
[00:03:49.880 --> 00:03:52.400]  因為都介紹他去不同的教會
[00:03:52.400 --> 00:03:54.120]  就信了耶穌
[00:03:54.120 --> 00:03:57.920]  都退休了
[00:03:57.920 --> 00:03:59.200]  星期一
[00:03:59.200 --> 00:04:01.200]  和一位傳道者
[00:04:01.200 --> 00:04:03.760]  年輕的傳道人吃飯
[00:04:03.760 --> 00:04:04.840]  很特別
[00:04:04.840 --> 00:04:07.440]  他說有一個經歷一定要和我分享
[00:04:07.440 --> 00:04:08.480]  不分享不行
[00:04:08.480 --> 00:04:11.680]  因為神給他遇到一個這麼特別的經歷
[00:04:11.680 --> 00:04:18.480]  他是做青少年少年幼兒的牧區
[00:04:18.480 --> 00:04:21.680]  他基本上沒有甚麼機會
[00:04:21.680 --> 00:04:23.960]  在教會的體制
[00:04:23.960 --> 00:04:25.680]  要安排他很突發性
[00:04:25.680 --> 00:04:27.480]  要去醫院彌留
[00:04:27.480 --> 00:04:28.960]  和那些病者
[00:04:28.960 --> 00:04:31.560]  彌留的病者來禱告
[00:04:31.560 --> 00:04:34.360]  來帶他去信耶穌
[00:04:34.360 --> 00:04:37.320]  因為他是做青少年牧區
[00:04:37.320 --> 00:04:40.280]  剛好那一次
[00:04:40.280 --> 00:04:45.680]  主日牧師和一位做長者的牧區的女童工
[00:04:45.680 --> 00:04:48.160]  都有重要的會議
[00:04:48.160 --> 00:04:49.520]  不可以出
