
[00:00:00.000 --> 00:00:05.000]  約瑟把他們從以色列兩室中間領出來,
[00:00:05.000 --> 00:00:08.000]  是紀念伏於地下拜。
[00:00:08.000 --> 00:00:14.000]  然後,約瑟牽著他們兩個,帶到父親跟前,
[00:00:14.000 --> 00:00:18.000]  右手牽以法蓮到以色列的左邊,
[00:00:18.000 --> 00:00:23.000]  左手牽馬拿西到以色列的右邊。
[00:00:23.000 --> 00:00:26.000]  以色列卻伸出右手來,
[00:00:26.000 --> 00:00:30.000]  安在赤子以法蓮的頭上,
[00:00:30.000 --> 00:00:33.000]  又靠他伸出左手來,
[00:00:33.000 --> 00:00:37.000]  安在長子馬拿西的頭上。
[00:00:37.000 --> 00:00:39.000]  他就為約瑟祝福說:
[00:00:39.000 --> 00:00:45.000]  「願我祖父阿伯拉罕和我父親以澤所侍奉的神,
[00:00:45.000 --> 00:00:49.000]  就此一生牧養我直到今日的神,
[00:00:49.000 --> 00:00:54.000]  救贖我脫離一切患難的那位使者,
[00:00:54.000 --> 00:00:57.000]  賜福給這兩個孩子,
[00:00:57.000 --> 00:01:03.000]  願我的名,我祖父阿伯拉罕和我父親以澤的名,
[00:01:03.000 --> 00:01:05.000]  直到他們得以流傳,
[00:01:05.000 --> 00:01:10.000]  又願他們在全地上多多繁衍。」
[00:01:10.000 --> 00:01:14.000]  恭敬將時間交給蔣傳導。
[00:01:14.000 --> 00:01:31.000]  (掌聲)
[00:01:31.000 --> 00:01:34.000]  蔣:各位靖姐妹,平安!
[00:01:34.000 --> 00:01:36.000]  靖姐妹平安!
[00:01:36.000 --> 00:01:39.000]  很快時間來到十一月了,
[00:01:39.000 --> 00:01:44.000]  我已經跟大家分享了《雅各》的講道,
[00:01:44.000 --> 00:01:47.000]  由年初到差不多年中,
[00:01:47.000 --> 00:01:49.000]  第六次跟大家分享,
[00:01:49.000 --> 00:01:53.000]  也是總結了《雅各》的生命。
[00:01:53.000 --> 00:01:59.000]  剛才讀的那段經文是其中一段,
[00:01:59.000 --> 00:02:00.000]  在四十八章,
[00:02:00.000 --> 00:02:02.000]  雖然我偷了一個中間,
[00:02:02.000 --> 00:02:08.000]  其實是他和約瑟的一番說話。
[00:02:08.000 --> 00:02:13.000]  裡面主要我跟大家一起分享,
[00:02:13.000 --> 00:02:15.000]  最後去看《雅各》的生命,
[00:02:15.000 --> 00:02:20.000]  就是《雅各》對上帝有三個最後的稱呼,
[00:02:20.000 --> 00:02:23.000]  其中一個就是一個牧羊,
[00:02:23.000 --> 00:02:27.000]  他體會到上帝是直到今天仍然在牧養他,
[00:02:27.000 --> 00:02:35.000]  所以我讓他對上帝的認識成為了我們今天講道的題目。
[00:02:35.000 --> 00:02:37.000]  如果看回《雅各》,
[00:02:37.000 --> 00:02:42.000]  我由上次看到他和耳掃相遇的時候,
[00:02:42.000 --> 00:02:45.000]  其實由三十三章到現在四十八章,
[00:02:45.000 --> 00:02:48.000]  其實中間已經散落了很多經文,
[00:02:48.000 --> 00:02:52.000]  中間大家都很熟悉有約瑟的故事。
[00:02:52.000 --> 00:02:54.000]  到尾到四十八章之前,
[00:02:54.000 --> 00:02:58.000]  我跟大家很簡單講一點背景,
[00:02:58.000 --> 00:03:03.000]  讓大家很快能夠知道《雅各》繼續有什麼發生。
[00:03:03.000 --> 00:03:08.000]  其實經文不是很多再提《雅各》,
[00:03:08.000 --> 00:03:12.000]  當中特別有一段在四十六章的時候,
[00:03:12.000 --> 00:03:15.000]  是上主在夜裡和雅各顯現,
[00:03:15.000 --> 00:03:19.000]  夜間神在意象中和以色列當時已經改了名字,
[00:03:19.000 --> 00:03:23.000]  說「雅各,雅各,他歲我在這裡。」
[00:03:23.000 --> 00:03:27.000]  神說「我是神,你父親的神,不要害怕下埃及去,
[00:03:27.000 --> 00:03:30.000]  因為我必使你在那裡成為大國,
[00:03:30.000 --> 00:03:33.000]  我要和你同行到埃及去,
[00:03:33.000 --> 00:03:39.000]  也必定帶你上來,約瑟要親手合上你的眼睛。」
[00:03:39.000 --> 00:03:43.000]  臨到老還要移民,
[00:03:43.000 --> 00:03:46.000]  四十六、四十七、四十八,
[00:03:46.000 --> 00:03:49.000]  下一段經文就是他面對法老,
[00:03:49.000 --> 00:03:51.000]  講到一生一百三十歲,
[00:03:51.000 --> 00:03:54.000]  一個很大年紀,
[00:03:54.000 --> 00:03:58.000]  可能以為上帝的應許要在加林地出現了,
[00:03:58.000 --> 00:04:01.000]  原來還沒完,他的人生還沒完,
[00:04:01.000 --> 00:04:04.000]  上帝還召喚他,「雅各,雅各。」
[00:04:04.000 --> 00:04:10.000]  用他以前的名字,叫他和他最親切的稱呼,
[00:04:10.000 --> 00:04:15.000]  一生裡和他摔跤的時候那種狀況的稱呼來稱呼他,
[00:04:15.000 --> 00:04:19.000]  然後就告訴他不要害怕,
[00:04:19.000 --> 00:04:22.000]  我不詳細去討論他到了這個年紀,
[00:04:22.000 --> 00:04:26.000]  還要離鄉別井,一家大小,
[00:04:26.000 --> 00:04:32.000]  然後經文後面就說他帶著種子、畜牧、財物等等,
[00:04:32.000 --> 00:04:35.000]  往埃及,
[00:04:35.000 --> 00:04:38.000]  但上帝說我要和你一起,
[00:04:38.000 --> 00:04:40.000]  你在那裡成為大國,
[00:04:40.000 --> 00:04:45.000]  原來上帝給阿伯拉罕以撒雅各的應許,
[00:04:45.000 --> 00:04:47.000]  原來真是猜不到,
[00:04:47.000 --> 00:04:50.000]  原來是在埃及地成就,
[00:04:50.000 --> 00:04:52.000]  不是在加林地成就,
[00:04:52.000 --> 00:04:57.000]  他要到埃及,大家要再看出埃及記了,
[00:04:57.000 --> 00:05:00.000]  然後那裡成為了很大的民族,
[00:05:00.000 --> 00:05:03.000]  然後被法老迫害之後上來,
[00:05:03.000 --> 00:05:06.000]  才進入加林地,
[00:05:06.000 --> 00:05:10.000]  但那個民族的興旺是在埃及發生,
