
[00:00:00.000 --> 00:00:01.640]  我們在節目裡平安
[00:00:01.640 --> 00:00:04.360]  很感恩在大家將臨期的時間
[00:00:04.360 --> 00:00:07.400]  跟大家一起去分享上帝的話
[00:00:07.400 --> 00:00:10.600]  不知道大家如何去
[00:00:10.600 --> 00:00:14.600]  除了我們有一些實質的裝置
[00:00:14.600 --> 00:00:16.440]  或者我剛才被曬的時候
[00:00:16.440 --> 00:00:20.040]  有目者的文章去指引我們
[00:00:20.040 --> 00:00:22.880]  我不知道大家在我們的心裡面
[00:00:22.880 --> 00:00:26.400]  或者我們屬靈的境況裡面
[00:00:26.400 --> 00:00:30.800]  你有多少預備自己在今年的
[00:00:30.800 --> 00:00:32.880]  將臨期或者聖誕當中
[00:00:32.880 --> 00:00:36.880]  去期盼能夠跟上帝
[00:00:36.880 --> 00:00:39.840]  跟我們的主有一個經歷呢
[00:00:39.840 --> 00:00:44.040]  不知道大家的心有多準備好
[00:00:44.040 --> 00:00:47.360]  其實將臨期裡面有一個很重要的功課
[00:00:47.360 --> 00:00:49.240]  就是一個等待的功課
[00:00:49.240 --> 00:00:52.080]  就好像今天講道的題目
[00:00:52.080 --> 00:00:54.160]  跟大家去分享
[00:00:54.160 --> 00:00:59.200]  其實人生裡面也充滿著等待
[00:00:59.200 --> 00:01:00.920]  有些事情我也有想過
[00:01:00.920 --> 00:01:03.360]  有些事情可能很被動
[00:01:03.360 --> 00:01:06.560]  就好像最實際的
[00:01:06.560 --> 00:01:10.040]  我們這兩年面對的疫情
[00:01:10.040 --> 00:01:11.440]  現在是Omicron
[00:01:11.440 --> 00:01:12.640]  一直變
[00:01:12.640 --> 00:01:14.880]  不知道變到可以有什麼名字再出現
[00:01:14.880 --> 00:01:17.280]  大家開始越來越不會讀那些字
[00:01:17.280 --> 00:01:19.800]  就是沒餘沒了的
[00:01:19.800 --> 00:01:23.120]  不知道對於你影響有多大
[00:01:23.120 --> 00:01:24.840]  有時候可能都會
[00:01:24.840 --> 00:01:27.640]  你預備可能去某些地方
[00:01:27.640 --> 00:01:32.000]  或者是預備有些經濟復甦等等的情況
[00:01:32.000 --> 00:01:34.240]  都會令人非常沮喪
[00:01:34.240 --> 00:01:37.640]  會打沉我們的意志
[00:01:37.640 --> 00:01:39.240]  但有時候我們又控制不了
[00:01:39.240 --> 00:01:41.960]  這些就是一些被動的等待
[00:01:41.960 --> 00:01:43.920]  希望快點好起來
[00:01:43.920 --> 00:01:46.080]  快點沒事
[00:01:46.080 --> 00:01:47.920]  但有時候我們也有一種
