
[00:00:00.000 --> 00:00:03.640]  儲穎華牧師為我們正道
[00:00:03.640 --> 00:00:06.840]  儲牧師是香港神學院的院長
[00:00:06.840 --> 00:00:10.760]  亦是中華傳道會的總幹事
[00:00:10.760 --> 00:00:12.880]  今日的講題是
[00:00:12.880 --> 00:00:15.440]  「方圓上的呼喊」
[00:00:15.440 --> 00:00:21.400]  經文是記載在《馬可福音》第一章一至八節
[00:00:21.400 --> 00:00:25.960]  「神的兒子耶穌基督福音的起頭」
[00:00:25.960 --> 00:00:30.000]  正如《紫塞亞先知書》上記載
[00:00:30.000 --> 00:00:34.520]  「漢啊,我要差遣我的使者在你面前」
[00:00:34.520 --> 00:00:37.360]  「他要為你預備道路」
[00:00:37.360 --> 00:00:40.680]  「在曠野有聲音呼喊著」
[00:00:40.680 --> 00:00:44.240]  「預備主的道,修直他的路」
[00:00:44.240 --> 00:00:48.240]  「照這話,施洗若漢來到曠野」
[00:00:48.240 --> 00:00:52.360]  「宣講悔改的洗禮,使罪得赦」
[00:00:52.360 --> 00:00:56.920]  「猶太傳世和傳耶路撒冷的人都出去」
[00:00:56.920 --> 00:01:00.960]  「到若漢那裡,承認他們的罪」
[00:01:00.960 --> 00:01:04.400]  「在約旦河裡受他的洗」
[00:01:04.400 --> 00:01:07.440]  「若漢穿落陀毛的衣服」
[00:01:07.440 --> 00:01:12.800]  「腰束皮帶,吃的是蝗蟲和野蜜」
[00:01:12.800 --> 00:01:14.520]  「他宣講說」
[00:01:14.520 --> 00:01:18.560]  「有一位在我耳後來的能力比我更大」
[00:01:18.560 --> 00:01:23.280]  「我就是彎腰吸蝦解鞋帶也不配」
[00:01:23.280 --> 00:01:26.920]  「我用水給你們施洗」
[00:01:26.920 --> 00:01:30.480]  「他卻要用聖靈給你們施洗」
[00:01:30.480 --> 00:01:31.400]  經文讀筆
[00:01:31.400 --> 00:01:34.240]  現在恭請主牧師為我們展覽
[00:01:34.240 --> 00:01:36.320]  各位弟兄姊妹午安
[00:01:36.320 --> 00:01:39.080]  現在已經過了十二點了
[00:01:39.080 --> 00:01:42.800]  我們相信大家來到教會中間
[00:01:42.800 --> 00:01:44.880]  因為我們都信了主耶穌
[00:01:44.880 --> 00:01:47.640]  我們在生命裡有大的改變
[00:01:47.640 --> 00:01:49.000]  我們能夠信到主耶穌
[00:01:49.000 --> 00:01:51.480]  上帝給我們一個很特別的恩典
[00:01:51.480 --> 00:01:56.520]  有很多人聽很多呼音都不會相信
[00:01:56.520 --> 00:01:58.600]  但有些人聽了一次
[00:01:58.600 --> 00:02:01.080]  可能在他生命裡只是那一次
[00:02:01.080 --> 00:02:04.400]  但他生命有所轉變
[00:02:04.400 --> 00:02:07.880]  我們今天的題目叫「方圓上的呼喊」
[00:02:07.880 --> 00:02:10.360]  為什麼會用一個這樣的題目呢?
[00:02:10.360 --> 00:02:11.800]  我們今天所讀的這段經文
[00:02:11.800 --> 00:02:13.320]  《馬克福音》第一章
[00:02:13.320 --> 00:02:15.720]  第一節到第八節
[00:02:15.720 --> 00:02:18.360]  是我們這一段期間裡面
[00:02:18.360 --> 00:02:21.040]  在我們教會的年曆
[00:02:21.040 --> 00:02:23.240]  我們剛才背詞道《信經》的時候說
[00:02:23.240 --> 00:02:27.240]  「我信聖兒公之教會」
