
[00:00:00.000 --> 00:00:04.000]  提目是「馴服聖靈的差遣」
[00:00:04.000 --> 00:00:10.000]  經文是在《仕途行傳》第十六章六至十五節
[00:00:10.000 --> 00:00:12.000]  大家請聽我讀出
[00:00:12.000 --> 00:00:14.000]  第六節
[00:00:14.000 --> 00:00:19.000]  因為聖靈禁止他們在亞細亞港渡
[00:00:19.000 --> 00:00:24.000]  他們就經過弗裡加加拉泰一大地方
[00:00:24.000 --> 00:00:31.000]  到了美西亞的邊界,他們想要到彼推尼去
[00:00:31.000 --> 00:00:34.000]  耶穌的靈卻不許
[00:00:34.000 --> 00:00:39.000]  他們就越過美西亞夏特羅亞去
[00:00:39.000 --> 00:00:44.000]  夜間有現象向保羅顯現
[00:00:44.000 --> 00:00:47.000]  有一個馬其頓人站著求他說
[00:00:47.000 --> 00:00:52.000]  「請你過來,到馬其頓來幫助我們」
[00:00:52.000 --> 00:00:55.000]  保羅既看見這異象
[00:00:55.000 --> 00:00:58.000]  我們就立即設法往馬其頓去
[00:00:58.000 --> 00:01:03.000]  認為神呼召我們傳福音給那裡的人
[00:01:03.000 --> 00:01:09.000]  我們從特羅亞開船直到駛到薩摩特拉
[00:01:09.000 --> 00:01:13.000]  第二天到了尼亞玻利
[00:01:13.000 --> 00:01:17.000]  從那裡來到菲律賓
[00:01:17.000 --> 00:01:21.000]  就是馬其頓這一帶的一個重要城市
[00:01:21.000 --> 00:01:24.000]  也是羅馬的駐防城
[00:01:24.000 --> 00:01:28.000]  我們在這城裡住了幾天
[00:01:28.000 --> 00:01:32.000]  在安息日,我們出城門
[00:01:32.000 --> 00:01:37.000]  到了河邊,知道那裡有一個禱告的地方
[00:01:37.000 --> 00:01:43.000]  我們就坐下來對那些罪惡的婦女講道
[00:01:43.000 --> 00:01:47.000]  有一個賣紫色布的婦人名叫呂底亞
[00:01:47.000 --> 00:01:50.000]  是推亞推拉城的人
[00:01:50.000 --> 00:01:52.000]  素來敬拜神
[00:01:52.000 --> 00:01:56.000]  她在聽著,主就開到她的心
[00:01:56.000 --> 00:02:00.000]  使她留心聽保羅所講的話
[00:02:00.000 --> 00:02:03.000]  她和她一家都靈了醒
[00:02:03.000 --> 00:02:05.000]  就求他們說
[00:02:05.000 --> 00:02:09.000]  「你們若以為我是真心信主的
[00:02:09.000 --> 00:02:11.000]  請到我家裡來住」
[00:02:11.000 --> 00:02:15.000]  於是她堅決請我們留下
[00:02:15.000 --> 00:02:17.000]  請謝牧師
[00:02:17.000 --> 00:02:45.000]  (掌聲)
[00:02:45.000 --> 00:02:46.000]  各位鄉親平安
[00:02:46.000 --> 00:02:48.000]  在看神的話語之前
[00:02:48.000 --> 00:02:49.000]  我們一起祈禱
[00:02:49.000 --> 00:02:55.000]  (祈禱)
[00:02:55.000 --> 00:02:56.000]  我們的主,我們的神
[00:02:56.000 --> 00:02:57.000]  我們每一生都感謝你
[00:02:57.000 --> 00:02:59.000]  讓我們又可以來到你的殿裡
[00:02:59.000 --> 00:03:00.000]  我們一起來敬拜你
[00:03:00.000 --> 00:03:02.000]  這不是必然的
[00:03:02.000 --> 00:03:05.000]  主你親自在我們心中動功
[00:03:05.000 --> 00:03:07.000]  使我們感動心
[00:03:07.000 --> 00:03:09.000]  用孩子口中的言語
[00:03:09.000 --> 00:03:10.000]  心中的意念
[00:03:10.000 --> 00:03:11.000]  是蒙你如納
[00:03:11.000 --> 00:03:12.000]  我們這樣祈禱交託
[00:03:12.000 --> 00:03:14.000]  奉主耶穌基督的名求
[00:03:14.000 --> 00:03:16.000]  阿門
[00:03:16.000 --> 00:03:19.000]  其實我們看十六章的時候
[00:03:19.000 --> 00:03:23.000]  你會發現一間教會要開始建立
[00:03:23.000 --> 00:03:26.000]  其實要付相當的代價
[00:03:26.000 --> 00:03:27.000]  想起初期教會
[00:03:27.000 --> 00:03:29.000]  他們的開始
[00:03:29.000 --> 00:03:32.000]  其實當耶穌升天
[00:03:32.000 --> 00:03:36.000]  之後聖經記載有120個人
[00:03:36.000 --> 00:03:38.000]  他們就在那裡祈禱
[00:03:38.000 --> 00:03:41.000]  等候聖靈降臨
[00:03:41.000 --> 00:03:44.000]  想到今天你可以成為基督徒
[00:03:44.000 --> 00:03:46.000]  是很寶貴的
[00:03:46.000 --> 00:03:47.000]  當天
[00:03:47.000 --> 00:03:48.000]  這群人
[00:03:48.000 --> 00:03:50.000]  你們記得保羅之前
[00:03:50.000 --> 00:03:51.000]  他的名字叫素羅
[00:03:51.000 --> 00:03:54.000]  他不斷地追殺
[00:03:54.000 --> 00:03:55.000]  誰呢
[00:03:55.000 --> 00:03:57.000]  基督徒
[00:03:57.000 --> 00:03:59.000]  所以基督徒彼此之間
[00:03:59.000 --> 00:04:01.000]  都不敢相認
[00:04:01.000 --> 00:04:04.000]  他們在地上畫一條魚
[00:04:04.000 --> 00:04:06.000]  彼此相認
[00:04:06.000 --> 00:04:08.000]  你記得在這麼艱難的地方
[00:04:08.000 --> 00:04:12.000]  其實是慢慢地建立
[00:04:12.000 --> 00:04:15.000]  今天我們在這麼好的環境
[00:04:15.000 --> 00:04:16.000]  這麼舒服
[00:04:16.000 --> 00:04:18.000]  有冷氣
