
[00:00:00.000 --> 00:00:03.000]  請姐妹主裡面平安
[00:00:03.000 --> 00:00:05.000]  我們一起有個祈禱
[00:00:05.000 --> 00:00:07.000]  多謝主
[00:00:07.000 --> 00:00:09.000]  我們再一次來去研讀
[00:00:09.000 --> 00:00:11.000]  祢自己的說話
[00:00:11.000 --> 00:00:13.000]  很盼望主的聖靈
[00:00:13.000 --> 00:00:15.000]  來到去在我們的心靈裡面
[00:00:15.000 --> 00:00:17.000]  來到去感動
[00:00:17.000 --> 00:00:19.000]  一切的掛慮
[00:00:19.000 --> 00:00:21.000]  一切的重擔都擺下
[00:00:21.000 --> 00:00:23.000]  我們來到祢的面前
[00:00:23.000 --> 00:00:25.000]  聆聽祢的教誨
[00:00:25.000 --> 00:00:26.000]  這樣的禱告
[00:00:26.000 --> 00:00:28.000]  奉耶穌基督的名
[00:00:28.000 --> 00:00:30.000]  阿門
[00:00:30.000 --> 00:00:32.000]  來到十二月
[00:00:32.000 --> 00:00:36.000]  不知道大家是否習慣回顧和展望呢?
[00:00:36.000 --> 00:00:39.000]  這個月都會有好幾堂的道
[00:00:39.000 --> 00:00:42.000]  關乎到對將來的盼望
[00:00:42.000 --> 00:00:45.000]  今天有一個人
[00:00:45.000 --> 00:00:48.000]  他清清楚楚地告訴我們
[00:00:48.000 --> 00:00:51.000]  他的死期到了
[00:00:51.000 --> 00:00:54.000]  他要走的是世界的人
[00:00:54.000 --> 00:00:56.000]  必定要走的路
[00:00:56.000 --> 00:00:59.000]  就是離開這個物質的世界
[00:00:59.000 --> 00:01:02.000]  當然這個人因為在聖經裡面
[00:01:02.000 --> 00:01:04.000]  非彼尋常
[00:01:04.000 --> 00:01:08.000]  所以他的遺言都要放在聖經裡面
[00:01:08.000 --> 00:01:10.000]  不僅僅是個人的
[00:01:10.000 --> 00:01:12.000]  父親的遺囑
[00:01:12.000 --> 00:01:14.000]  是以色列
[00:01:14.000 --> 00:01:16.000]  合神心意的國王
[00:01:16.000 --> 00:01:19.000]  一個很重要的遺訓
[00:01:19.000 --> 00:01:22.000]  來到去讓他的兒子
[00:01:22.000 --> 00:01:24.000]  要來到去在兩大方面
[00:01:24.000 --> 00:01:26.000]  來到去留心
[00:01:26.000 --> 00:01:29.000]  應該怎樣來到去做
[00:01:29.000 --> 00:01:31.000]  某一個程度
[00:01:31.000 --> 00:01:33.000]  其實就是大衛
[00:01:33.000 --> 00:01:35.000]  他深深明白
[00:01:35.000 --> 00:01:38.000]  神給他和他的家族
[00:01:38.000 --> 00:01:41.000]  是有一個很清楚的納約
[00:01:41.000 --> 00:01:44.000]  只要能夠一路他的子孫
[00:01:44.000 --> 00:01:46.000]  根據這個約
[00:01:46.000 --> 00:01:49.000]  來到去履行的時候
