
[00:00:00.000 --> 00:00:02.000]  大型姊妹早晨
[00:00:02.000 --> 00:00:07.520]  狀態不太好 因為上星期剛中完第二次COVID
[00:00:07.520 --> 00:00:10.480]  所以戴口罩保護大家
[00:00:10.480 --> 00:00:13.520]  今早肚子餓了兩次
[00:00:13.520 --> 00:00:16.160]  所以今天狀態不太好
[00:00:16.160 --> 00:00:20.160]  但都不影響 內容早就預備了
[00:00:20.160 --> 00:00:25.520]  今次講題其實就配合教會的方向
[00:00:25.520 --> 00:00:29.280]  就會講關於團契
[00:00:29.280 --> 00:00:34.400]  我十九歲的時候信耶穌
[00:00:34.400 --> 00:00:37.760]  那時候是在一個細胞小組教會
[00:00:37.760 --> 00:00:42.400]  沒有團契的 細胞小組教會分小組
[00:00:42.400 --> 00:00:47.680]  在裡面我開始服事
[00:00:47.680 --> 00:00:53.120]  當初回教會的時候 我是一個比較討人厭的人
[00:00:53.120 --> 00:00:55.840]  為什麼討人厭呢 因為我很喜歡問問題
[00:00:55.840 --> 00:01:01.360]  我經常問問題 問到有些比我高年紀的不懂回答
[00:01:01.360 --> 00:01:03.360]  當然是惱羞成怒
[00:01:03.360 --> 00:01:08.640]  到了這個年紀我依然很喜歡問問題
[00:01:08.640 --> 00:01:10.640]  我會經常問別人的問題
[00:01:10.640 --> 00:01:14.720]  剛才我說我那時候是在細胞小組
[00:01:14.720 --> 00:01:20.480]  然後一開始去了另一間教會就回團契
[00:01:20.480 --> 00:01:24.080]  我都會問團契和小組有什麼分別
[00:01:24.080 --> 00:01:28.640]  又是十幾二十人圍在一起
[00:01:28.640 --> 00:01:32.080]  又是卓詩、查經、祈禱、分享
[00:01:32.080 --> 00:01:34.080]  又是那些東西 偶爾出去吃飯
[00:01:34.080 --> 00:01:36.960]  然後又去勾挺 有什麼分別呢
[00:01:36.960 --> 00:01:39.600]  有些有傳道人 有些沒有傳道人
[00:01:39.600 --> 00:01:42.160]  有些是由信徒領袖帶領
[00:01:42.160 --> 00:01:43.760]  到底團契是什麼呢
[00:01:43.760 --> 00:01:46.800]  到了這一刻我問你們團契是什麼呢
[00:01:46.800 --> 00:01:49.600]  為免我繼續令人討人厭
[00:01:49.600 --> 00:01:51.600]  我就不要大家回答
[00:01:51.600 --> 00:01:53.600]  不然等下被我問到口啞不知怎麼辦
[00:01:53.600 --> 00:01:55.600]  團契是不是一個組織呢
[00:01:55.600 --> 00:01:57.600]  是不是一個組織呢
[00:01:57.600 --> 00:01:59.600]  我們教會有很多團
[00:01:59.600 --> 00:02:02.480]  溫柔良善 信實和平
[00:02:02.480 --> 00:02:06.640]  忍耐節制 恩慈 古靈精怪
[00:02:06.640 --> 00:02:08.640]  獅子坑都有一個
[00:02:08.640 --> 00:02:11.600]  很多不同名字的團契
[00:02:11.600 --> 00:02:13.600]  是不是一個組織呢
[00:02:13.600 --> 00:02:16.880]  團契與團契之間是否有關係呢
[00:02:16.880 --> 00:02:18.880]  是不是你的團和我的團不合
[00:02:18.880 --> 00:02:24.160]  或者不同的團契不一起去玩呢
[00:02:24.160 --> 00:02:26.160]  其實我們看聖經裏面說的
[00:02:26.160 --> 00:02:29.760]  團契這個字
[00:02:29.760 --> 00:02:35.040]  Colonia 是一個有正面含義的詞語
[00:02:35.040 --> 00:02:40.800]  意思是相交 分享 有份 一同
[00:02:40.800 --> 00:02:44.800]  意思就是與某個人分享某樣東西
[00:02:44.800 --> 00:02:46.800]  那種為之團契
[00:02:46.800 --> 00:02:48.800]  是一種分享
[00:02:48.800 --> 00:02:50.800]  如果我們這樣看的時候
[00:02:50.800 --> 00:02:52.800]  團契不是一個組織
[00:02:52.800 --> 00:02:54.800]  我們看一些經文
[00:02:54.800 --> 00:02:56.800]  多倫多前書一章九節這樣說
[00:02:56.800 --> 00:03:00.240]  「神是信實的 他呼召你們好與他而子」
[00:03:00.240 --> 00:03:02.960]  「我們的主耶穌基督共享團契」
[00:03:02.960 --> 00:03:04.960]  這個團契的意思
[00:03:04.960 --> 00:03:06.960]  我斷估也不是說耶穌基督
[00:03:06.960 --> 00:03:08.960]  來與我們一起去開團契
[00:03:08.960 --> 00:03:10.960]  他所說的共享團契的意思是
[00:03:10.960 --> 00:03:15.840]  神呼召我們與耶穌基督一起去分享
[00:03:15.840 --> 00:03:19.600]  你與耶穌基督可以一起去分享一些東西
[00:03:19.600 --> 00:03:22.960]  分受一些東西 共同去擁有一些東西
[00:03:22.960 --> 00:03:25.920]  然後在肥勒比書三章十節說
[00:03:25.920 --> 00:03:28.880]  「使我認識基督 知道祂復活的大能」
[00:03:28.880 --> 00:03:32.480]  「並且知道和祂一同受苦效法祂的死」
[00:03:32.480 --> 00:03:33.760]  好 那考考你了
[00:03:33.760 --> 00:03:35.760]  這裡哪個字是Colonia
[00:03:35.760 --> 00:03:38.880]  這裡哪個字是Colonia
[00:03:38.880 --> 00:03:42.480]  剛才解釋過 一同
[00:03:42.480 --> 00:03:44.480]  如果用那個字眼
[00:03:44.480 --> 00:03:47.680]  就是「和祂團契受苦」
