
[00:00:00.000 --> 00:00:02.000]  專家弟兄姊妹平安
[00:00:02.000 --> 00:00:03.640]  (平安)
[00:00:03.640 --> 00:00:05.480]  應該在我目測裏面
[00:00:05.480 --> 00:00:09.080]  有很多坐在這裏的人都是住在錦繡的
[00:00:09.080 --> 00:00:11.960]  我都在錦繡花園住了十年了
[00:00:11.960 --> 00:00:14.880]  錦繡花園一個最大的特色
[00:00:14.880 --> 00:00:16.920]  當然是獨立屋
[00:00:16.920 --> 00:00:18.760]  又有大花園
[00:00:18.760 --> 00:00:21.480]  很多人都會在花園種在那裏
[00:00:21.480 --> 00:00:23.400]  甚至養養錦鯉
[00:00:23.400 --> 00:00:27.320]  這個都成為我們生活壓力的一種調劑的方法
[00:00:27.320 --> 00:00:28.800]  我都不例外
[00:00:28.800 --> 00:00:31.560]  我當時在家中種了羊肚
[00:00:31.560 --> 00:00:34.120]  所以每一年我都有羊肚吃
[00:00:34.120 --> 00:00:36.400]  有一年很想吃木瓜
[00:00:36.400 --> 00:00:38.520]  所以買了一棵木瓜樹
[00:00:38.520 --> 00:00:41.280]  隔日林花間中施肥
[00:00:41.280 --> 00:00:44.120]  那年真的有木瓜吃
[00:00:44.120 --> 00:00:48.000]  於是又繼續林花施肥
[00:00:48.000 --> 00:00:50.760]  到第二年以為都有木瓜吃
[00:00:50.760 --> 00:00:53.560]  怎知那棵樹就沒有結果
[00:00:53.560 --> 00:00:55.040]  沒有木瓜吃
[00:00:55.040 --> 00:00:56.360]  問問人為甚麼
[00:00:56.360 --> 00:00:59.520]  有些人都栽種有些經驗
[00:00:59.520 --> 00:01:02.640]  他說有些木瓜要隔年才能吃
[00:01:02.640 --> 00:01:04.240]  才有結果
[00:01:04.240 --> 00:01:06.480]  又再等多一年
[00:01:06.480 --> 00:01:07.920]  怎知都是沒有
[00:01:07.920 --> 00:01:09.520]  又是沒有木瓜
[00:01:09.520 --> 00:01:11.400]  最後怎樣呢
[00:01:11.400 --> 00:01:14.040]  我最後就斬了那棵木瓜樹
[00:01:14.040 --> 00:01:16.160]  不要浪費時間
[00:01:16.160 --> 00:01:19.080]  每個人種樹都有他的目的
[00:01:19.080 --> 00:01:21.120]  有些人要種樹遮陰
[00:01:21.120 --> 00:01:22.440]  乘涼
[00:01:22.440 --> 00:01:26.080]  有些人告訴我可以驅蚊
[00:01:26.080 --> 00:01:27.640]  有些人用來美化
[00:01:27.640 --> 00:01:29.840]  綠化自己的家
[00:01:29.840 --> 00:01:33.480]  而我種木瓜樹的目的很簡單
[00:01:33.480 --> 00:01:36.280]  就是要吃樹上的果子
[00:01:36.280 --> 00:01:37.920]  聖經都有類似的記載
[00:01:37.920 --> 00:01:39.840]  就是一個葡萄樹的比喻
[00:01:39.840 --> 00:01:42.520]  所以今日我希望透過《讓福音》
