
[00:00:00.000 --> 00:00:06.000]  今天很感恩很開心有周小嫻姑娘在我們這裡正道
[00:00:06.000 --> 00:00:09.000]  她的題目是「上帝的審判」
[00:00:09.000 --> 00:00:14.000]  經文是記載在撒加利亞書11章4至17節
[00:00:14.000 --> 00:00:16.000]  請聽我讀出
[00:00:16.000 --> 00:00:20.000]  耶和華「我的神如此說:
[00:00:20.000 --> 00:00:23.000]  你要牧養這群張宰的羊
[00:00:23.000 --> 00:00:27.000]  買羊的宰了他們,卻不認為自己有罪
[00:00:27.000 --> 00:00:29.000]  賣他們的也說
[00:00:29.000 --> 00:00:34.000]  耶和華是應當稱重的,因我負足了
[00:00:34.000 --> 00:00:38.000]  牧養他們的,並不憐憫他們
[00:00:38.000 --> 00:00:41.000]  我不再憐憫這地的居民
[00:00:41.000 --> 00:00:47.000]  看!我要將這些人交在各人的鄰舍和君王手中
[00:00:47.000 --> 00:00:50.000]  他們必毀滅這地
[00:00:50.000 --> 00:00:54.000]  我卻不救任何一個脫離他們的手
[00:00:54.000 --> 00:00:56.000]  這是耶和華說的
[00:00:56.000 --> 00:01:00.000]  於是我牧養這群張宰的羊
[00:01:00.000 --> 00:01:03.000]  就是羊群中最困苦的
[00:01:03.000 --> 00:01:05.000]  我拿著兩斤杖
[00:01:05.000 --> 00:01:10.000]  一斤我稱為恩惠,一斤稱為聯合
[00:01:10.000 --> 00:01:13.000]  這樣我就牧養這群羊
[00:01:13.000 --> 00:01:17.000]  一個月之內,我廢除了三個牧人
[00:01:17.000 --> 00:01:20.000]  因為我的心厭煩他們
[00:01:20.000 --> 00:01:23.000]  他們的心也憎惡我
[00:01:23.000 --> 00:01:26.000]  我就說:我不牧養你們
[00:01:26.000 --> 00:01:29.000]  要死的,由他死
[00:01:29.000 --> 00:01:31.000]  滅亡的,由他滅亡
[00:01:31.000 --> 00:01:36.000]  剩餘的,由他們彼此吞食
[00:01:36.000 --> 00:01:39.000]  我拿起那斤稱為恩惠的杖截斷它
[00:01:39.000 --> 00:01:43.000]  表明我廢棄與萬民所立的約
[00:01:43.000 --> 00:01:46.000]  當日約就廢了
[00:01:46.000 --> 00:01:50.000]  因此那些羊群中最困苦的看著我
[00:01:50.000 --> 00:01:54.000]  就知道這真是耶和華的話
[00:01:54.000 --> 00:01:57.000]  我對他們說:你們若看為美
[00:01:57.000 --> 00:01:59.000]  就給我功架
[00:01:59.000 --> 00:02:01.000]  不然就罷了
[00:02:01.000 --> 00:02:04.000]  於是他們請了三十塊銀錢
[00:02:04.000 --> 00:02:06.000]  作為我的功架
[00:02:06.000 --> 00:02:10.000]  耶和華對我說:把它雕級饒戶
[00:02:10.000 --> 00:02:14.000]  乃是他們對我所固定的好價錢
[00:02:14.000 --> 00:02:16.000]  我就取這三十塊銀錢
[00:02:16.000 --> 00:02:19.000]  在耶和華的殿中將它雕級饒戶
[00:02:19.000 --> 00:02:21.000]  我又截斷第二根杖
[00:02:21.000 --> 00:02:24.000]  就是稱為聯合的那根杖
[00:02:24.000 --> 00:02:29.000]  表明我廢棄猶大與以色列弟兄間的情誼
[00:02:29.000 --> 00:02:31.000]  耶和華對我說:
[00:02:31.000 --> 00:02:35.000]  你再把愚昧木人所用的器具拿來
[00:02:35.000 --> 00:02:37.000]  因為看啊
[00:02:37.000 --> 00:02:39.000]  我要在這地立一個木人
[00:02:39.000 --> 00:02:42.000]  他不看顧將亡的
[00:02:42.000 --> 00:02:44.000]  不尋找分散的
[00:02:44.000 --> 00:02:46.000]  不依自受傷的
[00:02:46.000 --> 00:02:49.000]  也不目仰強壯的
[00:02:49.000 --> 00:02:52.000]  卻要吞吃肥羊的肉
[00:02:52.000 --> 00:02:54.000]  撕裂他們的體
[00:02:54.000 --> 00:02:58.000]  和哉!無用的木人雕棄羊群
[00:02:58.000 --> 00:03:01.000]  都必臨到他的旁臂和右眼上
[00:03:01.000 --> 00:03:04.000]  他的旁臂必全然枯乾
[00:03:04.000 --> 00:03:07.000]  他的右眼也必昏暗失明
[00:03:07.000 --> 00:03:09.000]  英文讀筆
[00:03:09.000 --> 00:03:12.000]  我們現在將時間交給周小嫻姑娘
[00:03:12.000 --> 00:03:24.000]  周小嫻:
[00:03:24.000 --> 00:03:26.000]  頂姐妹早晨
[00:03:26.000 --> 00:03:29.000]  應該說午安
[00:03:29.000 --> 00:03:32.000]  今天是八月四日
[00:03:32.000 --> 00:03:35.000]  也是一個很特別的日子
[00:03:35.000 --> 00:03:38.000]  記得我上次來和大家分享
[00:03:38.000 --> 00:03:42.000]  今天原本是我去柬埔寨
[00:03:42.000 --> 00:03:45.000]  一個差遣禮的日子
[00:03:45.000 --> 00:03:49.000]  又剛巧我還在這裡
[00:03:49.000 --> 00:03:53.000]  我在四月的時候意外懷孕
[00:03:53.000 --> 00:03:56.000]  但是到了第八周的時候
[00:03:56.000 --> 00:03:59.000]  胎兒也停止了成長
