
[00:00:00.000 --> 00:00:03.400]  今日我要講的題目是「皆美的侍奉」
[00:00:03.400 --> 00:00:08.600]  經文是印載在新約聖經羅馬書十五章
[00:00:08.600 --> 00:00:10.600]  讓我們一起打開聖經
[00:00:10.600 --> 00:00:13.800]  新約聖經羅馬書十五章
[00:00:13.800 --> 00:00:16.400]  如果你手頭有聖經的
[00:00:16.400 --> 00:00:19.800]  是新約二百四十五頁
[00:00:19.800 --> 00:00:21.800]  二四五
[00:00:21.800 --> 00:00:25.400]  羅馬書的第十五章
[00:00:25.400 --> 00:00:37.400]  找到的我們會由第十四節開始看
[00:00:37.400 --> 00:00:39.400]  我的弟兄們
[00:00:39.400 --> 00:00:44.000]  我本人也深信你們自己充滿良善
[00:00:44.000 --> 00:00:46.800]  有各種豐富的知識
[00:00:46.800 --> 00:00:49.400]  也能彼此勸誡
[00:00:49.400 --> 00:00:53.000]  但我更大膽寫信給你們
[00:00:53.000 --> 00:00:56.600]  是要在一些事上提醒你們
[00:00:56.600 --> 00:00:59.200]  我因神所賜我的恩
[00:00:59.200 --> 00:01:03.200]  使我為外邦人作基督耶穌的服役
[00:01:03.200 --> 00:01:06.200]  作神福音的祭司
[00:01:06.200 --> 00:01:08.600]  使所獻上的外邦人
[00:01:08.600 --> 00:01:11.400]  因著聖靈成為聖傑
[00:01:11.400 --> 00:01:13.400]  可蒙約立
[00:01:13.400 --> 00:01:17.000]  所以有關神面前的侍奉
[00:01:17.000 --> 00:01:20.800]  我在基督耶穌裡是有可誇的
[00:01:20.800 --> 00:01:24.400]  除了基督藉我做的那些事
[00:01:24.400 --> 00:01:27.000]  我什麼都不敢提
[00:01:27.000 --> 00:01:30.200]  只提他藉我的言語作為
[00:01:30.200 --> 00:01:33.200]  用神職其事的能力
[00:01:33.200 --> 00:01:35.400]  並神的靈的能力
[00:01:35.400 --> 00:01:37.800]  使外邦人馴服
[00:01:37.800 --> 00:01:40.800]  甚至我從耶路撒冷
[00:01:40.800 --> 00:01:43.200]  直轉到以利利古
[00:01:43.200 --> 00:01:46.400]  到處傳了基督的福音
[00:01:46.400 --> 00:01:49.400]  這樣我立了志向
[00:01:49.400 --> 00:01:54.200]  不在基督的名已經傳揚過的地方傳福音
[00:01:54.200 --> 00:01:58.000]  免得建造在別人的根基上
[00:01:58.000 --> 00:02:00.600]  卻如經上所記
[00:02:00.600 --> 00:02:03.400]  未曾傳給他們的
[00:02:03.400 --> 00:02:05.800]  他們必看見
[00:02:05.800 --> 00:02:08.200]  未曾聽過的事
[00:02:08.200 --> 00:02:10.600]  他們要明白
[00:02:10.600 --> 00:02:13.200]  未曾傳給他們的
[00:02:13.200 --> 00:02:15.200]  他們必看見
[00:02:15.200 --> 00:02:17.600]  未曾聽見過的事
[00:02:17.600 --> 00:02:20.000]  他們要明白
[00:02:20.000 --> 00:02:22.000]  皆美的侍奉
[00:02:22.000 --> 00:02:24.800]  恭敬將以下時間交給曾牧師
[00:02:24.800 --> 00:02:32.200]  (掌聲)
[00:02:32.200 --> 00:02:34.200]  弟兄姊妹早晨
[00:02:34.200 --> 00:02:36.200]  我們一起再有祈禱
[00:02:36.200 --> 00:02:40.200]  再一次感謝讚美天父
[00:02:40.200 --> 00:02:42.200]  正如剛才的詩歌
[00:02:42.200 --> 00:02:45.200]  黑暗雖然掌權
