
[00:00:00.000 --> 00:00:02.240]  午安,鄧小妹
[00:00:02.240 --> 00:00:06.000]  很開心我們能在一起敬拜
[00:00:06.000 --> 00:00:12.600]  今天的講道是《撒武爾記》下的經文
[00:00:12.600 --> 00:00:18.480]  這篇道理我上星期已經講過了
[00:00:18.480 --> 00:00:22.200]  如果不幸上星期打風聽過的話
[00:00:22.200 --> 00:00:23.200]  沒問題的
[00:00:23.200 --> 00:00:26.160]  因為這篇道理雖然跟我息經
[00:00:26.160 --> 00:00:31.600]  但我覺得這篇道理更為加恩堂
[00:00:31.600 --> 00:00:33.400]  加恩樓頂智報而設
[00:00:33.400 --> 00:00:40.400]  所以今天講的向導是跟大家一起想想我們的處境
[00:00:40.400 --> 00:00:44.400]  所以今天我們會講《撒武爾記》下的大衛
[00:00:44.400 --> 00:00:47.160]  和三個幫他打水的人的故事
[00:00:47.160 --> 00:00:51.000]  基本上這個名稱都講了整個故事
[00:00:51.000 --> 00:00:52.600]  我們就一起思考一下
[00:00:52.600 --> 00:00:57.360]  對我們的信仰,對我們今天加恩樓面對的情況
[00:00:57.360 --> 00:00:58.280]  我們一起思考
[00:00:58.280 --> 00:01:00.120]  多謝祈禱
[00:01:00.120 --> 00:01:01.200]  最後祈求你幫助我們
[00:01:01.200 --> 00:01:03.000]  今天你自己的聖言、你的說話
[00:01:03.000 --> 00:01:07.840]  來到我們這個群體裏面
[00:01:07.840 --> 00:01:10.960]  你讓我們去恭敬的
[00:01:10.960 --> 00:01:15.400]  來聆聽你自己對我們每一個弟兄姊妹的說話
[00:01:15.400 --> 00:01:17.080]  你自己的旨意
[00:01:17.080 --> 00:01:19.840]  你自己對加恩樓的旨意
[00:01:19.840 --> 00:01:21.320]  你自己來成就
[00:01:21.320 --> 00:01:23.800]  讓我們能夠去聆聽
[00:01:23.800 --> 00:01:25.920]  願意去康復在你面前
[00:01:25.920 --> 00:01:27.880]  我們一起來尋求
[00:01:27.880 --> 00:01:31.600]  讓你自己更加讓我們這個群體
[00:01:31.600 --> 00:01:35.840]  能夠去實踐你對教會的要求
[00:01:35.840 --> 00:01:38.360]  你對我們每一個人生命裏面的要求
[00:01:38.360 --> 00:01:39.960]  求主你這樣的幫助
[00:01:39.960 --> 00:01:42.360]  奉主命求,阿門
[00:01:42.360 --> 00:01:45.120]  先講講經文的背景
[00:01:45.120 --> 00:01:51.760]  十母耳記下第23章是十母耳記的最後一部分
[00:01:51.760 --> 00:01:53.360]  如果你看十母耳記的話
[00:01:53.360 --> 00:01:57.080]  你會發現整個十母耳記是順著的
[00:01:57.080 --> 00:02:00.520]  即是從哈拿生子
[00:02:00.520 --> 00:02:03.480]  到十母耳記的成長
[00:02:03.480 --> 00:02:05.560]  到素羅王被高納
[00:02:05.560 --> 00:02:07.000]  到大衛興起
[00:02:07.000 --> 00:02:09.920]  到素羅和大衛之間的爭戰
[00:02:09.920 --> 00:02:12.080]  然後大衛統一天下
