
[00:00:00.000 --> 00:00:02.000]  靜姐姐早安
[00:00:02.000 --> 00:00:05.000]  今天我又有機會來到嘉欣樓
[00:00:05.000 --> 00:00:07.000]  跟大家一起敬拜讚美
[00:00:07.000 --> 00:00:10.000]  一起用上帝的說話
[00:00:10.000 --> 00:00:12.000]  來彼此勉勵
[00:00:12.000 --> 00:00:15.000]  有一個人笑
[00:00:15.000 --> 00:00:18.000]  笑這個猶太教裡面
[00:00:18.000 --> 00:00:20.000]  很多的律法
[00:00:20.000 --> 00:00:22.000]  有人數著數著
[00:00:22.000 --> 00:00:24.000]  在聖經裡面的律法
[00:00:24.000 --> 00:00:26.000]  有多少條呢
[00:00:26.000 --> 00:00:30.000]  總共有613條
[00:00:30.000 --> 00:00:32.000]  於是他就說
[00:00:32.000 --> 00:00:34.000]  這麼多條怎麼記得
[00:00:34.000 --> 00:00:36.000]  怎麼做得完
[00:00:36.000 --> 00:00:38.000]  他就去找一個拉比
[00:00:38.000 --> 00:00:40.000]  拉比
[00:00:40.000 --> 00:00:42.000]  我現在就試一下
[00:00:42.000 --> 00:00:44.000]  用一隻腳站在那裡
[00:00:44.000 --> 00:00:46.000]  看你能不能夠
[00:00:46.000 --> 00:00:48.000]  在我用單腳站的時候
[00:00:48.000 --> 00:00:51.000]  你將你所有猶太人的律法
[00:00:51.000 --> 00:00:54.000]  全部數出來
[00:00:54.000 --> 00:00:56.000]  如果是這樣的話
[00:00:56.000 --> 00:00:59.000]  我就會加入你這個猶太教
[00:00:59.000 --> 00:01:01.000]  做猶太教徒
[00:01:01.000 --> 00:01:03.000]  這個拉比說
[00:01:03.000 --> 00:01:05.000]  行 你單腳站了
[00:01:05.000 --> 00:01:07.000]  好
[00:01:07.000 --> 00:01:09.000]  拉比就說
[00:01:09.000 --> 00:01:11.000]  一句可以說完
[00:01:11.000 --> 00:01:13.000]  愛你的論社
[00:01:13.000 --> 00:01:15.000]  好像愛自己
[00:01:15.000 --> 00:01:17.000]  其實律法裡面
[00:01:17.000 --> 00:01:20.000]  最主要的中心就是這句
[00:01:20.000 --> 00:01:23.000]  其他都是一些註解
[00:01:23.000 --> 00:01:27.000]  所以好好地學習
