
[00:00:00.000 --> 00:00:09.000]  我們真的能夠常常回復這份愛主耶穌、愛神的初心
[00:00:09.000 --> 00:00:12.000]  但願主帶領我們今早這段時間
[00:00:12.000 --> 00:00:16.000]  我們這樣祈禱奉耶穌基督的名
[00:00:16.000 --> 00:00:17.000]  阿們
[00:00:17.000 --> 00:00:19.000]  其實真的不用問阿貴了
[00:00:19.000 --> 00:00:21.000]  我叫做曾蕊貴
[00:00:21.000 --> 00:00:23.000]  最愛是誰?
[00:00:23.000 --> 00:00:25.000]  基本上答案大家都知道的了
[00:00:25.000 --> 00:00:28.000]  一定是愛我們的主耶穌
[00:00:28.000 --> 00:00:30.000]  不過這段聖經
[00:00:30.000 --> 00:00:32.000]  我們要來看
[00:00:32.000 --> 00:00:34.000]  有好幾個段落
[00:00:34.000 --> 00:00:37.000]  剛才引述的約翰這一段
[00:00:37.000 --> 00:00:39.000]  其實上下文
[00:00:39.000 --> 00:00:43.000]  包含著的是51字才是最重要
[00:00:43.000 --> 00:00:48.000]  51字告訴我們耶穌被接上升的日子將到
[00:00:48.000 --> 00:00:52.000]  他就決定面向耶路撒冷去
[00:00:52.000 --> 00:00:56.000]  接著我們回頭看大括弧上面
[00:00:56.000 --> 00:00:58.000]  上下文的上面
[00:00:58.000 --> 00:01:01.000]  就是第43節
[00:01:01.000 --> 00:01:06.000]  眾人正驚訝耶穌基督所做的一切的時候
[00:01:06.000 --> 00:01:08.000]  耶穌就跟門徒說
[00:01:08.000 --> 00:01:12.000]  你們要把這些說話聽進去
[00:01:12.000 --> 00:01:17.000]  因為人子將要被交在人手裡
[00:01:17.000 --> 00:01:19.000]  接著第45節
[00:01:19.000 --> 00:01:21.000]  門徒明白
[00:01:21.000 --> 00:01:24.000]  因為是聽不進去
[00:01:24.000 --> 00:01:27.000]  所以你會看到在這一大段聖經裡
[00:01:27.000 --> 00:01:29.000]  主耶穌已經第二次說
[00:01:29.000 --> 00:01:32.000]  他會在耶路撒冷受害
[00:01:32.000 --> 00:01:35.000]  然後51節告訴我們
[00:01:35.000 --> 00:01:39.000]  作者路加很刻意在這裡做一個分水嶺
[00:01:39.000 --> 00:01:45.000]  其實大概是主耶穌在地上傳道兩年半的時間
[00:01:45.000 --> 00:01:48.000]  現在還有最後的半年
[00:01:48.000 --> 00:01:50.000]  所以第9章的51節
[00:01:50.000 --> 00:01:52.000]  一直到24章的路加福音
[00:01:52.000 --> 00:01:54.000]  就是說這半年
[00:01:54.000 --> 00:01:57.000]  耶穌在上耶路撒冷
[00:01:57.000 --> 00:02:02.000]  最終在逾月節犧牲釘十字架的事件
[00:02:02.000 --> 00:02:05.000]  在這裡就讓我們看到
[00:02:05.000 --> 00:02:07.000]  我們今天用這個題目
[00:02:07.000 --> 00:02:09.000]  最愛是誰
[00:02:09.000 --> 00:02:11.000]  我們首先從這幾段經文
[00:02:11.000 --> 00:02:13.000]  就讓我們去釐清一下
[00:02:13.000 --> 00:02:18.000]  門徒為什麼不能夠最愛這位為我們
[00:02:18.000 --> 00:02:20.000]  為他們釘十字架的耶穌
[00:02:20.000 --> 00:02:23.000]  我們可以看看有幾段聖經
[00:02:23.000 --> 00:02:26.000]  令我們看顏的
[00:02:26.000 --> 00:02:31.000]  因為耶穌將他們的內心揭露出來
[00:02:31.000 --> 00:02:33.000]  感恩的就是
[00:02:33.000 --> 00:02:34.000]  越早揭露
[00:02:34.000 --> 00:02:37.000]  他們將來就不會跌得那麼厲害
[00:02:37.000 --> 00:02:40.000]  越早提出他們要留心
[00:02:40.000 --> 00:02:43.000]  他們將來就可以成為
[00:02:43.000 --> 00:02:46.000]  避免了這些失敗的門徒
[00:02:46.000 --> 00:02:49.000]  將來他們就可以從心裡面說
[00:02:49.000 --> 00:02:52.000]  我們的人生最愛的是耶穌
[00:02:52.000 --> 00:02:54.000]  留意一下第一個段落
[00:02:54.000 --> 00:02:57.000]  很快他們不明白這個意思之後
[00:02:57.000 --> 00:03:02.000]  46節他們明白耶穌會走
[00:03:02.000 --> 00:03:05.000]  耶穌走之後怎麼辦
[00:03:05.000 --> 00:03:07.000]  是不是拆夥
[00:03:07.000 --> 00:03:09.000]  12個人就不要再一起了
[00:03:09.000 --> 00:03:12.000]  抑或12個人如果一起的時候
[00:03:12.000 --> 00:03:16.000]  誰才是最大可以來去作主呢
[00:03:16.000 --> 00:03:21.000]  那時46節門徒互相議論
[00:03:21.000 --> 00:03:23.000]  他們中間誰最大
[00:03:23.000 --> 00:03:27.000]  耶穌看出他們心中的議論
[00:03:27.000 --> 00:03:30.000]  記住整幾個段落都是在說
[00:03:30.000 --> 00:03:34.000]  門徒的心裡面的問題
[00:03:34.000 --> 00:03:38.000]  就是說動機、態度的問題
[00:03:38.000 --> 00:03:41.000]  主耶穌就領一個小孩子
[00:03:41.000 --> 00:03:44.000]  就叫他站在他們自己旁邊
[00:03:44.000 --> 00:03:46.000]  對他們說
[00:03:46.000 --> 00:03:48.000]  用一個小孩子
[00:03:48.000 --> 00:03:50.000]  一個小孩子
[00:03:50.000 --> 00:03:52.000]  來教12個門徒
[00:03:52.000 --> 00:03:55.000]  12個都看自己是大佬
[00:03:55.000 --> 00:03:58.000]  自己是最適合做領導的
[00:03:58.000 --> 00:04:02.000]  接著第48節
[00:04:02.000 --> 00:04:05.000]  凡為我的名接待這個小孩子的
[00:04:05.000 --> 00:04:07.000]  就是接待我
[00:04:07.000 --> 00:04:09.000]  相信大家都明白
[00:04:09.000 --> 00:04:13.000]  接待耶穌12個人都沒有任何意義
[00:04:13.000 --> 00:04:16.000]  每個人都說馬上衝過去接待耶穌
[00:04:16.000 --> 00:04:18.000]  耶穌想他做什麼他馬上就做了
[00:04:18.000 --> 00:04:20.000]  但是一個小朋友
[00:04:20.000 --> 00:04:22.000]  接待他就是接待耶穌
[00:04:22.000 --> 00:04:25.000]  這個有一個很大的落差
[00:04:25.000 --> 00:04:27.000]  頂姐妹
[00:04:27.000 --> 00:04:29.000]  落差到一個地步就是
[00:04:29.000 --> 00:04:31.000]  所以他們就爭大了
[00:04:31.000 --> 00:04:33.000]  主耶穌說凡是接待我
[00:04:33.000 --> 00:04:36.000]  就是接待那一位差我而來
[00:04:36.000 --> 00:04:39.000]  接待耶穌就是接待神
[00:04:39.000 --> 00:04:42.000]  接待小孩子就是等於接待耶穌
[00:04:42.000 --> 00:04:45.000]  接待主耶穌就是接待神
[00:04:45.000 --> 00:04:48.000]  他們不懂得這個數學
[00:04:48.000 --> 00:04:51.000]  不懂得這樣的關係
[00:04:51.000 --> 00:04:53.000]  所以主耶穌就說
[00:04:53.000 --> 00:04:57.000]  第48節的最後一節
[00:04:57.000 --> 00:04:59.000]  你們中間如果最少
[00:04:59.000 --> 00:05:01.000]  他就是最大
[00:05:01.000 --> 00:05:03.000]  原來真正的原因
[00:05:03.000 --> 00:05:07.000]  就是大家不肯做最少
[00:05:07.000 --> 00:05:11.000]  所以就會這樣爭誰是大
[00:05:11.000 --> 00:05:14.000]  一個最小的門徒
[00:05:14.000 --> 00:05:16.000]  他的內心
[00:05:16.000 --> 00:05:18.000]  他不會介意接待哪一個
[00:05:18.000 --> 00:05:20.000]  即便是一個小孩子
[00:05:20.000 --> 00:05:24.000]  所以這個比喻就揭穿了
[00:05:24.000 --> 00:05:27.000]  門徒這個時候還未成熟
[00:05:27.000 --> 00:05:30.000]  記住他們還未成熟
[00:05:30.000 --> 00:05:32.000]  未可以下山
[00:05:32.000 --> 00:05:34.000]  還是初初跟隨耶穌的時候
[00:05:34.000 --> 00:05:36.000]  那個想法
[00:05:36.000 --> 00:05:40.000]  那個世界在他們裡面的價值觀
[00:05:40.000 --> 00:05:43.000]  還未一下子去成形
[00:05:43.000 --> 00:05:47.000]  所以越早被耶穌揭露指點
[00:05:47.000 --> 00:05:48.000]  責備
[00:05:48.000 --> 00:05:52.000]  是比將來成為獨當一面的使徒之後
[00:05:52.000 --> 00:05:55.000]  那個下的跌倒就回不了頭
