
[00:00:00.000 --> 00:00:05.000]  剛才在開始等節目進來的時候
[00:00:05.000 --> 00:00:09.000]  我就在外面打招呼
[00:00:09.000 --> 00:00:16.000]  再見到我們在那裡掛了2001年建堂的根基照片
[00:00:16.000 --> 00:00:19.000]  不知道大家平時走過有沒有再看一下
[00:00:19.000 --> 00:00:21.000]  如果你在的時候
[00:00:21.000 --> 00:00:27.000]  我發覺那時候都已經有二十多年了
[00:00:27.000 --> 00:00:31.000]  那時候我都已經二十歲了
[00:00:31.000 --> 00:00:34.000]  當中大家就將自己年齡減二十
[00:00:34.000 --> 00:00:36.000]  剛才黃恩提見到我的時候
[00:00:36.000 --> 00:00:40.000]  都說這個和我兒子一起做小丑的
[00:00:40.000 --> 00:00:42.000]  我們一起做小丑
[00:00:42.000 --> 00:00:45.000]  學他小丑班 學他福音小丑
[00:00:45.000 --> 00:00:47.000]  轉眼間來到聖誕節
[00:00:47.000 --> 00:00:49.000]  大家又會開始發覺
[00:00:49.000 --> 00:00:53.000]  2023年將要過去了
[00:00:53.000 --> 00:00:56.000]  大家年紀又會加震
[00:00:56.000 --> 00:01:00.000]  今天我們一起來思想
[00:01:00.000 --> 00:01:05.000]  有關我們的年歲 我們的生命
[00:01:05.000 --> 00:01:08.000]  特別今天安排在祖堂是很有意思的
[00:01:08.000 --> 00:01:10.000]  這裡各位的年紀
[00:01:10.000 --> 00:01:12.000]  雖然我講到十幾年
[00:01:12.000 --> 00:01:15.000]  但應該都是比我大
[00:01:15.000 --> 00:01:17.000]  大部分來說都是年紀長過我的
[00:01:17.000 --> 00:01:21.000]  我們一起來在聖經裡面
[00:01:21.000 --> 00:01:27.000]  思想我們的成長 我們自己的生命
[00:01:27.000 --> 00:01:32.000]  不知道你什麼時候覺得大過
[00:01:32.000 --> 00:01:34.000]  這麼多年裡面
[00:01:34.000 --> 00:01:39.000]  哪一刻你覺得自己是一個大人
[00:01:39.000 --> 00:01:43.000]  我自己覺得自己是大人是什麼時候
[00:01:43.000 --> 00:01:45.000]  我都不記得什麼時候
[00:01:45.000 --> 00:01:47.000]  我自己覺得不是大人是什麼時候
[00:01:47.000 --> 00:01:48.000]  我是很記得的
[00:01:48.000 --> 00:01:51.000]  我記得我二十四歲的時候
[00:01:51.000 --> 00:01:53.000]  我讀神學
[00:01:53.000 --> 00:01:55.000]  一年級就去了一間教會實習
[00:01:55.000 --> 00:01:57.000]  第一次去到在占卜堂
[00:01:57.000 --> 00:02:00.000]  占卜沙嘴那邊有一間教會實習
[00:02:00.000 --> 00:02:02.000]  那時候在長洲穿著西裝
[00:02:02.000 --> 00:02:06.000]  背著行李箱去教會實習
[00:02:06.000 --> 00:02:09.000]  也是一間中產的教會
[00:02:09.000 --> 00:02:10.000]  占卜堂也是一間
[00:02:10.000 --> 00:02:11.000]  去到的時候
[00:02:11.000 --> 00:02:14.000]  我自己在廁所上照鏡
[00:02:14.000 --> 00:02:16.000]  沒有人看都覺得自己不像大人
[00:02:16.000 --> 00:02:18.000]  覺得自己是一個小朋友
[00:02:18.000 --> 00:02:20.000]  背著西裝的樣子
[00:02:20.000 --> 00:02:22.000]  對著一群成年人
[00:02:22.000 --> 00:02:24.000]  覺得自己還是很小
[00:02:24.000 --> 00:02:26.000]  什麼時候覺得自己大過呢
[00:02:26.000 --> 00:02:28.000]  當然是當爸爸的時候
[00:02:28.000 --> 00:02:30.000]  當我自己當爸爸的時候
[00:02:30.000 --> 00:02:33.000]  都覺得自己好像已經大過了
[00:02:33.000 --> 00:02:35.000]  不過這都不是一個最深刻
[00:02:35.000 --> 00:02:38.000]  覺得自己最深刻的一刻
[00:02:38.000 --> 00:02:40.000]  開始白頭髮都未必是
[00:02:40.000 --> 00:02:42.000]  最近我開始有一個
[00:02:42.000 --> 00:02:44.000]  不能夠不說我自己大過
[00:02:44.000 --> 00:02:46.000]  我自己開始 上次也說過
[00:02:46.000 --> 00:02:48.000]  我自己有老花
[00:02:48.000 --> 00:02:50.000]  都有老花
[00:02:50.000 --> 00:02:54.000]  看東西真的看不到
[00:02:54.000 --> 00:02:56.000]  有些很小的都看不到
[00:02:56.000 --> 00:02:59.000]  後來我就配了一副漸進鏡
[00:02:59.000 --> 00:03:01.000]  不過我原來很心散光
[00:03:01.000 --> 00:03:03.000]  其實都不是很行
[00:03:03.000 --> 00:03:05.000]  很心散光原來配老花鏡
[00:03:05.000 --> 00:03:06.000]  其實都不是很行
[00:03:06.000 --> 00:03:07.000]  大家不明白我說什麼
[00:03:07.000 --> 00:03:09.000]  以後就知道什麼事了
[00:03:09.000 --> 00:03:13.000]  所以發覺自己的生命
[00:03:13.000 --> 00:03:16.000]  不得不承認已經是大過
[00:03:16.000 --> 00:03:20.000]  甚至和年老扯上關係
[00:03:20.000 --> 00:03:23.000]  已經再不是一個年輕人
[00:03:23.000 --> 00:03:25.000]  極其量只是一個年輕人
[00:03:25.000 --> 00:03:29.000]  一個扮年輕人的大人
[00:03:29.000 --> 00:03:33.000]  今天我們會看詩篇90篇這段經文
[00:03:33.000 --> 00:03:37.000]  我們思想我們的成長和年歲
