
[00:00:00.000 --> 00:00:06.000]  各位晚安,我們開始今晚簡短的茶經班
[00:00:06.000 --> 00:00:13.000]  多謝天父的恩典,我們一齊來到第八課的撒加尼亞書
[00:00:13.000 --> 00:00:18.000]  我們很盼望,我們一直看這些無論是異象
[00:00:18.000 --> 00:00:23.000]  或者是對於將來以色列局勢的預言
[00:00:23.000 --> 00:00:27.000]  一方面我們不是為了好奇,而是神祢自己
[00:00:27.000 --> 00:00:34.000]  有對祢的民族,對祢的子民的管教、審判
[00:00:34.000 --> 00:00:39.000]  和牧羊,尤其是今晚我們看到
[00:00:39.000 --> 00:00:44.000]  好幾段經文都說到神是那一位好的牧者
[00:00:44.000 --> 00:00:49.000]  和祢會興起在以色列當中有好的牧羊人
[00:00:49.000 --> 00:00:53.000]  好像撒加尼亞,本來祂是一個先知
[00:00:53.000 --> 00:00:57.000]  但是祂要扮演著一個牧羊人的身份、角色
[00:00:57.000 --> 00:01:02.000]  來去預表將來耶穌基督的出現
[00:01:02.000 --> 00:01:07.000]  所以我們都盼望藉著這些經文
[00:01:07.000 --> 00:01:10.000]  讓我們明白將來的世界
[00:01:10.000 --> 00:01:13.000]  也讓我們看到神的作為
[00:01:13.000 --> 00:01:17.000]  在你自己的子民當中,求主帶領我們
[00:01:17.000 --> 00:01:21.000]  我們這樣仰望禱告,奉耶穌基督的名
[00:01:21.000 --> 00:01:24.000]  阿門
[00:01:24.000 --> 00:01:29.000]  開始第十章,其實是第十四章
[00:01:29.000 --> 00:01:34.000]  有比較難解的經文
[00:01:34.000 --> 00:01:37.000]  當你去到裏面,你就會發現
[00:01:37.000 --> 00:01:41.000]  有些好像突然間加插了一些戲劇
[00:01:41.000 --> 00:01:46.000]  或者是一些可能是寓言
[00:01:46.000 --> 00:01:50.000]  所以我們要,是有困難的
[00:01:50.000 --> 00:01:53.000]  但是總的來說
[00:01:53.000 --> 00:01:58.000]  牧羊人這個主題都是很清楚的
[00:01:58.000 --> 00:02:03.000]  變成以色列這個民族
[00:02:03.000 --> 00:02:08.000]  不是短暫的目前,是很遙遠的將來
[00:02:08.000 --> 00:02:11.000]  神是會有那個工作
[00:02:11.000 --> 00:02:15.000]  特別是去到第十四章,就天下太平了
[00:02:15.000 --> 00:02:19.000]  是一個很榮耀的景況
[00:02:19.000 --> 00:02:22.000]  所以有時候我們讀一下舊約的先知書
[00:02:22.000 --> 00:02:25.000]  都給我們有很大的振奮
[00:02:25.000 --> 00:02:29.000]  我們上一次講到第十章的第二節
[00:02:29.000 --> 00:02:33.000]  我們由頭再讀起,十章開始
[00:02:33.000 --> 00:02:37.000]  希望今天能夠講到兩章至三章
[00:02:37.000 --> 00:02:42.000]  因為十一、十二章都有一些關聯
[00:02:42.000 --> 00:02:44.000]  第十章開始
[00:02:44.000 --> 00:02:50.000]  「當春雨的時候,你們要向發閃電的耶和華求雨
[00:02:50.000 --> 00:02:55.000]  他必為眾人降下甘霖,使到田園生長才疏
[00:02:55.000 --> 00:03:02.000]  因為家臣所預言的是虛空,卜士所見的是虛假
[00:03:02.000 --> 00:03:07.000]  作夢者所說的是假夢,他們白白的安慰人
[00:03:07.000 --> 00:03:10.000]  所以眾人如羊流離」
[00:03:10.000 --> 00:03:14.000]  這是群羊的寫照
[00:03:14.000 --> 00:03:18.000]  因沒有了牧人就受苦了
[00:03:18.000 --> 00:03:23.000]  「我的怒氣向牧人發作,我必懲罰公山羊
[00:03:23.000 --> 00:03:27.000]  因我萬軍之耶和華,眷顧自己的羊群
[00:03:27.000 --> 00:03:32.000]  就是由大家,必使他們如進馬在陣上
[00:03:32.000 --> 00:03:40.000]  防割石、釘子、征戰的弓和一切的掌權都從他而出
[00:03:40.000 --> 00:03:46.000]  他們必如勇士在陣上,將仇敵踐踏在街上的泥土中
[00:03:46.000 --> 00:03:50.000]  他們必征戰,因為耶和華與他們同在
[00:03:50.000 --> 00:03:53.000]  騎馬的也必羞愧
[00:03:53.000 --> 00:03:59.000]  我要堅固由大家,拯救弱失家,要令他們歸回」
[00:03:59.000 --> 00:04:03.000]  其實已經歸回了,這本書寫作的時間
[00:04:03.000 --> 00:04:06.000]  就是大理烏王的第二年九月
[00:04:06.000 --> 00:04:09.000]  一連串八個的異象
[00:04:09.000 --> 00:04:11.000]  然後由第九章開始
[00:04:11.000 --> 00:04:16.000]  一直說到將來以色列這個民族
[00:04:16.000 --> 00:04:21.000]  他們的興衰、他們的福祉等等
[00:04:21.000 --> 00:04:24.000]  所以其實已經歸回了
[00:04:24.000 --> 00:04:29.000]  這些猶太人已經在所羅巴伯的帶領下歸回
[00:04:29.000 --> 00:04:32.000]  所以這裡肯定是在說一個很遙遠的
[00:04:32.000 --> 00:04:36.000]  真真正正的全國以色列的復興的時候
[00:04:36.000 --> 00:04:42.000]  「我要連戌他們,他們必像未曾棄住的一樣
[00:04:42.000 --> 00:04:45.000]  都因我是耶和華他們的神
[00:04:45.000 --> 00:04:47.000]  我必應允他們的禱告
[00:04:47.000 --> 00:04:50.000]  以法連人,必如勇士」
[00:04:50.000 --> 00:04:54.000]  又說弱失家,又說以法連,或者馬拿西
[00:04:54.000 --> 00:04:58.000]  因為弱失兩個兒子就是馬拿西和以法連
[00:04:58.000 --> 00:05:03.000]  以法連是相對在北面的支派來說是比較大的支派
[00:05:03.000 --> 00:05:07.000]  所以很多時候一個統稱就是猶大家
[00:05:07.000 --> 00:05:11.000]  就是南面,北面就是以法連家
[00:05:11.000 --> 00:05:15.000]  「他們心中暢快如同喝酒
[00:05:15.000 --> 00:05:18.000]  他們的兒女必漢見而快活
[00:05:18.000 --> 00:05:21.000]  他們的心必因耶和華喜樂
[00:05:21.000 --> 00:05:24.000]  我要化師聲聚集他們」
[00:05:24.000 --> 00:05:29.000]  好像那些獅子叫的聲音
[00:05:29.000 --> 00:05:31.000]  「因我已經救贖他們
[00:05:31.000 --> 00:05:33.000]  他們的人數必加增
[00:05:33.000 --> 00:05:35.000]  如從前加增一樣
[00:05:35.000 --> 00:05:38.000]  我雖然播散他們在列國中
[00:05:38.000 --> 00:05:41.000]  他們必在遠方紀念我
[00:05:41.000 --> 00:05:47.000]  他們與兒女都必存活,且得歸回
[00:05:47.000 --> 00:05:50.000]  我必再領他們出埃及地」
[00:05:50.000 --> 00:05:55.000]  這是再次的出埃及,即是第二次的拯救
[00:05:55.000 --> 00:05:59.000]  第一次的拯救就是以色列人成為奴隸
[00:05:59.000 --> 00:06:04.000]  在埃及,神就揀選呼召摩西
[00:06:04.000 --> 00:06:08.000]  回去埃及拯救他的同胞
[00:06:08.000 --> 00:06:12.000]  用十災,現在這個是新的出埃及
[00:06:12.000 --> 00:06:16.000]  其實在《易卓雅書》也有提過新的出埃及
