
[00:00:00.000 --> 00:00:05.400]  我不是基督,只是奉差遣在他前面開路的
[00:00:05.400 --> 00:00:08.000]  娶新娘的是新郎
[00:00:08.000 --> 00:00:11.200]  新郎的朋友站在一旁聽
[00:00:11.200 --> 00:00:14.600]  一聽見新郎的聲音就歡喜快樂
[00:00:14.600 --> 00:00:18.000]  因此我這喜樂得以滿足了
[00:00:18.000 --> 00:00:21.200]  他必興旺,我必衰微
[00:00:21.200 --> 00:00:23.800]  現在請甄牧師靜讀
[00:00:23.800 --> 00:00:29.800]  (甄牧師靜讀)
[00:00:29.800 --> 00:00:33.800]  各位弟兄姊妹晚安,我們一起有祈禱
[00:00:33.800 --> 00:00:38.800]  多謝主耶穌讓今天晚上成為美好
[00:00:38.800 --> 00:00:43.800]  因為有祢的同在,我們來到朝見祢
[00:00:43.800 --> 00:00:48.800]  在禮拜堂當我們仰望十字架上的主
[00:00:48.800 --> 00:00:52.800]  當我們看到我們是屬於祢的兒女
[00:00:52.800 --> 00:00:56.800]  是用祢的寶血,用重價將我們買熟
[00:00:57.800 --> 00:01:00.800]  讓我們能夠暫時放下地上的工作
[00:01:00.800 --> 00:01:04.800]  以聖徒的身份,我們一起聚集
[00:01:04.800 --> 00:01:08.800]  多謝祢讓我們能夠來敬拜這位造物的主宰
[00:01:08.800 --> 00:01:12.800]  我們去聆聽,恭敬的,等候祢的教導
[00:01:12.800 --> 00:01:17.800]  求祢在我們中間,在我們的心靈裡顯現
[00:01:17.800 --> 00:01:20.800]  讓我們能夠明白祢的心意
[00:01:20.800 --> 00:01:25.800]  我們一起在祢面前等候,禱告奉耶穌基督的名
[00:01:26.800 --> 00:01:28.800]  這個題目都相當容易理解
[00:01:28.800 --> 00:01:33.800]  漸漸的被遺忘,是一件絕對不容易的事
[00:01:33.800 --> 00:01:36.800]  如果你的人生是相當顯赫
[00:01:36.800 --> 00:01:44.800]  很多的成就,你要被人忘記,絕對不容易的
[00:01:44.800 --> 00:01:47.800]  但是聖經就告訴我們
[00:01:47.800 --> 00:01:53.800]  有一個人歡喜自己被忘記,漸漸的被忘記
[00:01:54.800 --> 00:02:01.800]  剛才主席已經讀了,其中第23章的24節
[00:02:01.800 --> 00:02:06.800]  使徒約翰,即這位作品的作者
[00:02:06.800 --> 00:02:13.800]  特別要強調,約翰當時還是有相當的工作能力
[00:02:13.800 --> 00:02:18.800]  這裡說,那時約翰,即這位施洗者約翰
[00:02:18.800 --> 00:02:23.800]  他還未下在監獄裡,還未他的人生走到盡頭
[00:02:23.800 --> 00:02:30.800]  因為希律王要殺他,所以他就下監
[00:02:30.800 --> 00:02:36.800]  因為他要揭發希律王娶了自己哥哥的太太
[00:02:36.800 --> 00:02:39.800]  是不對的,這個希羅底
[00:02:39.800 --> 00:02:42.800]  所以希羅底就懷恨於約翰
[00:02:42.800 --> 00:02:49.800]  後來有機會,在賢極的女兒去跳舞給希律的時候
[00:02:50.800 --> 00:02:54.800]  希律突然很開心,你想要什麼我就給你什麼
[00:02:54.800 --> 00:02:56.800]  就是各的一半都給你
[00:02:56.800 --> 00:03:00.800]  希羅底就說,我要施洗約翰的頭
[00:03:00.800 --> 00:03:03.800]  就將約翰殺了
[00:03:03.800 --> 00:03:06.800]  這是比較後一點,可能大概半年左右
[00:03:06.800 --> 00:03:09.800]  施洗約翰真正式結束他的人生
[00:03:09.800 --> 00:03:13.800]  不過在這裡有一個很小的段落
[00:03:13.800 --> 00:03:17.800]  不知道大家有沒有留意,因為三章的16節太偉大了
[00:03:18.800 --> 00:03:22.800]  神愛世人,甚至將他的獨生兒子賜給他們
[00:03:22.800 --> 00:03:25.800]  叫一切信的都能得到永生
[00:03:25.800 --> 00:03:28.800]  不致滅亡,反而得到永生
[00:03:28.800 --> 00:03:31.800]  光芒太大了,在這二千年裡
[00:03:31.800 --> 00:03:34.800]  我們有時會忘記了這段聖經的重要性
[00:03:34.800 --> 00:03:36.800]  擺在這裡的重要性
[00:03:36.800 --> 00:03:44.800]  擺在彌哥底母和第四章的撒瑪尼亞的婦人
[00:03:44.800 --> 00:03:46.800]  頸旁的婦人
[00:03:47.800 --> 00:03:48.800]  加插一個小的段落
[00:03:48.800 --> 00:03:50.800]  就是這位施洗約翰
[00:03:50.800 --> 00:03:56.800]  突然間他的門徒來問他一個很尷尬的問題
[00:03:56.800 --> 00:03:58.800]  其實是關於洗禮的問題
[00:03:58.800 --> 00:04:01.800]  因為有兩個地方洗禮
[00:04:01.800 --> 00:04:03.800]  或者有兩組人洗禮
[00:04:03.800 --> 00:04:06.800]  聖經就交代了給我們知道那個背景
[00:04:06.800 --> 00:04:08.800]  就是三章的二十二節
[00:04:08.800 --> 00:04:12.800]  耶穌的門徒開始來施洗
