
[00:00:00.000 --> 00:00:02.000]  接著是正道的時間
[00:00:02.000 --> 00:00:06.000]  今天有司徒永虎弟兄在我們當中正道
[00:00:06.000 --> 00:00:09.000]  他的講題是《沈回失落了的喜樂》
[00:00:09.000 --> 00:00:13.000]  經文是在《肥立比書》二章一至二節
[00:00:13.000 --> 00:00:15.000]  請聽我讀出
[00:00:15.000 --> 00:00:18.000]  所以在基督里若有任何圈面
[00:00:18.000 --> 00:00:21.000]  若有任何愛心的安慰
[00:00:21.000 --> 00:00:23.000]  若有任何性靈的傳契
[00:00:23.000 --> 00:00:26.000]  若有任何慈悲憐憫
[00:00:27.000 --> 00:00:30.000]  你們就要意志相同 愛心相同
[00:00:30.000 --> 00:00:33.000]  有一致的心思 一致的想法
[00:00:33.000 --> 00:00:35.000]  使我的喜樂得以滿足
[00:00:35.000 --> 00:00:39.000]  經文讀筆將時間交給司徒永虎弟兄
[00:00:39.000 --> 00:00:43.000]  大家早晨
[00:00:43.000 --> 00:00:52.000]  剛才那首詩歌基本上我們已經有答案了
[00:00:53.000 --> 00:01:00.000]  能夠起落的力量是從主來的
[00:01:00.000 --> 00:01:07.000]  大家信不信這首詩歌給大家的力量呢
[00:01:07.000 --> 00:01:12.000]  對於我來說我覺得很遙遠
[00:01:12.000 --> 00:01:17.000]  這好像是一個頭腦上的知識多些
[00:01:18.000 --> 00:01:23.000]  我曾經經歷過要吃藥的日子
[00:01:23.000 --> 00:01:32.000]  那天打開聖經時我感到很厭煩
[00:01:32.000 --> 00:01:37.000]  所以我會將聖經丟開
[00:01:37.000 --> 00:01:41.000]  有些愛護我的弟兄姊妹
[00:01:41.000 --> 00:01:44.000]  會發送一些金句來
[00:01:44.000 --> 00:01:47.000]  我是完全不看的
[00:01:47.000 --> 00:01:50.000]  直到大約五六十日後我才鼓起勇氣去看
[00:01:50.000 --> 00:01:55.000]  原來平時你覺得很夠用
[00:01:55.000 --> 00:01:58.000]  又很根正苗紅的
[00:01:58.000 --> 00:02:01.000]  無論是一些鼓勵你的說話
[00:02:01.000 --> 00:02:04.000]  你又知道那個人正在愛你
[00:02:04.000 --> 00:02:07.000]  甚至是經文金句
[00:02:07.000 --> 00:02:13.000]  所以我順便說我們盡量不要做經民黨
[00:02:13.000 --> 00:02:15.000]  不是經民聯 而是經民黨
[00:02:16.000 --> 00:02:18.000]  不要每次都背金句
[00:02:18.000 --> 00:02:22.000]  事實上你也要看那個人在一個什麼處境
[00:02:22.000 --> 00:02:26.000]  事實上他在那個處境裡面
[00:02:26.000 --> 00:02:31.000]  可以這麼說
[00:02:31.000 --> 00:02:33.000]  他控制不了自己
[00:02:33.000 --> 00:02:37.000]  你的思緒有人形容
[00:02:37.000 --> 00:02:41.000]  好像在一個自動模式
[00:02:42.000 --> 00:02:49.000]  自動模式就像一部車
[00:02:49.000 --> 00:02:52.000]  你按了自動模式然後睡覺
[00:02:52.000 --> 00:02:54.000]  其實你一定會撞山
[00:02:54.000 --> 00:02:56.000]  但你控制不了車
[00:02:56.000 --> 00:03:00.000]  它是無人駕駛的情況
[00:03:00.000 --> 00:03:02.000]  有人這樣形容
[00:03:02.000 --> 00:03:04.000]  這個形容我覺得最貼切
[00:03:04.000 --> 00:03:08.000]  就是那個情緒在什麼處境裡面
[00:03:08.000 --> 00:03:10.000]  它執掌你
[00:03:11.000 --> 00:03:12.000]  無論是什麼原因
[00:03:12.000 --> 00:03:14.000]  例如恐懼
[00:03:14.000 --> 00:03:17.000]  你可能有童年陰影
[00:03:17.000 --> 00:03:20.000]  曾經被人恐雜過
[00:03:20.000 --> 00:03:22.000]  所以你去到那個處境
[00:03:22.000 --> 00:03:24.000]  你是很不安心的
[00:03:24.000 --> 00:03:27.000]  你很想脫離那個處境
[00:03:27.000 --> 00:03:31.000]  但你也可能幻覺那個處境存在
[00:03:31.000 --> 00:03:36.000]  但那件事不會在你的經歷裡面
[00:03:36.000 --> 00:03:38.000]  在你的人生裡面
[00:03:39.000 --> 00:03:40.000]  其實你害怕的事情
[00:03:40.000 --> 00:03:42.000]  坦白說
[00:03:42.000 --> 00:03:44.000]  一百次可能只會出現一兩次
[00:03:44.000 --> 00:03:48.000]  但這個認知
[00:03:48.000 --> 00:03:51.000]  不可以讓你脫離當下
[00:03:51.000 --> 00:03:54.000]  你正在佔據你的思緒
[00:03:54.000 --> 00:03:58.000]  所以我形容就好像
[00:03:58.000 --> 00:04:02.000]  你曾經愛過一個人
[00:04:02.000 --> 00:04:04.000]  你把那條鎖匙給了他
[00:04:04.000 --> 00:04:06.000]  但後來分手
[00:04:06.000 --> 00:04:08.000]  他仍然有你的鎖匙
[00:04:08.000 --> 00:04:11.000]  於是他不速之客
[00:04:11.000 --> 00:04:15.000]  無時無刻回來找你
[00:04:15.000 --> 00:04:17.000]  你如何對付他呢
[00:04:17.000 --> 00:04:21.000]  當然你會說換了那個鎖
[00:04:21.000 --> 00:04:23.000]  這又是回到認知的世界
[00:04:23.000 --> 00:04:27.000]  所以你可能會拿槍殺了他
[00:04:27.000 --> 00:04:29.000]  這又是回到認知的世界
[00:04:29.000 --> 00:04:33.000]  因為那個人可以化身成十個影像
[00:04:33.000 --> 00:04:35.000]  來搞你
[00:04:36.000 --> 00:04:38.000]  所以我們發現
[00:04:38.000 --> 00:04:41.000]  我們的DNA裡面是有起落的能力
[00:04:41.000 --> 00:04:47.000]  但我們整個人的結構裡面
[00:04:47.000 --> 00:04:49.000]  是有機會有病的
[00:04:49.000 --> 00:04:52.000]  大家同意你會有感冒嗎
[00:04:52.000 --> 00:04:54.000]  會吧
[00:04:54.000 --> 00:04:56.000]  那你有沒有喝過感冒茶
[00:04:56.000 --> 00:04:58.000]  有沒有喝過我那種
[00:04:58.000 --> 00:05:00.000]  我不是這麼說
[00:05:00.000 --> 00:05:03.000]  喝完之後會不會好
[00:05:03.000 --> 00:05:05.000]  會不會好
[00:05:05.000 --> 00:05:06.000]  是會好的
[00:05:06.000 --> 00:05:08.000]  但會不會再感冒
[00:05:08.000 --> 00:05:10.000]  會的所以我有生意
[00:05:10.000 --> 00:05:16.000]  你可以接受會有感冒這回事
[00:05:16.000 --> 00:05:18.000]  那為什麼你不可以接受
[00:05:18.000 --> 00:05:20.000]  你會有情緒低落這回事呢
[00:05:20.000 --> 00:05:24.000]  而是不是每次情緒低落的時候
[00:05:24.000 --> 00:05:28.000]  就神霸到鬼父
[00:05:28.000 --> 00:05:30.000]  鬼搞了你
[00:05:30.000 --> 00:05:32.000]  所以我們性命恩高
[00:05:32.000 --> 00:05:34.000]  按手趕鬼
[00:05:34.000 --> 00:05:39.000]  是否每次都是靠普告
[00:05:39.000 --> 00:05:43.000]  就可以平靜安穩呢
[00:05:43.000 --> 00:05:47.000]  我的經歷不是這樣
[00:05:47.000 --> 00:05:51.000]  就等於感冒是否我幫你按手
[00:05:51.000 --> 00:05:54.000]  我是相信有神跡其事的
[00:05:54.000 --> 00:05:59.000]  長短腳是可以突然之間起身走路的
[00:05:59.000 --> 00:06:01.000]  長短腳當然可以起身走路
