
[00:00:00.000 --> 00:00:05.000]  大家好 很感恩有機會跟大家分享
[00:00:05.000 --> 00:00:09.000]  亦代表大埔堂向大家問安
[00:00:09.000 --> 00:00:14.000]  大家有沒有去過大埔 都有的 其實我們很近
[00:00:14.000 --> 00:00:23.000]  今天我穿這件風褸 其實今年是大埔堂60週年堂慶的時間
[00:00:23.000 --> 00:00:27.000]  大埔堂60年了 不知道錦繡堂42
[00:00:27.000 --> 00:00:37.000]  我戴了真木絲一點 雖然頭髮我想大家都相當白
[00:00:37.000 --> 00:00:40.000]  在這裡能夠可以一起去敬拜
[00:00:40.000 --> 00:00:44.000]  剛才我們看到有不同國籍的裏面
[00:00:44.000 --> 00:00:49.000]  猜拳主日的裏面 體會到我們在地若天萬國萬民的去敬拜神
[00:00:49.000 --> 00:00:52.000]  是多麼美好的一個景象
[00:00:52.000 --> 00:00:57.000]  不過可能大家會覺得 今天我們在香港這個地方
[00:00:57.000 --> 00:01:03.000]  經歷了好幾年 無論疫情 全球經濟的下滑的時候
[00:01:03.000 --> 00:01:06.000]  香港又好像很多人移民
[00:01:06.000 --> 00:01:10.000]  究竟今天神擺我們教會在這個地上
[00:01:10.000 --> 00:01:14.000]  特別在香港這個地方 面對著這些困境的時候
[00:01:14.000 --> 00:01:17.000]  我們有什麼應該要做的呢
[00:01:17.000 --> 00:01:21.000]  在《士同行傳》第一章八節裏面
[00:01:21.000 --> 00:01:24.000]  原來初期教會給我們看到的就是
[00:01:24.000 --> 00:01:28.000]  當時他們仍然面對著很多很多不同的衝擊
[00:01:28.000 --> 00:01:31.000]  但耶穌在升天之前就跟他們說好
[00:01:31.000 --> 00:01:34.000]  他耶穌基督的計劃是怎樣呢
[00:01:34.000 --> 00:01:39.000]  但聖靈降臨在你們身上 你們就必得著能力
[00:01:39.000 --> 00:01:46.000]  並要在耶路撒冷猶太傳地和撒瑪利亞直到地極作我的見證
[00:01:46.000 --> 00:01:48.000]  原來這個福音的故事 弟兄姊妹
[00:01:48.000 --> 00:01:52.000]  是要由我們每一個繼續延續下去
[00:01:52.000 --> 00:01:56.000]  我們今天就透過看安提阿的教會
[00:01:56.000 --> 00:02:00.000]  讓我們看看對我們有什麼激勵 有什麼提醒
[00:02:00.000 --> 00:02:04.000]  先介紹一個宣教士給大家去認識
[00:02:04.000 --> 00:02:08.000]  這個宣教士叫賈錫德醫生
[00:02:08.000 --> 00:02:11.000]  紅色圈那個 有沒有見過這幅圖畫
[00:02:11.000 --> 00:02:16.000]  這幅圖畫其實是我們宣教士歷代裏面
