
[00:00:00.000 --> 00:00:03.000]  太子耶穌,當我們來到祢面前的時候
[00:00:03.000 --> 00:00:05.000]  獎我們何等的恩惠
[00:00:05.000 --> 00:00:10.000]  因為我們可以享受祢的同在
[00:00:10.000 --> 00:00:12.000]  獎我們需要仰望祢
[00:00:12.000 --> 00:00:14.000]  以致我們的生命可以更加豐盛
[00:00:14.000 --> 00:00:16.000]  與祢在這個時候
[00:00:16.000 --> 00:00:19.000]  我們心裡有什麼是不容你預納的
[00:00:19.000 --> 00:00:20.000]  求主剔除
[00:00:20.000 --> 00:00:24.000]  以致我們能夠像祢所應許的
[00:00:24.000 --> 00:00:26.000]  祢的話語一打開
[00:00:26.000 --> 00:00:27.000]  能夠使愚人通達
[00:00:27.000 --> 00:00:29.000]  我們真的需要祢給我們悟性
[00:00:29.000 --> 00:00:31.000]  我們能夠明白祢的心意
[00:00:31.000 --> 00:00:33.000]  以致我們能夠實踐
[00:00:33.000 --> 00:00:36.000]  與主祢也在當中幫助孩子
[00:00:36.000 --> 00:00:37.000]  口中的言語
[00:00:37.000 --> 00:00:38.000]  心中的意念
[00:00:38.000 --> 00:00:39.000]  能夠蒙祢預納
[00:00:39.000 --> 00:00:41.000]  奉主耶穌基督命求
[00:00:41.000 --> 00:00:42.000]  阿門
[00:00:42.000 --> 00:00:58.000]  那爸爸得來
[00:00:58.000 --> 00:01:00.000]  很多時候你會覺得
[00:01:00.000 --> 00:01:02.000]  如果有些東西是廉價的
[00:01:02.000 --> 00:01:04.000]  不用花錢的
[00:01:04.000 --> 00:01:06.000]  那你會
[00:01:06.000 --> 00:01:08.000]  看到的時候你會很害怕
[00:01:08.000 --> 00:01:10.000]  你不知道
[00:01:10.000 --> 00:01:12.000]  這東西有沒有問題
[00:01:12.000 --> 00:01:14.000]  所以生意人都很聰明
[00:01:14.000 --> 00:01:16.000]  他會將價錢提高一點
[00:01:16.000 --> 00:01:19.000]  於是你就會想去購買
[00:01:19.000 --> 00:01:22.000]  但這個世界上有沒有一些是免費的呢
[00:01:22.000 --> 00:01:24.000]  是不用花錢的呢
[00:01:24.000 --> 00:01:26.000]  當然我們這段時刻
[00:01:26.000 --> 00:01:28.000]  都有很多消費券
[00:01:28.000 --> 00:01:30.000]  有些女士都跟我說
[00:01:30.000 --> 00:01:32.000]  她要買一些化妝品
[00:01:32.000 --> 00:01:34.000]  平時可能不買的
[00:01:34.000 --> 00:01:36.000]  這個時候就用盡它
[00:01:36.000 --> 00:01:38.000]  因為不是花自己的錢
[00:01:38.000 --> 00:01:40.000]  那你會看到原來不是自己的錢
[00:01:40.000 --> 00:01:42.000]  你會沒那麼痛
[00:01:42.000 --> 00:01:44.000]  你會很捨得去用
[00:01:44.000 --> 00:01:46.000]  就算買錯了也不要緊
[00:01:46.000 --> 00:01:48.000]  因為不是你自己的錢
[00:01:48.000 --> 00:01:51.000]  那我們今天去看聖經裏面
[00:01:51.000 --> 00:01:59.000]  對不起,很久沒用了
[00:01:59.000 --> 00:02:04.000]  第七節說到
[00:02:04.000 --> 00:02:06.000]  要邊守邊傳
[00:02:06.000 --> 00:02:08.000]  說天國近了
[00:02:08.000 --> 00:02:10.000]  當時耶穌去傳訊息的時候
[00:02:10.000 --> 00:02:14.000]  最早其實是對一班猶太人去講的
[00:02:14.000 --> 00:02:16.000]  那他呢
[00:02:16.000 --> 00:02:18.000]  講這班人的說話
[00:02:18.000 --> 00:02:20.000]  你看《馬太福音》的時候
[00:02:20.000 --> 00:02:24.000]  我知道對象是對猶太人講的
[00:02:24.000 --> 00:02:26.000]  當時猶太人在舊約
[00:02:26.000 --> 00:02:28.000]  一直盼望那個尼塞亞
[00:02:28.000 --> 00:02:30.000]  那個尼塞亞
[00:02:30.000 --> 00:02:34.000]  就是神應許的王
[00:02:34.000 --> 00:02:38.000]  他應許的王要牧養他們
[00:02:38.000 --> 00:02:41.000]  所以舊約就像一個影子
[00:02:41.000 --> 00:02:44.000]  而新約就是一個實體
[00:02:44.000 --> 00:02:46.000]  就像今天實體可以見到你們
[00:02:46.000 --> 00:02:48.000]  新約就是去證明
[00:02:48.000 --> 00:02:51.000]  舊約的應許
[00:02:51.000 --> 00:02:52.000]  當你看聖經的時候
[00:02:52.000 --> 00:02:53.000]  很多應許的
[00:02:53.000 --> 00:02:55.000]  如果你不看就走寶了
[00:02:55.000 --> 00:02:57.000]  原來新約是去證明的
[00:02:57.000 --> 00:03:02.000]  《馬太福音》注重耶穌就是那個王
[00:03:02.000 --> 00:03:05.000]  這個王要講天國的福音
[00:03:05.000 --> 00:03:07.000]  他一開始就說
[00:03:07.000 --> 00:03:10.000]  天國近了你們應當悔改
[00:03:10.000 --> 00:03:12.000]  其實耶穌當時所講的
[00:03:12.000 --> 00:03:16.000]  和今天的福音好像不同了
[00:03:16.000 --> 00:03:21.000]  其實福音不是兩種的
[00:03:21.000 --> 00:03:23.000]  福音是獨一無二的
[00:03:23.000 --> 00:03:26.000]  不過傳的方式時代不同了
[00:03:26.000 --> 00:03:30.000]  我們會見到現在是恩典時代
[00:03:30.000 --> 00:03:32.000]  耶穌當時傳天國的福音
[00:03:32.000 --> 00:03:35.000]  是對猶太人講的
[00:03:35.000 --> 00:03:38.000]  當時猶太人如果接受
[00:03:38.000 --> 00:03:41.000]  這個天國早就降臨了
[00:03:41.000 --> 00:03:43.000]  但是猶太人不肯接受
[00:03:43.000 --> 00:03:47.000]  反而把這個王釘死了
[00:03:47.000 --> 00:03:48.000]  現在時代不同
[00:03:48.000 --> 00:03:49.000]  在恩典時代
[00:03:49.000 --> 00:03:52.000]  我們會傳恩惠的福音
[00:03:52.000 --> 00:03:56.000]  天國的福音是要人努力進去的
[00:03:56.000 --> 00:03:57.000]  為什麼這樣說呢?
[00:03:57.000 --> 00:04:00.000]  因為天國臨到地上的時候
[00:04:00.000 --> 00:04:04.000]  不是每個人都去接受的
[00:04:04.000 --> 00:04:06.000]  要努力進去
[00:04:06.000 --> 00:04:09.000]  你看看門徒和耶穌他們去傳的時候
[00:04:09.000 --> 00:04:11.000]  都會受到別人的反對
[00:04:11.000 --> 00:04:12.000]  受到別人的逼迫
[00:04:12.000 --> 00:04:15.000]  而整個猶太人的社會裡
[00:04:15.000 --> 00:04:17.000]  對一些新的事物
[00:04:17.000 --> 00:04:20.000]  他們是很難去接受的
[00:04:20.000 --> 00:04:21.000]  另一方面就是
[00:04:21.000 --> 00:04:23.000]  這個天國的福音
[00:04:23.000 --> 00:04:24.000]  要進入人的心裡
[00:04:24.000 --> 00:04:28.000]  是要和撒旦去爭戰的
[00:04:28.000 --> 00:04:30.000]  你要贏了撒旦的勢力
[00:04:30.000 --> 00:04:32.000]  才可以奪取人的心
[00:04:32.000 --> 00:04:34.000]  所以是很艱難的
[00:04:34.000 --> 00:04:36.000]  今天耶穌為我們死
[00:04:36.000 --> 00:04:38.000]  在臨死之前
[00:04:38.000 --> 00:04:40.000]  祂說了「成了」
[00:04:40.000 --> 00:04:41.000]  祂說了「成了」之後
[00:04:41.000 --> 00:04:45.000]  我們每個人今天是白白的
[00:04:45.000 --> 00:04:48.000]  得到耶穌的救恩
[00:04:48.000 --> 00:04:51.000]  耶穌為我們成就了一切
[00:04:51.000 --> 00:04:53.000]  祂使我們是同神和好
[00:04:53.000 --> 00:04:59.000]  你看看現在蘇聯和布拉克
[00:04:59.000 --> 00:05:00.000]  經常打來打去
[00:05:00.000 --> 00:05:04.000]  很多國家都想幫他們達成意義
[00:05:04.000 --> 00:05:06.000]  但是好像越搞越和
[00:05:06.000 --> 00:05:10.000]  這個戰事擴展得很厲害
[00:05:10.000 --> 00:05:13.000]  但是今天我們和神的關係是怎樣呢?
[00:05:13.000 --> 00:05:15.000]  今天我們是透過耶穌基督
[00:05:15.000 --> 00:05:21.000]  可以和神和好
[00:05:21.000 --> 00:05:23.000]  你看看這段經文
[00:05:23.000 --> 00:05:25.000]  我當然不會全部讀
[00:05:25.000 --> 00:05:29.000]  但是耶穌基督在那面牆上拆毀了
[00:05:29.000 --> 00:05:31.000]  在十六節那裡
[00:05:31.000 --> 00:05:33.000]  在十字架上消滅了冤仇
[00:05:33.000 --> 00:05:36.000]  祂能夠用祂自己的身體
[00:05:36.000 --> 00:05:39.000]  終止了這個冤仇
[00:05:39.000 --> 00:05:41.000]  祂用祂自己的身體
[00:05:41.000 --> 00:05:44.000]  為我們死在十字架上成為咒詛
[00:05:44.000 --> 00:05:47.000]  這個十字架是一個刑罰
[00:05:47.000 --> 00:05:50.000]  但是祂為我們做了這件事
[00:05:50.000 --> 00:05:53.000]  祂自己成為咒詛
[00:05:53.000 --> 00:05:57.000]  猶太人覺得自己是選民
[00:05:57.000 --> 00:06:00.000]  有民族的優越感
[00:06:00.000 --> 00:06:03.000]  和有外邦人是很不同的
[00:06:03.000 --> 00:06:04.000]  大家彼此對立
[00:06:04.000 --> 00:06:06.000]  因為猶太人的手是綠白的
[00:06:06.000 --> 00:06:08.000]  有很多宗教的禮儀
[00:06:08.000 --> 00:06:10.000]  但是外邦人是不用的
[00:06:10.000 --> 00:06:14.000]  今天我們世人都是外邦人
[00:06:14.000 --> 00:06:17.000]  我們沒有辦法遵守律法
[00:06:17.000 --> 00:06:18.000]  我們又犯了罪
[00:06:18.000 --> 00:06:19.000]  那怎麼辦呢?
[00:06:19.000 --> 00:06:21.000]  我們是不是死路一條呢?
[00:06:21.000 --> 00:06:24.000]  但是主耶穌為我們死在十字架上
[00:06:24.000 --> 00:06:26.000]  受了咒詛
[00:06:26.000 --> 00:06:30.000]  今天我們不用再憑律法去得救
[00:06:30.000 --> 00:06:32.000]  而是靠耶穌基督的保育
[00:06:32.000 --> 00:06:34.000]  使我們可以得救
