
[00:00:00.000 --> 00:00:02.000]  請聽我讀出以下經文
[00:00:02.000 --> 00:00:04.000]  經文是記載在
[00:00:04.000 --> 00:00:07.000]  路加福音第十章
[00:00:07.000 --> 00:00:10.000]  第25至37節
[00:00:10.000 --> 00:00:12.000]  有一個律法師
[00:00:12.000 --> 00:00:14.000]  起來試探耶穌
[00:00:14.000 --> 00:00:16.000]  說:老師
[00:00:16.000 --> 00:00:18.000]  我該做什麼
[00:00:18.000 --> 00:00:20.000]  才可以承受永生?
[00:00:20.000 --> 00:00:22.000]  耶穌對他說:
[00:00:22.000 --> 00:00:24.000]  律法上寫的是什麼?
[00:00:24.000 --> 00:00:26.000]  你是怎樣念的呢?
[00:00:26.000 --> 00:00:28.000]  他回答說:
[00:00:28.000 --> 00:00:33.000]  盡心盡性盡力盡義愛主你的神
[00:00:33.000 --> 00:00:36.000]  又要愛倫如己
[00:00:36.000 --> 00:00:38.000]  耶穌對他說:
[00:00:38.000 --> 00:00:40.000]  你回答得正確
[00:00:40.000 --> 00:00:43.000]  你這樣做就會得永生
[00:00:43.000 --> 00:00:45.000]  那人要證明自己有你
[00:00:45.000 --> 00:00:47.000]  就對耶穌說:
[00:00:47.000 --> 00:00:50.000]  誰是我的倫社呢?
[00:00:50.000 --> 00:00:52.000]  耶穌回答說:
[00:00:52.000 --> 00:00:55.000]  有一個人從耶路撒冷下耶利哥去
[00:00:55.000 --> 00:00:58.000]  落在強盜手中
[00:00:58.000 --> 00:01:00.000]  他們剝去他的衣裳
[00:01:00.000 --> 00:01:03.000]  把他打個半死
[00:01:03.000 --> 00:01:05.000]  雕下他走了
[00:01:05.000 --> 00:01:09.000]  偶然有一個祭司從那條路下來
[00:01:09.000 --> 00:01:12.000]  看見他就從另一邊過去了
[00:01:12.000 --> 00:01:15.000]  又有一個利美人來到那裡
[00:01:15.000 --> 00:01:20.000]  看見他也照樣從另一邊過去了
[00:01:20.000 --> 00:01:25.000]  可是有一個撒瑪利亞人路過那裡
[00:01:25.000 --> 00:01:28.000]  看見他就動了慈心
[00:01:28.000 --> 00:01:33.000]  上前用油和酒倒在他的傷處
[00:01:33.000 --> 00:01:35.000]  包裹好了
[00:01:35.000 --> 00:01:39.000]  負他騎上自己的身後
[00:01:39.000 --> 00:01:43.000]  帶他到旅店裡去照應他
[00:01:43.000 --> 00:01:47.000]  第二天他拿出兩個銀幣來
[00:01:47.000 --> 00:01:50.000]  交給店主說:
[00:01:50.000 --> 00:01:53.000]  請你照應他額外的費用
[00:01:53.000 --> 00:01:56.000]  我會來自會還你
[00:01:56.000 --> 00:01:57.000]  你想?
[00:01:57.000 --> 00:02:02.000]  這三個人哪一個是落在強盜手中那人的倫社呢?
[00:02:02.000 --> 00:02:05.000]  他說是憐憫他的
[00:02:05.000 --> 00:02:06.000]  耶穌對他說:
[00:02:06.000 --> 00:02:11.000]  你去,照樣做吧
[00:02:11.000 --> 00:02:13.000]  經文讀筆
[00:02:13.000 --> 00:02:14.000]  今天很開心
[00:02:14.000 --> 00:02:19.000]  有礦泉道在當中分享訊息
[00:02:19.000 --> 00:02:22.000]  礦泉道是我們當中的傳導人
[00:02:22.000 --> 00:02:25.000]  而今天的講題也很特別
[00:02:25.000 --> 00:02:27.000]  剛才的經文讀出了
[00:02:27.000 --> 00:02:30.000]  後面也跟我們這個地區很近
[00:02:30.000 --> 00:02:35.000]  就是:我該做什麼才可以住在錦繡
[00:02:35.000 --> 00:02:38.000]  誰住在錦繡?
[00:02:38.000 --> 00:02:40.000]  誰還沒住在錦繡?
[00:02:40.000 --> 00:02:41.000]  很害羞
[00:02:41.000 --> 00:02:42.000]  有的
[00:02:42.000 --> 00:02:44.000]  我們今天很恭敬的人
[00:02:44.000 --> 00:02:47.000]  將以下的時間交給礦泉道
[00:02:47.000 --> 00:02:53.000]  主席,剛才說我們讀出了今天講的經文
[00:02:53.000 --> 00:02:55.000]  按照教會的編排
[00:02:55.000 --> 00:03:00.000]  今天會講路加福音第十章二十五至三十七節
[00:03:00.000 --> 00:03:03.000]  即是關於好撒瑪利亞人的經文
