
[00:00:00.000 --> 00:00:08.000]  經文是記載在《議司帖記》第一章十一至二十節
[00:00:08.000 --> 00:00:11.000]  和第二章七至九節
[00:00:11.000 --> 00:00:18.000]  第一章十一至二十節和第二章七至九節
[00:00:18.000 --> 00:00:23.000]  《聖經》的雙刊本是在第六百八十五至六百八十六頁
[00:00:23.000 --> 00:00:36.000]  《議司帖記》第一章十一至二十節
[00:00:36.000 --> 00:00:41.000]  阿哈徐老王請阿實提皇后
[00:00:41.000 --> 00:00:45.000]  投戴皇后的冠冕到王面前
[00:00:45.000 --> 00:00:49.000]  讓各民族和官員觀看她的美貌
[00:00:49.000 --> 00:00:52.000]  因為她容貌美麗
[00:00:52.000 --> 00:00:59.000]  阿實提皇后卻不肯遵照太監所傳的皇命前來
[00:00:59.000 --> 00:01:04.000]  所以王非常憤怒怒火中燒
[00:01:04.000 --> 00:01:10.000]  按王的常規辦事必先詢問知禮明法的人
[00:01:10.000 --> 00:01:15.000]  那時王詢問通達時務的智慧人
[00:01:15.000 --> 00:01:19.000]  就是坐在王左右常見王面
[00:01:19.000 --> 00:01:25.000]  在國中坐高位的波斯和馬袋的七個大臣
[00:01:25.000 --> 00:01:36.000]  甲士蘭、士達、阿瑪他、卡斯斯、米歷、馬西蘭、米無干
[00:01:36.000 --> 00:01:40.000]  阿實提皇后不遵照太監所傳的皇命
[00:01:40.000 --> 00:01:44.000]  照例應當怎樣辦呢?
[00:01:44.000 --> 00:01:49.000]  米無干在王和眾官長面前回答說
[00:01:49.000 --> 00:01:53.000]  阿實提皇后這事不但得罪王
[00:01:53.000 --> 00:01:58.000]  並且有害於阿哈徐老王各省的臣民
[00:01:58.000 --> 00:02:03.000]  因為皇后這事必傳到婦人那裡
[00:02:03.000 --> 00:02:06.000]  她們就會藐視自己的丈夫
[00:02:06.000 --> 00:02:11.000]  說阿哈徐老王吩咐阿實提皇后到王面前
[00:02:11.000 --> 00:02:15.000]  他卻不來
