
[00:00:00.000 --> 00:00:04.520]  在靈命上 豬園肉潤
[00:00:04.520 --> 00:00:08.440]  在靈命上更加快高長大 肥肥白白
[00:00:08.440 --> 00:00:11.880]  我當時思想今天講到的
[00:00:11.880 --> 00:00:14.920]  其實不只是想今天跟大家講甚麼
[00:00:14.920 --> 00:00:19.520]  而是想我在這年內跟大家分享甚麼題目
[00:00:19.520 --> 00:00:25.000]  所以想到一個自己也頗認同
[00:00:25.000 --> 00:00:26.600]  或是一個自己也覺得是
[00:00:26.600 --> 00:00:30.000]  是否有頗重要的方向
[00:00:30.000 --> 00:00:33.800]  所以就定了一個生命同行的題目
[00:00:33.800 --> 00:00:35.360]  也多謝今天敬拜隊
[00:00:35.360 --> 00:00:37.680]  Elsa 您的大最後一首詩歌
[00:00:37.680 --> 00:00:40.320]  讓我們也預備體會到上帝
[00:00:40.320 --> 00:00:43.160]  與我們同行是一個很重要的支柱
[00:00:43.160 --> 00:00:46.240]  也讓我們有力量與身邊的人同行
[00:00:46.240 --> 00:00:50.160]  所以今天是看一段大家比較熟悉的經文
[00:00:50.160 --> 00:00:56.000]  耶穌在以馬五師路上與兩位門徒同行
[00:00:56.000 --> 00:00:58.840]  我打算之後會再構思
[00:00:58.840 --> 00:01:00.800]  再構思中有幾個不同的
[00:01:00.800 --> 00:01:01.880]  都在腦裏面的
[00:01:01.880 --> 00:01:04.560]  幾個不同的聖經故事
[00:01:04.560 --> 00:01:08.440]  在不同的經歷 新約 舊約當中
[00:01:08.440 --> 00:01:09.720]  可能是一些司徒
[00:01:09.720 --> 00:01:12.800]  可能是一些各類的關係之下
[00:01:12.800 --> 00:01:14.960]  究竟在上帝的復仁之中
[00:01:14.960 --> 00:01:16.280]  自己的生命裏面
[00:01:16.280 --> 00:01:18.960]  如何與其他有需要的人同行呢
[00:01:18.960 --> 00:01:20.640]  這個希望求主加力
[00:01:20.640 --> 00:01:24.240]  希望今年裏跟大家分享這個題目
[00:01:24.240 --> 00:01:25.240]  我想問一下大家
[00:01:25.240 --> 00:01:26.760]  Companion 同行
[00:01:26.760 --> 00:01:28.560]  即是一個
[00:01:28.560 --> 00:01:30.080]  我想像如果我們生命當中
[00:01:30.080 --> 00:01:31.640]  沒有了一些同行的人的時候
[00:01:31.640 --> 00:01:33.080]  你就很孤單 是不是
[00:01:33.080 --> 00:01:36.120]  你就差不多不是一個人
[00:01:36.120 --> 00:01:37.320]  你不可能孤單
[00:01:37.320 --> 00:01:38.520]  很多人都說
[00:01:38.520 --> 00:01:39.440]  無論從信仰角度
[00:01:39.440 --> 00:01:40.800]  或者就算從心理學
[00:01:40.800 --> 00:01:43.040]  或者從社會學角度都說
[00:01:43.040 --> 00:01:46.800]  人不能夠沒有了身邊的人同行
[00:01:46.800 --> 00:01:47.120]  是不是
