
[00:00:00.000 --> 00:00:07.000]  漢啊!農夫等候著他地裡寶貴的出產,
[00:00:07.000 --> 00:00:11.500]  耐心地等到他得了秋林春雨,
[00:00:11.500 --> 00:00:15.500]  你們也要忍耐,堅固你們的心,
[00:00:15.500 --> 00:00:18.500]  因為主來的日子近了。
[00:00:18.500 --> 00:00:25.500]  弟兄們!你們不要彼此埋怨,免得受審判。
[00:00:25.500 --> 00:00:30.500]  漢啊!審判的主站在門口了。
[00:00:30.500 --> 00:00:38.000]  弟兄們!你們要把先前奉主名說話的眾先知,
[00:00:38.000 --> 00:00:42.000]  作能受苦能忍耐的榜樣。
[00:00:42.000 --> 00:00:49.500]  漢啊!那些忍耐的人,我們聽他們是有福的,
[00:00:49.500 --> 00:00:53.000]  你們聽見過若白的忍耐,
[00:00:53.000 --> 00:00:56.000]  也看見主給他的潔穀,
[00:00:56.000 --> 00:01:01.000]  知道主是充滿憐憫和慈悲的。
[00:01:01.000 --> 00:01:03.000]  英文讀筆了,感謝神!
[00:01:03.000 --> 00:01:08.000]  今日在我們當中有林佩心姑娘為我們正道,
[00:01:08.000 --> 00:01:11.000]  林姑娘是我們的傳道同工,
[00:01:11.000 --> 00:01:18.000]  她的講題是「找緊不失落的祝福」,
[00:01:18.000 --> 00:01:21.000]  現在將時間交給林姑娘。
[00:01:29.000 --> 00:01:32.000]  各位弟兄姊妹平安!
[00:01:32.000 --> 00:01:36.000]  在宣講之前我們同心祈禱:
[00:01:36.000 --> 00:01:42.000]  慈愛的天父,願祢祝福孩子所宣講的話語,
[00:01:42.000 --> 00:01:44.000]  願祢賜恩給我們,
[00:01:44.000 --> 00:01:47.000]  願我們從祢的話語中得著豐富的力量,
[00:01:47.000 --> 00:01:49.000]  滋潤我們的生命,
[00:01:49.000 --> 00:01:54.000]  祈禱靠耶穌基督祢得聖的名,阿門。
[00:01:54.000 --> 00:01:58.000]  今天是2019年最後一個主日,
[00:01:58.000 --> 00:02:01.000]  通常我們都會說「隨舊迎新」,
[00:02:01.000 --> 00:02:05.000]  年終有人給我們作一個比喻,
[00:02:05.000 --> 00:02:08.000]  年終就好像一個休止符一樣,
[00:02:08.000 --> 00:02:11.000]  很快的,短暫的停頓之後,
[00:02:11.000 --> 00:02:14.000]  立即就是一個新的開始。
[00:02:14.000 --> 00:02:20.000]  「隨舊迎新」包含將那些不如意的事,
[00:02:20.000 --> 00:02:25.000]  好像隨著隨即的倒數,
[00:02:25.000 --> 00:02:27.000]  很快很快就會結束了。
