
[00:00:00.000 --> 00:00:04.000]  以彩霞書第七章十四節
[00:00:04.000 --> 00:00:08.500]  因此主自己要給你們一個預兆
[00:00:08.500 --> 00:00:12.000]  看哪必有同女懷孕生子
[00:00:12.000 --> 00:00:16.000]  給他起名叫以馬來尼
[00:00:16.000 --> 00:00:17.000]  感謝主
[00:00:17.000 --> 00:00:21.000]  今日有個紅標牧師在我們中間正道
[00:00:21.000 --> 00:00:24.000]  這個牧師是本堂的義務傳道
[00:00:24.000 --> 00:00:26.000]  講題是
[00:00:26.000 --> 00:00:28.000]  以馬來尼來臨
[00:00:28.000 --> 00:00:30.000]  現在恭請國牧師
[00:00:30.000 --> 00:00:32.000]  我們一起同心祈禱
[00:00:32.000 --> 00:00:34.000]  我們親愛的天父上帝
[00:00:34.000 --> 00:00:37.000]  願祢的聖靈臨到我們的心裏
[00:00:37.000 --> 00:00:38.000]  讓我們能夠明白
[00:00:38.000 --> 00:00:40.000]  祢在聖經裏面的教導
[00:00:40.000 --> 00:00:42.000]  以致我們更加認識祢
[00:00:42.000 --> 00:00:45.000]  更加知道我們在世上
[00:00:45.000 --> 00:00:47.000]  我們怎樣去生活
[00:00:47.000 --> 00:00:49.000]  我們禱告奉耶穌基督的名
[00:00:49.000 --> 00:00:50.000]  阿們
[00:00:50.000 --> 00:00:51.000]  感謝神的恩典
[00:00:51.000 --> 00:00:54.000]  讓我和大家分享聖經的信息
[00:00:54.000 --> 00:00:56.000]  在這一年裏
[00:00:56.000 --> 00:01:02.000]  我會以《以賽亞書》作為講道的重點
[00:01:02.000 --> 00:01:07.000]  今次剛好講到《以賽亞書》第七章
[00:01:07.000 --> 00:01:11.000]  請大家打開聖經《以賽亞書》第七章
[00:01:11.000 --> 00:01:16.000]  我讀的經文只是請主席讀第十四節
[00:01:16.000 --> 00:01:20.000]  但是我會講的範圍是多於十四節
[00:01:20.000 --> 00:01:25.000]  以往我講道的特點都會分三點
[00:01:25.000 --> 00:01:28.000]  但是今次比較難這樣做
[00:01:28.000 --> 00:01:29.000]  我就不分段
[00:01:29.000 --> 00:01:33.000]  反而是順著《以賽亞書》第七章去講
[00:01:33.000 --> 00:01:36.000]  希望大家可以對這一章的聖經
[00:01:36.000 --> 00:01:40.000]  明白多些它的結構和重點
[00:01:40.000 --> 00:01:42.000]  《以賽亞書》第七章
[00:01:42.000 --> 00:01:47.000]  是以一個第三者的角度去描述的
[00:01:47.000 --> 00:01:49.000]  而《以賽亞書》第二十章
[00:01:49.000 --> 00:01:51.000]  三十六到三十九章
[00:01:51.000 --> 00:01:53.000]  同樣都是以一個第三者
[00:01:53.000 --> 00:01:55.000]  即第三身的角度去描述
[00:01:55.000 --> 00:01:57.000]  而第六章和第八章
[00:01:57.000 --> 00:01:59.000]  就用第一身的角度去描述
[00:01:59.000 --> 00:02:02.000]  所以第七章夾在六章和八章中間
[00:02:02.000 --> 00:02:04.000]  已經有些特別了
[00:02:04.000 --> 00:02:08.000]  而第七章可以說分了三個部分
[00:02:08.000 --> 00:02:10.000]  第一個部分就是第一到第九節
[00:02:10.000 --> 00:02:14.000]  大家請留心是神對以賽亞的說話
[00:02:14.000 --> 00:02:16.000]  神對以賽亞說話
[00:02:16.000 --> 00:02:18.000]  然後第十到十七節
[00:02:18.000 --> 00:02:21.000]  就是神對阿哈斯這個皇帝
[00:02:21.000 --> 00:02:23.000]  猶大王說話
[00:02:23.000 --> 00:02:25.000]  而第十八到二十五節
[00:02:25.000 --> 00:02:28.000]  就是先知以賽亞四個宣告
[00:02:28.000 --> 00:02:31.000]  所以這一章聖經分了三個部分
[00:02:31.000 --> 00:02:33.000]  而第一到第九節
[00:02:33.000 --> 00:02:35.000]  神對以賽亞說話
[00:02:35.000 --> 00:02:37.000]  而在第七章裏面
[00:02:37.000 --> 00:02:39.000]  第一次提到南國猶大
[00:02:39.000 --> 00:02:42.000]  大家一定要有一個基本的認識
[00:02:42.000 --> 00:02:45.000]  以色列分北面和南面
[00:02:45.000 --> 00:02:47.000]  北面我們叫以法連之派
[00:02:47.000 --> 00:02:49.000]  所以叫以色列
[00:02:49.000 --> 00:02:51.000]  南面叫猶大
[00:02:51.000 --> 00:02:53.000]  是猶大之派
[00:02:53.000 --> 00:02:55.000]  所以以色列人
[00:02:55.000 --> 00:02:56.000]  猶大民族
[00:02:56.000 --> 00:02:57.000]  猶太人
[00:02:57.000 --> 00:02:58.000]  希伯來話
[00:02:58.000 --> 00:03:01.000]  這些全部都是說他們民族的東西
[00:03:01.000 --> 00:03:02.000]  大家要分清楚
[00:03:02.000 --> 00:03:04.000]  北面和南面是不同的
[00:03:04.000 --> 00:03:06.000]  以色列那兩顆星
[00:03:06.000 --> 00:03:08.000]  上面和下面倒轉
[00:03:08.000 --> 00:03:09.000]  你們知道
[00:03:09.000 --> 00:03:14.000]  其實是南北兩個大的支派組成
[00:03:14.000 --> 00:03:16.000]  當然它有十二支派
[00:03:16.000 --> 00:03:18.000]  但其中兩個是比較大的
