
[00:00:00.000 --> 00:00:02.000]  (英語)姐妹們,早安
[00:00:02.000 --> 00:00:09.400]  (英語)1863年,歐洲很多地方發生戰事
[00:00:09.400 --> 00:00:15.800]  (英語)當中意大利和奧地利正在打仗
[00:00:15.800 --> 00:00:19.520]  (英語)有一天,他們停止開戰
[00:00:19.520 --> 00:00:27.920]  (英語)各國將自己的傷兵帶回自己的地方
[00:00:27.920 --> 00:00:31.400]  (英語)來醫治他們
[00:00:31.400 --> 00:00:35.920]  (英語)在意大利的救傷隊裡面
[00:00:35.920 --> 00:00:40.920]  (英語)將戰場上的傷兵帶回他們
[00:00:40.920 --> 00:00:44.200]  (英語)將他們帶到教堂裡面
[00:00:44.200 --> 00:00:46.680]  (英語)來進行醫治
[00:00:46.680 --> 00:00:50.760]  (英語)但在醫治當中,突然發覺到
[00:00:50.760 --> 00:00:54.080]  (英語)不知道是否心急還是混亂
[00:00:54.360 --> 00:00:59.360]  (英語)其中竟然有四個敵軍的傷兵
[00:00:59.360 --> 00:01:02.000]  (英語)所以大家就吵起來
[00:01:02.000 --> 00:01:05.360]  (英語)這是奧地利的,不是我們意大利的
[00:01:05.360 --> 00:01:08.160]  (英語)於是有些人就很激動
[00:01:08.160 --> 00:01:10.240]  (英語)快點將他們拉到街上
[00:01:10.240 --> 00:01:13.360]  (英語)讓他們自生自滅,不要醫治他們
[00:01:13.360 --> 00:01:18.720]  (英語)當時有一個人,他穿著一件白袍
[00:01:18.720 --> 00:01:20.320]  (英語)他就走出來了
[00:01:20.320 --> 00:01:21.960]  (英語)不可以這樣
[00:01:21.960 --> 00:01:25.560]  (英語)不可以將他們拉到街上,讓他們自生自滅
[00:01:25.560 --> 00:01:26.760]  (英語)不可以的
[00:01:26.760 --> 00:01:31.560]  (英語)他是因為我們都是弟兄
[00:01:31.560 --> 00:01:33.560]  (英語)我們都是弟兄
[00:01:33.560 --> 00:01:36.960]  (英語)當他講出這句話的時候
[00:01:36.960 --> 00:01:39.960]  (英語)這群原本氣沖沖的人
[00:01:39.960 --> 00:01:43.360]  (英語)全部安靜下來
[00:01:43.360 --> 00:01:47.760]  (英語)然後又將這四個奧地利的傷兵
[00:01:47.760 --> 00:01:52.760]  (英語)帶回教會裡面,來醫治他們
[00:01:52.760 --> 00:01:57.760]  (英語)其實在那天,這個穿白袍的人不是醫生
[00:01:57.760 --> 00:02:00.360]  (英語)他只是一個商人
[00:02:00.360 --> 00:02:05.160]  (英語)不過他一直都在推行人道主義
[00:02:05.160 --> 00:02:08.160]  (英語)一直都在推行人道主義
[00:02:08.160 --> 00:02:09.160]  (英語)所以他覺得
[00:02:09.160 --> 00:02:13.160]  (英語)就算你抓了這四個奧地利的傷兵回來
[00:02:13.160 --> 00:02:15.960]  (英語)你都不可以任由他們自生自滅
[00:02:15.960 --> 00:02:17.560]  (英語)都要醫治
[00:02:17.560 --> 00:02:19.560]  (英語)就在那天
[00:02:19.560 --> 00:02:21.960]  (英語)就有一個德國的醫生
[00:02:21.960 --> 00:02:24.560]  (英語)有三個意大利的學生
[00:02:24.560 --> 00:02:28.160]  (英語)有一個法國的新聞的採訪員
[00:02:28.160 --> 00:02:30.960]  (英語)有兩個英國的青年
[00:02:30.960 --> 00:02:33.960]  (英語)他們就在禮拜堂裡面
[00:02:33.960 --> 00:02:35.960]  (英語)從早到晚
[00:02:35.960 --> 00:02:39.160]  (英語)一直將所有的傷兵
[00:02:39.160 --> 00:02:41.560]  (英語)不管他們是什麼國籍
[00:02:41.560 --> 00:02:43.760]  (英語)他們都來醫治他們
[00:02:43.760 --> 00:02:46.560]  (英語)就因著這個傷人
[00:02:46.560 --> 00:02:50.560]  (英語)他說我們都是弟兄
[00:02:50.560 --> 00:02:54.360]  (英語)這個穿白袍的人
[00:02:54.360 --> 00:02:57.760]  (英語)他就是紅十字會的創辦人
[00:02:57.760 --> 00:02:59.760]  (英語)Henry Donald
[00:02:59.760 --> 00:03:02.160]  (英語)他就在那天裡面
[00:03:02.160 --> 00:03:04.360]  (英語)就因為他一句話
