
[00:00:00.000 --> 00:00:02.000]  這方面的目標是甚麼
[00:00:02.000 --> 00:00:06.000]  是深化與神與人的關係
[00:00:06.000 --> 00:00:08.600]  但你要留心後面的附註
[00:00:08.600 --> 00:00:10.800]  配偶親子同行
[00:00:10.800 --> 00:00:12.400]  同宮同行
[00:00:12.400 --> 00:00:15.600]  請大家猜猜裡面是甚麼含義
[00:00:15.600 --> 00:00:17.200]  我在此先不說這麼多
[00:00:17.200 --> 00:00:22.200]  重點是在基督的裏面生根建造
[00:00:22.200 --> 00:00:23.600]  內容是甚麼
[00:00:23.600 --> 00:00:25.800]  就是五支其中頭兩個
[00:00:25.800 --> 00:00:27.400]  就是主的同在
[00:00:27.400 --> 00:00:30.200]  和主的大靈有框架
[00:00:30.200 --> 00:00:33.200]  第二方面的目標就是突破連結
[00:00:33.200 --> 00:00:34.800]  跨代同行
[00:00:34.800 --> 00:00:36.600]  是甚麼
[00:00:36.600 --> 00:00:38.200]  教會合一
[00:00:38.200 --> 00:00:39.800]  相愛復仕
[00:00:39.800 --> 00:00:41.200]  重點是甚麼
[00:00:41.200 --> 00:00:44.000]  就是勇於嘗試同青少年
[00:00:44.000 --> 00:00:45.800]  大家猜猜
[00:00:45.800 --> 00:00:47.000]  內容是甚麼
[00:00:47.000 --> 00:00:48.000]  主的恩典
[00:00:48.000 --> 00:00:49.000]  主的依字
[00:00:49.000 --> 00:00:50.000]  主的榮耀
[00:00:50.000 --> 00:00:52.800]  用一個圖表來表達就很清楚
[00:00:52.800 --> 00:00:54.600]  我們的同宮其實不是我做的
[00:00:54.600 --> 00:00:56.000]  我不太懂得做這些東西
[00:00:56.000 --> 00:01:00.000]  也要答謝一下我們辦公室的同宮
[00:01:00.000 --> 00:01:01.000]  好了
[00:01:01.000 --> 00:01:03.000]  如果我們這樣看的時候
[00:01:03.000 --> 00:01:05.600]  五支教會
[00:01:05.600 --> 00:01:07.000]  生根建造
[00:01:07.000 --> 00:01:08.600]  迎新生代
[00:01:08.600 --> 00:01:13.400]  其實它是要深化我們和神和人的關係
[00:01:13.400 --> 00:01:15.400]  裏面是說家庭事公
[00:01:15.400 --> 00:01:17.600]  就是配偶親子同行
[00:01:17.600 --> 00:01:19.800]  第二同宮同行
[00:01:19.800 --> 00:01:22.400]  當然我不說這麼多他們的東西
[00:01:22.400 --> 00:01:23.600]  我雖然知道一點點
[00:01:23.600 --> 00:01:24.600]  但是不說了
[00:01:24.600 --> 00:01:26.200]  在基督裏面生根建造
[00:01:26.200 --> 00:01:27.600]  就是要透過
[00:01:27.600 --> 00:01:29.000]  鼓勵弟兄姊妹
