
[00:00:00.000 --> 00:00:02.000]  我們可以一起分享上帝的話
[00:00:02.000 --> 00:00:06.000]  這個題目可能大家之前都熟悉
[00:00:06.000 --> 00:00:08.000]  就是說一些
[00:00:08.000 --> 00:00:14.000]  大概一兩年前的情況
[00:00:14.000 --> 00:00:17.000]  下著雨還要不要上班呢?
[00:00:17.000 --> 00:00:20.000]  那就是問究竟是愛還是責任呢?
[00:00:20.000 --> 00:00:23.000]  或者是在這個時期
[00:00:23.000 --> 00:00:25.000]  我們可以分享一些
[00:00:25.000 --> 00:00:30.000]  在當時的樂壇的情況
[00:00:30.000 --> 00:00:32.000]  究竟有沒有一些音樂的人
[00:00:32.000 --> 00:00:33.000]  做音樂的人
[00:00:33.000 --> 00:00:36.000]  繼續在自己的專業當中
[00:00:36.000 --> 00:00:40.000]  繼續在自己的香港樂壇當中
[00:00:40.000 --> 00:00:42.000]  繼續可以有發展呢?
[00:00:42.000 --> 00:00:44.000]  就在問一個這樣的問題
[00:00:44.000 --> 00:00:48.000]  今天我們不是從這個處境去問
[00:00:48.000 --> 00:00:50.000]  而是問我們作為基督徒
[00:00:50.000 --> 00:00:52.000]  其實我們在香港
[00:00:52.000 --> 00:00:55.000]  問我們作為基督徒
[00:00:55.000 --> 00:00:58.000]  其實愛是一個很重要的課題
[00:00:58.000 --> 00:01:04.000]  也是一個必須我們去問的課題
[00:01:04.000 --> 00:01:06.000]  或者我們要實踐的一個課題
[00:01:06.000 --> 00:01:08.000]  如果沒有了愛的時候
[00:01:08.000 --> 00:01:10.000]  我們的信仰就空白
[00:01:10.000 --> 00:01:11.000]  或者沒有了愛的時候
[00:01:11.000 --> 00:01:13.000]  我們的信仰就不知道
[00:01:13.000 --> 00:01:15.000]  怎樣去實踐
[00:01:15.000 --> 00:01:17.000]  但同時間我們都有
[00:01:17.000 --> 00:01:21.000]  有一定自己的責任在當中
[00:01:21.000 --> 00:01:23.000]  要去完成
[00:01:23.000 --> 00:01:25.000]  所以究竟我們實踐愛的時候
[00:01:25.000 --> 00:01:27.000]  一個愛還是責任呢?
[00:01:27.000 --> 00:01:29.000]  其實就是想和大家今天藉著
[00:01:29.000 --> 00:01:31.000]  約翰.呼音的一段經文
[00:01:31.000 --> 00:01:33.000]  去幫助我們一起去思想
[00:01:33.000 --> 00:01:36.000]  也幫助我們更深的去明白
[00:01:36.000 --> 00:01:39.000]  主對門徒
[00:01:39.000 --> 00:01:40.000]  對我們
[00:01:40.000 --> 00:01:42.000]  其實究竟要揭示
[00:01:42.000 --> 00:01:43.000]  他自己一個
[00:01:43.000 --> 00:01:47.000]  是關乎他自己三一裏面的奧秘
[00:01:47.000 --> 00:01:48.000]  也是我們自己
[00:01:48.000 --> 00:01:50.000]  作為跟隨他的人
