
[00:00:00.000 --> 00:00:09.000]  有《釋經》書說,若拿書可稱為世界上最早的一本宣教著作
[00:00:09.000 --> 00:00:16.000]  而若拿亦可能是世界上第一位義幫宣教的宣教士
[00:00:16.000 --> 00:00:25.000]  幸好我們認識的宣教士很少像若拿般去宣教不情不願
[00:00:25.000 --> 00:00:35.000]  不過在宣教史上也有,但不是宣教士本人,而是宣教士的太太
[00:00:35.000 --> 00:00:42.000]  威廉·克里在基督教有宣教之父之稱的宣教士
[00:00:42.000 --> 00:00:55.000]  他在十七至十八世紀時帶著太太和子女一起去印度宣教
[00:00:55.000 --> 00:01:01.000]  他太太在不情不願跟隨著他
[00:01:01.000 --> 00:01:06.000]  去到印度,他們住的環境很惡劣,像沼澤般的地方
[00:01:06.000 --> 00:01:13.000]  所以他太太一直埋怨丈夫帶他們去這些不人住的地方
[00:01:13.000 --> 00:01:17.000]  日日埋怨他
[00:01:17.000 --> 00:01:22.000]  後來他們其中一個兒子患病病逝
[00:01:22.000 --> 00:01:26.000]  而這位宣教士的太太還患了精神病
[00:01:26.000 --> 00:01:34.000]  聽聞威廉·克里在翻譯聖經時,他太太在隔壁房間尖叫大叫
[00:01:34.000 --> 00:01:41.000]  所以威廉·克里在這樣的環境下,他也堅持在印度服侍
[00:01:41.000 --> 00:01:51.000]  當他太太離世後,神賜給他另一位成為他得力幫手的太太
[00:01:51.000 --> 00:01:58.000]  所以宣教並不只是英雄式,令人很振奮的德性故事
[00:01:58.000 --> 00:02:03.000]  宣教也有很多人性軟弱,很多陰暗面
[00:02:03.000 --> 00:02:08.000]  但人通常都喜歡重陽光輝的一面
[00:02:08.000 --> 00:02:15.000]  陰暗面的、軟弱的不是不提,不過就少一點提
[00:02:15.000 --> 00:02:21.000]  聖經很不同,像若拿般不情不願的態度
[00:02:21.000 --> 00:02:26.000]  這樣的怯酸的宣教士,反面教材
[00:02:26.000 --> 00:02:32.000]  不單沒有隱藏,沒有刪去,還記載了整整一卷書
[00:02:32.000 --> 00:02:37.000]  讓一代又一代的信徒去全讀
[00:02:37.000 --> 00:02:42.000]  究竟讀若拿書最精彩的地方是什麼呢?
[00:02:42.000 --> 00:02:47.000]  大家有什麼得著?過往讀若拿書
[00:02:47.000 --> 00:02:51.000]  這本書令我們很深刻,因為它是敘事式的
[00:02:51.000 --> 00:02:59.000]  跟其他的先子書比較,若拿書用了很多誇張、諷刺、對比的手法
[00:02:59.000 --> 00:03:04.000]  例如,會有一個角色是吃得下一個人的大魚
[00:03:04.000 --> 00:03:11.000]  一句話就令你眉眉眉成,由上至下,甚至生畜都會悔改
[00:03:11.000 --> 00:03:17.000]  甚至若拿為了一棵枯的樹去求死,去跟神話提起
[00:03:17.000 --> 00:03:22.000]  這些都是令人很難忘、很戲劇性的畫面
[00:03:22.000 --> 00:03:27.000]  但我們很容易記住了這些深刻的畫面
[00:03:27.000 --> 00:03:30.000]  但忽略了最重要的東西
