
[00:00:00.000 --> 00:00:03.000]  鄧太康傳道在我們中間去證道
[00:00:03.000 --> 00:00:07.000]  他的講題是道必須成為肉身
[00:00:07.000 --> 00:00:14.000]  經文是記載在新約聖經路加福音六章四十三至四十九節
[00:00:14.000 --> 00:00:16.000]  請聽我讀出以下的經文
[00:00:16.000 --> 00:00:23.000]  沒有好樹結壞果子也沒有壞樹結好果子
[00:00:23.000 --> 00:00:27.000]  每一種樹木可以從其果子看出來
[00:00:27.000 --> 00:00:31.000]  人不是從荊棘上摘無花果的
[00:00:31.000 --> 00:00:34.000]  也不是從窒泥裡摘葡萄的
[00:00:34.000 --> 00:00:39.000]  善人從他心裡所存的善發出善來
[00:00:39.000 --> 00:00:42.000]  惡人從他所存的惡發出惡來
[00:00:42.000 --> 00:00:47.000]  因為心裡所充滿的口裡就說出來
[00:00:47.000 --> 00:00:50.000]  你們為什麼稱呼我主啊主啊
[00:00:50.000 --> 00:00:53.000]  卻不照我的話做呢
[00:00:53.000 --> 00:00:57.000]  凡到我子女來聽了我的話又去做的
[00:00:57.000 --> 00:01:01.000]  我要告訴你們他像什麼人
[00:01:01.000 --> 00:01:03.000]  他像一個人蓋房子
[00:01:03.000 --> 00:01:07.000]  把地劃深將根基立在盆石上
[00:01:07.000 --> 00:01:11.000]  到發大水的時候水沖那房子
[00:01:11.000 --> 00:01:15.000]  房子總不動搖因為蓋做得好
[00:01:15.000 --> 00:01:17.000]  但聽了不去做的
[00:01:17.000 --> 00:01:21.000]  就像一個人在土地上蓋房子
[00:01:21.000 --> 00:01:25.000]  唯有根基水一沖立刻倒塌了
[00:01:25.000 --> 00:01:29.000]  並且那房子損壞得很厲害
[00:01:29.000 --> 00:01:34.000]  英文讀不現在恭請鄧全導去正讀
[00:01:34.000 --> 00:01:47.000]  (鄧全導) 頂姐妹早上
[00:01:47.000 --> 00:01:50.000]  剛才頂姐妹說
[00:01:50.000 --> 00:01:52.000]  我還沒聽我們說到
[00:01:52.000 --> 00:01:54.000]  是真的
[00:01:54.000 --> 00:01:58.000]  因為每一年都說到
[00:01:58.000 --> 00:02:00.000]  其實已經編好了
[00:02:00.000 --> 00:02:02.000]  所以也不會特意去更改
[00:02:02.000 --> 00:02:04.000]  但很感恩
[00:02:04.000 --> 00:02:06.000]  曾牧師最後留了一個空間
[00:02:06.000 --> 00:02:08.000]  看誰說的
[00:02:08.000 --> 00:02:10.000]  吩咐我今天跟大家說
[00:02:10.000 --> 00:02:12.000]  我覺得今天跟大家說的也很有意思
[00:02:12.000 --> 00:02:14.000]  為什麼呢
[00:02:14.000 --> 00:02:17.000]  先問一下你左邊旁邊的頂姐妹
[00:02:17.000 --> 00:02:20.000]  過去2018年平不平安
[00:02:20.000 --> 00:02:22.000]  問一下他們
[00:02:22.000 --> 00:02:24.000]  平不平安
