
[00:00:00.000 --> 00:00:02.000]  我哋一齊禱告先
[00:00:02.000 --> 00:00:07.800]  多謝主再一次讓我哋能夠可以打開約翰福音嚟到去研讀
[00:00:07.800 --> 00:00:11.900]  我哋能夠逐段逐段咁樣嚟到仔細嘅去睇
[00:00:11.900 --> 00:00:15.600]  我哋嚟到第十八章十九章
[00:00:15.600 --> 00:00:20.100]  係主耶穌喺最後嘅晚上
[00:00:20.100 --> 00:00:25.100]  同埋最終係要被呢一個嘅彼拉多
[00:00:25.100 --> 00:00:30.100]  當時嘅該亞法大祭司嚟到去定罪
[00:00:30.100 --> 00:00:35.000]  同埋要背負住自己嘅木頭嚟到去
[00:00:35.000 --> 00:00:39.500]  呢一個各國他山嚟到接受嗰個刑罰
[00:00:39.500 --> 00:00:43.500]  呢個係神嗰個嘅定旨先見
[00:00:43.500 --> 00:00:47.500]  亦都係主你自己嚟到去照住嗰個嘅
[00:00:47.500 --> 00:00:50.000]  神嘅旨意嚟到去馴服
[00:00:50.000 --> 00:00:53.000]  我哋好盼望我哋當一路咁睇嘅時候
[00:00:53.000 --> 00:00:57.200]  讓我哋睇到主耶穌你所承受嘅痛苦
[00:00:57.200 --> 00:01:01.700]  係令到我哋人類得到救恩
[00:01:01.700 --> 00:01:04.900]  得著神你自己嗰個無條件嘅拯救
[00:01:04.900 --> 00:01:06.400]  叫我哋明白
[00:01:06.400 --> 00:01:09.400]  叫我哋去同人去講福音嘅時候
[00:01:09.400 --> 00:01:13.200]  我哋帶住嘅係一份嘅信心膽量
[00:01:13.200 --> 00:01:17.600]  同埋一份嘅好有盼望嘅嗰種嘅能力
[00:01:17.600 --> 00:01:20.400]  嚟到去將神自己去介紹
[00:01:20.400 --> 00:01:23.000]  喺人嘅心靈裏面
[00:01:23.000 --> 00:01:27.600]  我哋仰望感恩禱告奉耶穌基督嘅名
[00:01:27.600 --> 00:01:28.600]  阿們
[00:01:28.600 --> 00:01:32.000]  咁不經不覺用咗好長嘅時間
[00:01:32.000 --> 00:01:37.000]  我諗都有三十四十堂講約翰福音
[00:01:37.000 --> 00:01:42.000]  咁尤其是我哋能夠喺經文嘅裏面
[00:01:42.000 --> 00:01:46.000]  重重複複咁樣我哋能夠掌握到一啲嘅
[00:01:46.000 --> 00:01:50.000]  重要嘅真理特別係神嘅道
[00:01:50.000 --> 00:01:52.000]  道成肉身
[00:01:52.000 --> 00:01:55.000]  同埋佢一而再講自己
