
[00:00:00.000 --> 00:00:03.120]  好,弟兄姊妹,我們停了幾次
[00:00:03.120 --> 00:00:06.620]  今晚能夠有身體健康,可以恢復
[00:00:06.620 --> 00:00:09.820]  跟大家一起讀聖經
[00:00:09.820 --> 00:00:13.660]  研究歸回的先知書
[00:00:13.660 --> 00:00:15.860]  一個簡單祈禱
[00:00:15.860 --> 00:00:17.860]  再一次多謝天父
[00:00:17.860 --> 00:00:20.540]  因為身體健康不是必然的
[00:00:20.540 --> 00:00:23.140]  有時可能很少的疾病
[00:00:23.140 --> 00:00:25.140]  都會令我們說不出話
[00:00:25.140 --> 00:00:26.780]  或者令我們不舒服
[00:00:26.780 --> 00:00:29.000]  多謝你讓我們有身體健康
[00:00:29.000 --> 00:00:31.920]  也讓我們能夠有一個渴求
[00:00:31.920 --> 00:00:34.280]  對聖經話語的明白
[00:00:34.280 --> 00:00:38.360]  我們知道舊約的先知書
[00:00:38.360 --> 00:00:40.360]  去到撒加利亞書
[00:00:40.360 --> 00:00:43.600]  後面這六章有很多對將來
[00:00:43.600 --> 00:00:46.760]  以色列國度的預言
[00:00:46.760 --> 00:00:49.800]  有些我們都很難去理解
[00:00:49.800 --> 00:00:53.320]  還有那個時間到底是何時會發生
[00:00:53.320 --> 00:00:57.160]  這些都超越了我們能夠預知的能力
[00:00:57.160 --> 00:01:00.200]  但我們盼望從這六章裏面
[00:01:00.200 --> 00:01:05.080]  給我們一個準確的大方向和原則
[00:01:05.080 --> 00:01:09.320]  就是上主尤其是尼塞亞降臨
[00:01:09.320 --> 00:01:13.280]  是非常重要的一個主題的時候
[00:01:13.280 --> 00:01:15.560]  都讓我們認真學悟
[00:01:15.560 --> 00:01:17.080]  舊主的降臨
[00:01:17.080 --> 00:01:19.480]  再一次回來這個地上
[00:01:19.480 --> 00:01:21.480]  來拯救世界
[00:01:21.480 --> 00:01:23.960]  求主帶領我們今天晚上的研讀
[00:01:23.960 --> 00:01:27.400]  我們一起禱告奉耶穌基督的名
[00:01:27.400 --> 00:01:28.600]  阿們
[00:01:28.600 --> 00:01:31.960]  這樣我們能夠去到最後這六章
[00:01:31.960 --> 00:01:35.360]  我們間間竭竭地說過第九第十章
[00:01:35.360 --> 00:01:38.440]  十一章有少少輪廓都有說過的
[00:01:38.440 --> 00:01:41.520]  有一個比較特別
[00:01:41.520 --> 00:01:45.320]  這六章聖經是指著將來的預言
[00:01:45.320 --> 00:01:47.640]  剛才在祈禱裏面都提到
[00:01:47.640 --> 00:01:50.960]  無論第九章第十一章
[00:01:50.960 --> 00:01:52.840]  都有提到尼塞亞
[00:01:52.840 --> 00:01:56.840]  和新約的福音書有引述
[00:01:56.840 --> 00:02:00.480]  直接說到尼塞亞的受苦
[00:02:00.480 --> 00:02:03.600]  甚至乎是字面的應驗
[00:02:03.600 --> 00:02:06.520]  例如十二章提到
[00:02:06.520 --> 00:02:11.560]  他們會仰望這位被砸的人
[00:02:11.560 --> 00:02:15.160]  其實就是約翰福音第十九章就引述
[00:02:15.160 --> 00:02:18.640]  主耶穌就是被人刺穿他的肋旁
[00:02:18.640 --> 00:02:20.520]  有血水流出來
[00:02:20.520 --> 00:02:23.360]  就是那一節聖經的引述
[00:02:23.360 --> 00:02:28.640]  所以你可以想像到這是十二章的第十節
[00:02:28.640 --> 00:02:33.800]  就是他們會仰望這位他們所砸的
[00:02:33.800 --> 00:02:36.480]  必定為我悲哀等等
[00:02:36.480 --> 00:02:40.680]  你可以想像到這六章最後的預言
[00:02:40.680 --> 00:02:44.160]  有別於之前的那些比喻
[00:02:44.160 --> 00:02:48.400]  是說到將來以色列國度的預言
[00:02:48.400 --> 00:02:51.040]  第九章很快我們曾經說過
[00:02:51.040 --> 00:02:53.840]  就是神會再回來
[00:02:53.840 --> 00:02:55.720]  使列邦
[00:02:55.720 --> 00:02:57.560]  當然是周邊的國家
[00:02:57.560 --> 00:03:03.640]  例如約旦、敘利亞、托羅西頓等等的周邊國家
[00:03:03.640 --> 00:03:05.880]  就會來受到懲罰
[00:03:05.880 --> 00:03:07.520]  神就要出手了
[00:03:07.520 --> 00:03:10.120]  拯救祂自己的子民
[00:03:10.120 --> 00:03:11.760]  這個主要是第九章
[00:03:11.760 --> 00:03:13.760]  其中就夾雜了
[00:03:13.760 --> 00:03:18.000]  有一位謙卑的君王再出現在這個地上
