
[00:00:00.000 --> 00:00:06.000]  今天早上我們很高興有陳靜娟姑娘在我們當中靜悼
[00:00:06.000 --> 00:00:09.000]  陳姑娘是本堂的愛語傳道
[00:00:09.000 --> 00:00:14.000]  在伯特利中學負責非華語學生的福音工作
[00:00:14.000 --> 00:00:19.000]  陳姑娘今天早上講到的主題是
[00:00:19.000 --> 00:00:22.000]  「作外光人的光」
[00:00:22.000 --> 00:00:30.000]  她使用《聖經》新約《史圖行傳》第十三章四十四至五十二節
[00:00:30.000 --> 00:00:35.000]  在本堂的《聖經》是新約二百零一頁
[00:00:35.000 --> 00:00:39.000]  《史圖行傳》十三章四十四至五十二節
[00:00:39.000 --> 00:00:44.000]  找到之後請先聽我讀出這段經文
[00:00:44.000 --> 00:00:47.000]  到下一個安息日
[00:00:47.000 --> 00:00:50.000]  全城的人幾乎都聚集起來
[00:00:50.000 --> 00:00:53.000]  要聽主的道
[00:00:53.000 --> 00:00:56.000]  但猶太人看見這麼多的人
[00:00:56.000 --> 00:00:58.000]  就滿心疾度
[00:00:58.000 --> 00:01:01.000]  辯駁保羅所說的話
[00:01:01.000 --> 00:01:03.000]  並且違抗他
[00:01:03.000 --> 00:01:06.000]  於是保羅和巴拿巴放膽說
[00:01:06.000 --> 00:01:09.000]  神的道本應先傳給你們
[00:01:09.000 --> 00:01:12.000]  只因你們棄絕這道
[00:01:12.000 --> 00:01:15.000]  斷定自己不配得永生
[00:01:15.000 --> 00:01:17.000]  我們就轉向外光人
[00:01:17.000 --> 00:01:20.000]  因為主曾這樣吩咐我們
[00:01:20.000 --> 00:01:24.000]  我已經立你作萬邦之光
[00:01:24.000 --> 00:01:26.000]  使你施行我的救恩
[00:01:26.000 --> 00:01:28.000]  直到地極
[00:01:28.000 --> 00:01:31.000]  外邦人聽見者說很歡喜
[00:01:31.000 --> 00:01:33.000]  讚美主的道
[00:01:33.000 --> 00:01:37.000]  凡被指定得永生的人都信了
[00:01:37.000 --> 00:01:42.000]  於是主的道傳遍了那一帶地方
[00:01:42.000 --> 00:01:47.000]  但猶太人飄梭乾淨尊貴的婦女
[00:01:47.000 --> 00:01:49.000]  和城內有名望的人
[00:01:49.000 --> 00:01:52.000]  迫害保羅和巴拿巴
[00:01:52.000 --> 00:01:55.000]  把他們趕出境外
[00:01:55.000 --> 00:01:57.000]  二人對著眾人
[00:01:57.000 --> 00:01:59.000]  躲掉腳上的塵土
[00:01:59.000 --> 00:02:02.000]  然後往以哥廉去撩
[00:02:02.000 --> 00:02:04.000]  門徒滿心喜樂
[00:02:04.000 --> 00:02:06.000]  有備聖靈充滿
[00:02:06.000 --> 00:02:08.000]  將以下的時間
[00:02:08.000 --> 00:02:11.000]  恭敬交給陳姑娘正道
[00:02:11.000 --> 00:02:22.000]  
[00:02:22.000 --> 00:02:23.000]  各位靚姐妹
[00:02:23.000 --> 00:02:25.000]  早晨
[00:02:25.000 --> 00:02:27.000]  好像很久沒有在早堂
[00:02:27.000 --> 00:02:30.000]  和大家分享上帝的說話
[00:02:30.000 --> 00:02:34.000]  今早除了和大家一起看聖經
[00:02:34.000 --> 00:02:35.000]  明白上帝的道
[00:02:35.000 --> 00:02:36.000]  也同一時間
[00:02:36.000 --> 00:02:39.000]  是一個我見證的時間
[00:02:39.000 --> 00:02:41.000]  因為在八字裡中學
[00:02:41.000 --> 00:02:44.000]  吳京元國已經兩年了
[00:02:44.000 --> 00:02:46.000]  今年已經進入第三個年頭
[00:02:46.000 --> 00:02:48.000]  在裡面的服事
[00:02:48.000 --> 00:02:52.000]  見證的就是上帝的奇妙的恩典和作為
[00:02:52.000 --> 00:02:56.000]  題目叫做「外邦人的光」
[00:02:56.000 --> 00:02:59.000]  我不知道外邦人會想起誰呢
[00:02:59.000 --> 00:03:02.000]  其實每次想起外邦人
[00:03:02.000 --> 00:03:04.000]  就是想起自己
[00:03:04.000 --> 00:03:06.000]  對於當日的猶太人來說
[00:03:06.000 --> 00:03:09.000]  其實所有非猶太人就是外邦人
[00:03:09.000 --> 00:03:13.000]  即是包括了我們
[00:03:13.000 --> 00:03:14.000]  二千多年前
[00:03:14.000 --> 00:03:16.000]  使徒保羅的見證
[00:03:16.000 --> 00:03:19.000]  令到福音由猶太人
[00:03:19.000 --> 00:03:22.000]  轉向外邦人傳開去
[00:03:22.000 --> 00:03:24.000]  一直直至今時今日
[00:03:24.000 --> 00:03:26.000]  傳到我們這一代
[00:03:26.000 --> 00:03:27.000]  我們都要感激我們主
[00:03:27.000 --> 00:03:29.000]  我們一起祈禱
[00:03:29.000 --> 00:03:30.000]  真是多謝主祢的恩典
[00:03:30.000 --> 00:03:33.000]  因為我們已經先領受了這個救恩
[00:03:33.000 --> 00:03:36.000]  今日就坐在這裡聚集
[00:03:36.000 --> 00:03:37.000]  歌頌敬拜祢
[00:03:37.000 --> 00:03:40.000]  完全出於祢的憐憫
[00:03:40.000 --> 00:03:42.000]  祢的揀選和祢的恩典
[00:03:42.000 --> 00:03:45.000]  讓我們在祢面前真是謙卑
[00:03:45.000 --> 00:03:48.000]  等候上帝對我們的講說話
[00:03:48.000 --> 00:03:49.000]  對我們的猜排
[00:03:49.000 --> 00:03:51.000]  奉耶穌基督的聖名而求
[00:03:51.000 --> 00:03:53.000]  阿門
[00:03:53.000 --> 00:03:55.000]  就去這個
[00:03:55.000 --> 00:03:58.000]  作為外邦人的光
[00:03:58.000 --> 00:04:03.000]  使徒唐轉十三章四十四到五十二節
[00:04:03.000 --> 00:04:07.000]  使徒唐轉整卷書卷
[00:04:07.000 --> 00:04:12.000]  其實有三次保羅和他的宣教團隊
[00:04:12.000 --> 00:04:13.000]  其實他不是一個人去的
[00:04:13.000 --> 00:04:15.000]  他是有一個團隊一起出發的
[00:04:15.000 --> 00:04:19.000]  分別記載在使徒唐轉的十三十四章
[00:04:19.000 --> 00:04:20.000]  是第一次旅程
[00:04:20.000 --> 00:04:22.000]  十五到十八章第二次
[00:04:22.000 --> 00:04:26.000]  十八到二十一章是第三次
[00:04:26.000 --> 00:04:30.000]  分別在公元四十六年一直到五十七年
[00:04:30.000 --> 00:04:33.000]  歷時有十一年這麼久
[00:04:33.000 --> 00:04:35.000]  所以你說這是不是短孫
[00:04:35.000 --> 00:04:38.000]  我用今天應該不算是短孫
[00:04:38.000 --> 00:04:40.000]  是一個十一年的行程
[00:04:40.000 --> 00:04:43.000]  至於保羅何時信主
[00:04:43.000 --> 00:04:45.000]  他大概是公元三十五年
[00:04:45.000 --> 00:04:49.000]  即是說在他悔改大馬式路上遇見主之後
[00:04:49.000 --> 00:04:52.000]  一直到他真的出發去宣教
[00:04:52.000 --> 00:04:55.000]  離開自己的本地本族的時候
[00:04:55.000 --> 00:04:57.000]  已經是十年之後的事
[00:04:57.000 --> 00:05:00.000]  當然我們不是說他在這十年沒有做事
[00:05:00.000 --> 00:05:01.000]  其實在這十年裡
[00:05:01.000 --> 00:05:03.000]  他自己是同族的人裡
[00:05:03.000 --> 00:05:05.000]  他繼續傳講耶穌
[00:05:05.000 --> 00:05:08.000]  但為什麼會出現這個旅程呢
[00:05:08.000 --> 00:05:11.000]  這個旅程第一次旅程
[00:05:11.000 --> 00:05:14.000]  就提到是十三章和十四章裡記載
[00:05:14.000 --> 00:05:17.000]  其實這兩章裡
[00:05:17.000 --> 00:05:20.000]  作者路加醫生寫得很清楚
[00:05:20.000 --> 00:05:22.000]  一開始是一個旅程
[00:05:22.000 --> 00:05:25.000]  是怎樣展開是透過聖靈的差派
