
[00:00:00.000 --> 00:00:02.000]  現在是宣導的時間
[00:00:02.000 --> 00:00:05.000]  請聽我讀出以下經文
[00:00:05.000 --> 00:00:07.600]  經文是記載在
[00:00:07.600 --> 00:00:08.800]  《新約聖經》
[00:00:08.800 --> 00:00:10.400]  《路加福音》
[00:00:10.400 --> 00:00:12.200]  第22章
[00:00:12.200 --> 00:00:15.200]  第14至第23節
[00:00:15.200 --> 00:00:18.200]  《新約聖經》《路加福音》
[00:00:18.200 --> 00:00:19.800]  第22章
[00:00:19.800 --> 00:00:23.000]  第14至第23節
[00:00:23.000 --> 00:00:26.600]  在各位商行本聖經
[00:00:26.600 --> 00:00:28.200]  《新約》第129頁
[00:00:28.200 --> 00:00:29.800]  《新約》
[00:00:29.800 --> 00:00:31.400]  129頁
[00:00:31.400 --> 00:00:33.800]  請聽我讀出
[00:00:34.800 --> 00:00:36.800]  事後到了
[00:00:36.800 --> 00:00:38.800]  耶穌坐直
[00:00:38.800 --> 00:00:41.800]  使徒們也和他同坐
[00:00:41.800 --> 00:00:43.800]  耶穌對他們說
[00:00:43.800 --> 00:00:47.800]  我非常渴望在受害以前
[00:00:47.800 --> 00:00:49.800]  和你們吃這魚的筵席
[00:00:49.800 --> 00:00:52.800]  我告訴你們
[00:00:52.800 --> 00:00:54.800]  我不再吃這筵席
[00:00:54.800 --> 00:00:57.800]  直到他實現在神的國裡
[00:00:57.800 --> 00:00:59.800]  耶穌接過杯來
[00:00:59.800 --> 00:01:00.800]  祝謝了
[00:01:00.800 --> 00:01:01.800]  說
[00:01:02.800 --> 00:01:04.800]  你們不拿這杯
[00:01:04.800 --> 00:01:06.800]  大家分著喝
[00:01:06.800 --> 00:01:10.800]  飯後也照樣拿起杯來說
[00:01:10.800 --> 00:01:15.800]  這杯是我用血所納的新藥
[00:01:15.800 --> 00:01:18.800]  為你們流出來的
[00:01:18.800 --> 00:01:20.800]  但是看啊
[00:01:20.800 --> 00:01:23.800]  拿出我的人的手
[00:01:23.800 --> 00:01:27.800]  跟我一同坐在桌子上
[00:01:28.800 --> 00:01:32.800]  人子固然要照所預定的離去
[00:01:32.800 --> 00:01:36.800]  但那出賣人子的又何了
[00:01:36.800 --> 00:01:40.800]  於是他們開始互相追問
[00:01:40.800 --> 00:01:44.800]  他們中間哪一個會做這事
[00:01:44.800 --> 00:01:48.800]  很感謝神
[00:01:48.800 --> 00:01:49.800]  今天我們有
[00:01:49.800 --> 00:01:51.800]  真友的牧師在我們中間靜悟
[00:01:51.800 --> 00:01:53.800]  真牧師是我們本台堂主任
[00:01:53.800 --> 00:01:55.800]  相信大家都不會對他陌生的了
[00:01:55.800 --> 00:01:57.800]  而今天的講題是
[00:01:57.800 --> 00:01:59.800]  人生勝利組
[00:01:59.800 --> 00:02:02.800]  以下恭敬將時間交給真牧師
[00:02:02.800 --> 00:02:14.800]  請同心祈禱
[00:02:14.800 --> 00:02:16.800]  親愛的主
[00:02:16.800 --> 00:02:19.800]  我們再一次恭敬
[00:02:19.800 --> 00:02:21.800]  當我們打開聖經的時候
[00:02:21.800 --> 00:02:23.800]  求祢給我們一個
[00:02:23.800 --> 00:02:26.800]  恭敬學習真理的心靈
[00:02:26.800 --> 00:02:28.800]  我們這樣禱告
[00:02:28.800 --> 00:02:30.800]  奉耶穌基督的名
[00:02:30.800 --> 00:02:31.800]  阿門
[00:02:31.800 --> 00:02:33.800]  來到路加福音
[00:02:33.800 --> 00:02:36.800]  我們由年頭開始
[00:02:36.800 --> 00:02:39.800]  一路逐段逐段去講
[00:02:39.800 --> 00:02:42.800]  相信來到一個高潮了
[00:02:42.800 --> 00:02:46.800]  耶穌最後的晚餐
[00:02:46.800 --> 00:02:49.800]  祂很快就要受害
[00:02:49.800 --> 00:02:53.800]  祂怎樣來祝福門徒
[00:02:55.800 --> 00:02:57.800]  先問大家一個問題
[00:02:57.800 --> 00:03:00.800]  你打算信耶穌
[00:03:00.800 --> 00:03:03.800]  你有沒有心理準備
[00:03:03.800 --> 00:03:06.800]  要學習耶穌的受苦呢?
[00:03:06.800 --> 00:03:09.800]  你有沒有想過
[00:03:09.800 --> 00:03:13.800]  信耶穌可能要付上生命的代價呢?
[00:03:13.800 --> 00:03:16.800]  我在過去一年
[00:03:16.800 --> 00:03:18.800]  當做了主任牧師之後
[00:03:18.800 --> 00:03:21.800]  寫了很多推薦信
[00:03:21.800 --> 00:03:24.800]  很多人很想兒女入基督教
[00:03:24.800 --> 00:03:26.800]  可以有份
[00:03:26.800 --> 00:03:28.800]  基督教可以教得很好我的兒女
[00:03:28.800 --> 00:03:30.800]  很開心
[00:03:30.800 --> 00:03:31.800]  寫了一封信之後
[00:03:31.800 --> 00:03:33.800]  我聽一些童工說
[00:03:33.800 --> 00:03:35.800]  在幼稚園的童工
[00:03:35.800 --> 00:03:37.800]  在星期日
[00:03:37.800 --> 00:03:39.800]  在幼稚級那裡
[00:03:39.800 --> 00:03:41.800]  他有些小朋友
[00:03:41.800 --> 00:03:43.800]  父母不信耶穌
[00:03:43.800 --> 00:03:47.800]  但是他每個星期都帶小朋友來幼稚園
[00:03:47.800 --> 00:03:49.800]  來上主的學
[00:03:49.800 --> 00:03:50.800]  敬拜
[00:03:50.800 --> 00:03:52.800]  他們就會去喝茶
[00:03:52.800 --> 00:03:54.800]  接回小朋友
[00:03:54.800 --> 00:03:56.800]  都很有趣
[00:03:56.800 --> 00:03:58.800]  基督教給很多人的眼裡
[00:03:58.800 --> 00:04:00.800]  是很好的
[00:04:00.800 --> 00:04:05.800]  會不會這是所謂的人生勝利造呢?
[00:04:05.800 --> 00:04:07.800]  不過這張聖經
[00:04:07.800 --> 00:04:11.800]  我們的主親自告訴我們
[00:04:11.800 --> 00:04:15.800]  在跟隨耶穌的旅程
[00:04:15.800 --> 00:04:16.800]  道路上
[00:04:16.800 --> 00:04:20.800]  你應該以什麼做你的價值觀呢?
[00:04:21.800 --> 00:04:23.800]  耶穌都應許有勝利的
[00:04:23.800 --> 00:04:24.800]  那個賞賜的
[00:04:24.800 --> 00:04:27.800]  例如很快我們看看第22章
[00:04:27.800 --> 00:04:30.800]  第28到29節
[00:04:30.800 --> 00:04:33.800]  我在試煉之中
[00:04:33.800 --> 00:04:35.800]  常和我同在的
[00:04:35.800 --> 00:04:36.800]  就是你們了
[00:04:36.800 --> 00:04:39.800]  就是坐直的十二個的使徒
[00:04:39.800 --> 00:04:41.800]  我把國賜給你們
[00:04:41.800 --> 00:04:44.800]  正如我父賜給我一樣
[00:04:44.800 --> 00:04:46.800]  使你們在我的國裡面
[00:04:46.800 --> 00:04:48.800]  坐在我的席上吃喝
[00:04:49.800 --> 00:04:52.800]  並且坐在寶座上
[00:04:52.800 --> 00:04:56.800]  審判而釋列十二個支派
[00:04:56.800 --> 00:05:00.800]  相信肯定是說將來永恆的國度
[00:05:00.800 --> 00:05:02.800]  這十二個的使徒
[00:05:02.800 --> 00:05:06.800]  如果你們能夠行完人生的旅程
[00:05:06.800 --> 00:05:09.800]  你將來就要躋身在我的榮耀
[00:05:09.800 --> 00:05:10.800]  那個寶座
[00:05:10.800 --> 00:05:11.800]  那個坐直
[00:05:11.800 --> 00:05:14.800]  其中的那個被邀請的人了
[00:05:14.800 --> 00:05:18.800]  這個是勝利的賞賜
[00:05:19.800 --> 00:05:20.800]  親愛的弟妹
[00:05:20.800 --> 00:05:22.800]  我們今天看這一段聖經的時候
[00:05:22.800 --> 00:05:26.800]  特別剛才主席讀了的是聖餐的設立
[00:05:26.800 --> 00:05:27.800]  頗特別的
[00:05:27.800 --> 00:05:30.800]  耶穌有三次
[00:05:30.800 --> 00:05:32.800]  因為一年一次是如月節
[00:05:32.800 --> 00:05:35.800]  每年的經月十四
[00:05:35.800 --> 00:05:37.800]  就是如月節了
[00:05:37.800 --> 00:05:39.800]  只有三次耶穌在人生裡面
[00:05:39.800 --> 00:05:44.800]  以一個教師傳道者的身份
[00:05:44.800 --> 00:05:46.800]  因為他焦聚門徒之後
[00:05:46.800 --> 00:05:49.800]  每年跟他們有聖餐有如月節
